
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15417

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-01-12,11:45:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 196
* <Unknown> ok

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.0,0,302.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.021,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
957.20,0.890,5.8,0.0,0,2,0,631,70,21.7
955.57,0.900,5.2,0.0,0,0,2,645,48,21.7
954.63,0.900,5.1,0.0,0,0,4,653,49,21.7
953.47,0.900,4.9,0.0,0,0,6,663,49,21.7
952.31,0.900,4.7,0.0,0,0,8,673,49,21.7
951.38,0.890,4.6,0.0,0,0,10,681,50,21.7
950.22,0.890,4.5,0.0,0,0,12,691,50,21.7
949.06,0.880,4.3,0.0,0,0,14,701,51,21.7
947.90,0.880,4.2,0.0,0,0,16,711,51
946.97,0.880,4.1,0.0,0,0,18,719,51,21.7
945.82,0.890,4.0,0.0,0,0,20,728,51,21.7
944.90,0.890,3.9,0.0,0,0,22,736,52,21.8
943.97,0.890,3.9,0.0,0,0,24,744,52,21.8
942.13,0.890,3.7,0.0,0,0,26,760,52,21.8
940.52,0.900,3.6,0.0,0,0,28,774,53,21.8
939.15,0.910,3.5,0.0,0,0,30,786,53,21.8
937.54,0.920,3.4,0.0,0,2,32,800,54,21.8
936.17,0.930,3.4,0.0,0,0,34,812,54,21.8
935.03,0.950,3.4,0.0,0,0,36,822,54,21.8
933.89,0.980,3.4,0.0,0,0,38,832,55,21.8
932.75,1.010,3.5,0.0,0,0,40,841,56,21.8
931.61,1.040,3.7,0.0,0,0,42,851,56,21.8
