
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A15416

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-01-19,11:28:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 185
* <Unknown> ok

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252.4,0,317.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.031,25.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
954.40,0.790,11.2,3.0,220,2,0,631,57,23.4
952.54,0.810,10.0,,,0,2,647,32,23.4
951.84,0.890,9.6,,,0,4,653,32,23.4
950.91,0.960,9.0,,,0,6,661,33,23.5
950.22,1.010,8.5,,,2,8,667,33,23.5
949.52,1.050,8.5,,,0,10,674,33,23.5
948.59,1.110,8.5,,,0,12,682,33
947.44,1.180,8.4,,,0,14,692,34,23.5
946.51,1.240,8.4,,,0,16,700,34,23.5
945.59,1.370,8.4,,,0,18,708,34,23.5
944.66,1.400,8.3,,,0,20,716,34,23.5
943.97,1.450,8.2,,,0,22,722,34,23.5
943.05,1.540,8.1,,,0,24,730,34,23.5
941.90,1.550,8.1,,,0,26,740,34,23.5
940.75,1.600,8.0,,,0,28,750,34,23.6
939.83,1.690,8.0,,,0,30,758,35,23.6
938.92,1.720,8.1,,,0,32,766,35,23.6
937.77,1.820,8.0,,,0,34,776,35,23.6
936.17,1.850,7.9,,,0,36,790,35,23.6
934.80,1.950,7.9,,,0,38,802,36,23.6
933.43,1.980,8.0,,,0,40,814,36,23.6
932.29,2.110,8.1,,,0,42,825,35,23.6
931.38,2.220,8.1,,,0,44,833,35,23.6
930.47,2.240,8.0,,,0,46,841,35,23.6
929.11,2.290,7.8,,,0,48,853,35,23.6
928.43,2.330,7.7,,,0,50,859,35,23.6
927.75,2.390,7.6,,,0,52,865,35,23.7
927.07,2.450,7.6,,,0,54,871,36,23.7
925.94,2.510,7.6,,,0,56,881,36,23.7
925.04,2.510,7.6,,,0,58,889,36,23.7
924.13,2.720,7.5,,,0,60,897,36,23.7
923.23,2.750,7.3,,,2,62,905,36,23.7
922.33,2.760,7.2,,,0,64,913,36,23.7
921.43,2.760,7.2,,,0,66,921,37,23.7
920.08,2.770,7.2,,,0,68,933,37,23.7
919.41,2.770,7.1,,,0,70,939,37,23.7
918.51,2.770,7.0,,,0,72,947,38,23.7
917.84,2.790,6.9,,,0,74,953,38,23.7
916.94,2.820,6.8,,,0,76,961,38,23.8
916.27,2.870,6.7,,,0,78,967,38,23.8
915.60,2.870,6.6,,,0,80,973,38,23.8
914.48,2.910,6.5,,,0,82,983,38,23.8
913.59,2.920,6.5,,,0,84,991,38
912.48,2.920,6.4,,,0,86,1001,38,23.8
911.59,2.920,6.3,,,0,88,1009,38,23.8
910.92,2.930,6.3,,,0,90,1015,39,23.8
910.25,2.930,6.2,,,0,92,1021,39,23.8
909.36,2.930,6.1,,,0,94,1029,39,23.8
908.03,2.930,6.0,,,0,96,1041,40,23.8
906.70,2.920,6.0,,,0,98,1053,40,23.8
905.60,2.930,5.9,,,0,100,1063,40,23.8
904.71,2.940,5.8,,,0,102,1071,40,23.9
904.05,2.940,5.7,,,0,104,1077,40,23.9
903.17,2.960,5.6,,,0,106,1085,40,23.9
902.07,3.010,5.6,,,0,108,1095,40,23.9
901.19,2.990,5.5,,,0,110,1103,41,23.9
900.09,2.990,5.4,,,0,112,1113,41,23.9
898.77,2.990,5.3,,,0,114,1125,41,23.9
897.23,3.010,5.2,,,0,116,1139,42,23.9
895.92,3.010,5.1,,,0,118,1151,42,23.9
894.61,3.010,5.0,,,0,120,1163,42,23.9
893.52,2.990,4.8,,,0,122,1173,43,23.9
891.99,2.970,4.6,,,0,124,1187,43
890.69,2.970,4.4,,,0,126,1199,43,23.9
889.38,2.990,4.5,,,0,128,1211,43,23.9
887.86,3.000,4.3,,,0,130,1225,44,24.0
886.35,3.000,4.1,,,0,132,1238,44,24.0
885.27,2.990,4.0,,,0,134,1248,44,24.0
883.75,2.990,3.9,,,0,136,1262,44,24.0
882.03,2.990,3.7,,,0,138,1278,45,24.0
880.31,3.000,3.7,,,0,140,1294,46,24.0
878.81,2.990,3.6,,,0,142,1308,46,24.0
877.09,2.990,3.5,,,0,144,1324,47,24.0
875.38,2.960,3.3,,,0,146,1339,47,24.0
873.89,2.960,3.3,,,0,148,1353,47,24.0
872.39,2.960,3.2,,,0,150,1367,47,24.0
871.12,2.960,3.2,,,0,152,1379,47,24.0
869.84,3.000,3.1,,,0,154,1391,47,24.0
868.57,3.000,3.0,,,0,156,1403,47,24.1
