
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15573

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-01-26,11:37:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 274
* Carmen

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
109.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.034,27.50,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.90,2.640,2.0,7.0,320,2,0,631,52,21.2
940.98,2.650,1.4,8.0,323,0,2,639,29,21.2
940.06,2.650,1.3,8.1,323,0,4,647,29,21.2
939.15,2.650,1.1,8.2,324,0,6,655,30,21.3
938.00,2.640,1.0,8.3,324,0,8,664,30,21.2
936.86,2.630,0.8,8.5,325,0,10,674,30,21.3
935.71,2.640,0.7,8.6,326,0,12,684,31,21.3
935.03,2.650,0.6,8.7,326,0,14,690,31
934.57,2.660,0.5,8.8,327,0,16,694,31,21.3
934.34,2.670,0.3,8.9,327,0,18,696,31,21.3
933.66,2.670,0.2,9.0,328,0,20,702,31,21.3
932.75,2.680,0.0,9.1,329,0,22,709,32,21.3
931.84,2.680,-0.1,9.2,329,0,24,717,32,21.3
930.93,2.690,-0.2,9.3,330,0,26,725,32,21.3
930.25,2.780,-0.3,9.5,330,0,28,731,32
929.34,2.810,-0.4,9.6,331,0,30,739,33,21.3
928.20,2.810,-0.5,9.7,332,0,32,748,33,21.3
927.07,2.810,-0.6,9.8,332,0,34,758,33,21.3
926.17,2.810,-0.6,9.9,333,0,36,766,33,21.3
925.00,2.810,-0.8,10.0,333,3,38,776,34,21.4
924.81,2.810,-0.8,10.0,333,0,38,778,34,21.4
923.46,2.810,-0.9,10.1,334,0,40,789,34,21.4
922.33,2.810,-1.0,10.2,334,0,42,799,34,21.4
921.21,2.810,-1.2,10.3,335,0,44,809,34
920.31,2.790,-1.2,10.4,335,0,46,817,34,21.4
918.96,2.810,-1.4,10.5,336,0,48,828,34,21.4
918.06,2.820,-1.5,10.6,337,0,50,836,35,21.4
916.94,2.880,-1.5,10.7,337,0,52,846,35,21.4
915.82,2.880,-1.6,10.8,338,0,54,855,35,21.4
914.93,2.920,-1.7,10.9,338,0,56,863,35,21.4
914.04,2.920,-1.8,10.9,339,0,58,871,35,21.4
912.70,2.890,-1.9,11.0,339,0,60,883,36,21.4
911.59,2.900,-2.0,11.1,340,0,62,892,36,21.4
910.25,2.920,-2.1,11.2,340,0,64,904,36,21.5
909.14,2.920,-2.2,11.3,341,0,66,914,36,21.5
908.25,2.920,-2.2,11.4,341,0,68,921,36,21.5
906.92,2.920,-2.3,11.4,342,0,70,933,37,21.5
905.82,2.960,-2.4,11.5,342,0,72,943,37,21.5
904.71,3.010,-2.5,11.6,343,0,74,952,37,21.5
903.39,3.020,-2.7,11.6,343,0,76,964,37,21.5
902.29,3.030,-2.8,11.7,344,0,78,974,38,21.5
901.19,3.030,-2.8,11.8,344,0,80,983,38,21.5
900.09,3.030,-2.9,11.8,345,0,82,993,38,21.5
898.99,3.030,-3.0,11.9,345,0,84,1003,38,21.5
897.67,3.030,-3.2,12.0,345,0,86,1014,38,21.5
896.58,3.030,-3.3,12.0,346,0,88,1024,39,21.6
895.48,3.010,-3.3,12.1,346,0,90,1034,39,21.6
894.39,2.990,-3.4,12.1,347,0,92,1043,39,21.6
893.52,2.970,-3.5,12.2,347,0,94,1051,39,21.6
892.43,2.940,-3.5,12.2,348,0,96,1061,39,21.5
890.90,2.920,-3.7,12.2,348,0,98,1074,39,21.6
889.38,2.920,-3.9,12.3,348,0,100,1088,39,21.6
888.08,2.920,-4.0,12.3,349,0,102,1099,40,21.6
887.00,2.940,-4.1,12.3,349,0,104,1109,40,21.6
886.13,2.980,-4.2,12.4,349,0,106,1116,40,21.6
885.05,3.000,-4.3,12.4,350,0,108,1126,40,21.6
884.19,3.030,-4.4,12.4,350,0,110,1134,41,21.6
883.11,3.030,-4.4,12.4,350,0,112,1143,41,21.6
882.03,3.030,-4.6,12.5,351,0,114,1153,41,21.6
880.74,3.030,-4.6,12.5,351,0,116,1165,41,21.6
879.45,3.030,-4.7,12.5,351,0,118,1176,42,21.6
877.73,3.030,-4.9,12.5,352,0,120,1191,42,21.6
876.45,3.010,-5.0,12.5,352,0,122,1203,42,21.6
875.17,2.990,-5.1,12.5,352,0,124,1214,42,21.7
873.89,2.980,-5.2,12.5,353,0,126,1226,43,21.7
872.39,2.970,-5.2,12.5,353,0,128,1239,42,21.7
870.90,2.960,-5.3,12.5,353,0,130,1253,42,21.7
869.63,2.950,-5.4,12.5,353,0,132,1264,42,21.7
868.14,2.940,-5.6,12.5,354,0,134,1278,42,21.7
866.66,2.940,-5.8,12.5,354,0,136,1291,44,21.7
865.18,2.930,-5.9,12.5,354,0,138,1304,44,21.7
863.92,2.930,-6.0,12.5,354,0,140,1316,44
862.65,2.920,-6.1,12.5,355,0,142,1327,44,21.7
861.39,2.920,-6.2,12.5,355,0,144,1339,44,21.7
859.92,2.920,-6.3,12.5,355,0,146,1352,45,21.7
858.45,2.920,-6.5,12.5,355,0,148,1366,45,21.7
857.19,2.920,-6.6,12.4,355,0,150,1377,45,21.7
855.94,2.920,-6.8,12.4,356,0,152,1388,46,21.7
854.48,2.900,-6.9,12.4,356,0,154,1402,46,21.7
853.23,2.890,-7.0,12.4,356,0,156,1413,47
851.56,2.890,-7.2,12.4,356,0,158,1428,48,21.7
850.11,2.890,-7.3,12.4,356,0,160,1442,48,21.7
850.00,2.890,-7.3,12.4,356,3,160,1443,48,21.8
849.07,2.890,-7.4,12.3,357,0,162,1451,48,21.8
847.83,2.890,-7.5,12.3,357,0,164,1463,48,21.8
846.59,2.890,-7.6,12.3,357,0,166,1474,47,21.8
845.14,2.890,-7.7,12.3,357,0,168,1487,46,21.8
844.52,2.890,-7.7,12.2,357,0,170,1493,45,21.8
843.70,2.870,-7.8,12.2,357,0,172,1501,45
842.87,2.850,-7.9,12.1,357,0,174,1508,45,21.8
842.05,2.890,-8.0,12.0,357,0,176,1516,46,21.8
841.23,2.890,-8.0,12.0,357,0,178,1523,46,21.8
840.00,2.890,-8.1,12.0,356,0,180,1535,46,21.8
839.59,2.890,-8.2,11.9,356,0,182,1539,46,21.8
838.77,2.890,-8.3,11.9,356,0,184,1546,47,21.8
837.95,2.910,-8.4,11.8,356,0,186,1554,48,21.8
836.93,2.910,-8.5,11.8,356,0,188,1563,48
836.11,2.910,-8.6,11.7,356,0,190,1571,49,21.8
835.50,2.910,-8.7,11.7,356,0,192,1576,49,21.8
834.68,2.900,-8.8,11.7,356,0,194,1584,50,21.8
833.66,2.890,-8.8,11.6,356,0,196,1593,50,21.8
832.85,2.890,-8.9,11.6,356,0,198,1601,50,21.9
832.24,2.890,-8.9,11.6,355,0,200,1607,50,21.8
831.22,2.890,-9.0,11.5,355,0,202,1616,50,21.9
830.41,2.890,-9.1,11.5,355,0,204,1624,50
829.81,2.890,-9.1,11.5,355,0,206,1629,50,21.9
829.00,2.880,-9.2,11.4,355,0,208,1637,51,21.9
828.19,2.880,-9.3,11.4,355,0,210,1644,51,21.9
827.38,2.880,-9.5,11.4,355,0,212,1652,52,21.9
826.57,2.880,-9.5,11.4,355,0,214,1660,52,21.9
825.97,2.880,-9.6,11.5,355,0,216,1665,52,21.9
824.96,2.880,-9.7,11.5,356,0,218,1675,53
823.95,2.880,-9.8,11.6,356,0,220,1684,53,21.9
823.15,2.880,-9.8,11.6,356,0,222,1692,53,21.9
822.34,2.890,-9.9,11.6,356,0,224,1699,54,21.9
821.54,2.880,-10.0,11.6,356,0,226,1707,54,21.9
820.94,2.880,-10.0,11.5,356,0,228,1712,54,21.9
820.14,2.890,-10.1,11.5,357,0,230,1720,54,21.9
819.14,2.890,-10.2,11.3,357,0,232,1729,54,21.9
818.14,2.890,-10.2,11.2,357,0,234,1739,54
817.14,2.890,-10.3,11.0,357,0,236,1748,54,21.9
816.34,2.890,-10.4,10.8,358,0,238,1756,55,21.9
815.15,2.890,-10.5,10.7,358,0,240,1767,55,22.0
814.55,2.890,-10.5,10.5,358,0,242,1772,55,22.0
813.76,2.880,-10.6,10.3,359,0,244,1780,56,22.0
812.96,2.880,-10.7,10.1,359,0,246,1787,56,22.0
811.97,2.880,-10.8,10.0,360,0,248,1797,57,22.0
810.98,2.870,-10.9,9.8,360,0,250,1806,57,22.0
809.59,2.860,-11.0,9.7,1,0,252,1819,57
808.21,2.870,-11.2,9.5,1,0,254,1832,58,22.0
806.83,2.860,-11.3,9.3,2,0,256,1846,58,22.0
805.85,2.850,-11.4,9.2,2,0,258,1855,58,22.0
805.06,2.840,-11.4,9.1,3,0,260,1862,58,22.0
803.88,2.840,-11.5,8.9,3,0,262,1874,58,22.0
802.90,2.840,-11.6,8.8,4,0,264,1883,59,22.0
801.92,2.840,-11.7,8.7,4,0,266,1892,60,22.0
801.14,2.850,-11.8,8.5,5,0,268,1900,61
800.36,2.840,-11.9,8.4,6,0,270,1907,62,22.0
799.38,2.830,-11.9,8.3,6,0,272,1917,62,22.0
798.21,2.820,-12.0,8.2,7,0,274,1928,62,22.1
796.85,2.820,-12.1,8.1,7,0,276,1941,62,22.1
795.68,2.820,-12.2,8.0,8,0,278,1952,63,22.1
794.52,2.820,-12.3,7.9,9,0,280,1963,63,22.1
793.55,2.810,-12.4,7.8,9,0,282,1973,63,22.1
792.58,2.810,-12.6,7.7,10,0,284,1982,64
791.81,2.800,-12.7,7.6,11,0,286,1989,64,22.0
791.23,2.810,-12.7,7.6,12,0,288,1995,64,22.1
790.26,2.810,-12.8,7.5,12,0,290,2004,63,22.1
789.68,2.800,-12.9,7.4,13,0,292,2010,62,22.1
789.10,2.800,-12.9,7.4,14,0,294,2016,62,22.1
788.53,2.800,-13.0,7.4,15,0,296,2021,62,22.1
787.95,2.810,-13.0,7.3,16,0,298,2027,62,22.1
787.37,2.810,-13.1,7.3,17,0,300,2032,62,22.1
786.80,2.810,-13.2,7.3,17,0,302,2038,64,22.1
786.22,2.810,-13.2,7.3,18,0,304,2043,65,22.1
785.45,2.820,-13.3,7.3,19,0,306,2051,64,22.1
784.88,2.820,-13.3,7.3,20,0,308,2056,64,22.1
784.30,2.820,-13.4,7.3,21,0,310,2062,64,22.1
783.54,2.820,-13.4,7.4,22,0,312,2069,64,22.1
783.15,2.820,-13.5,7.6,24,0,314,2073,64,22.1
782.58,2.820,-13.5,7.8,25,0,316,2079,64,22.1
781.63,2.820,-13.6,8.1,26,0,318,2088,64,22.1
780.86,2.820,-13.6,8.2,27,0,320,2095,64,22.1
780.29,2.790,-13.6,8.6,28,0,322,2101,64,22.1
779.34,2.790,-13.6,9.0,28,0,324,2110,64,22.1
778.77,2.790,-13.6,9.6,29,0,326,2116,64,22.1
778.01,2.790,-13.6,10.1,29,0,328,2123,64,22.2
777.06,2.780,-13.7,10.6,29,0,330,2133,64,22.1
776.30,2.780,-13.8,11.0,29,0,332,2140,64,22.1
775.73,2.780,-13.8,11.4,29,0,334,2146,64,22.1
775.35,2.790,-13.9,11.7,28,0,336,2149,64,22.2
774.79,2.790,-13.9,12.0,28,0,338,2155,64,22.2
774.22,2.790,-13.9,12.2,28,0,340,2160,64,22.2
773.65,2.790,-14.0,12.3,28,0,342,2166,64,22.2
772.90,2.790,-14.0,12.4,28,0,344,2173,64,22.2
