
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15574

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-01-28,12:25:00
* SOFTWARE: SNDPRO 1.32
* NO TROPOPAUSE FOUND
* Carmen

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
5.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.002,26.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.51,1.560,6.2,3.0,33,2,0,631,61,19.7
942.36,1.610,6.0,,,0,2,641,60,19.7
941.21,1.660,5.9,,,0,4,651,59,19.7
940.06,1.710,5.7,,,0,6,661,58,19.8
938.92,1.760,5.5,,,0,8,671,57,19.8
937.77,1.810,5.3,,,0,10,681,56,19.8
936.63,1.860,5.2,,,0,12,691,55,19.8
935.48,1.910,5.0,,,0,14,701,54,19.8
934.34,1.960,4.8,,,0,16,711,53,19.8
933.20,2.010,4.7,,,0,18,721,53,19.8
932.06,2.060,4.5,,,0,20,731,52,19.8
930.93,2.110,4.3,,,0,22,741,51,19.8
929.79,2.160,4.1,,,0,24,751,50,19.8
928.66,2.210,4.0,,,0,26,761,49,19.8
927.52,2.260,3.8,,,0,28,770,48,19.8
926.39,2.310,3.6,,,0,30,780,47,19.8
925.26,2.360,3.4,,,0,32,790,46,19.8
925.00,2.410,3.4,,,3,32,792,46,19.8
924.13,2.410,3.3,,,0,34,800,45,19.8
923.01,2.460,3.1,,,0,36,810,44,19.8
921.88,2.510,3.0,,,0,38,820,45
920.98,2.560,3.0,,,0,40,828,45,19.8
919.86,2.610,2.8,,,0,42,838,45,19.9
918.74,2.660,2.6,,,0,44,848,45,19.9
917.61,2.670,2.5,,,0,46,857,46,19.9
916.50,2.700,2.4,,,0,48,867,46,19.9
915.60,2.760,2.3,,,0,50,875,46,19.9
914.48,2.760,2.2,,,0,52,885,47,19.9
913.37,2.790,2.1,,,0,54,895,47,19.9
912.48,2.820,2.1,,,0,56,903,47,19.9
911.36,2.820,2.0,,,0,58,913,47,19.9
910.25,2.840,1.9,,,0,60,922,48
909.58,2.860,1.8,,,0,62,928,48,19.9
908.48,2.870,1.8,,,0,64,938,48,19.9
907.37,2.900,1.6,,,0,66,948,48,19.9
906.48,2.910,1.5,,,0,68,956,49,19.9
905.38,2.910,1.4,,,0,70,966,49,19.9
904.27,2.940,1.4,,,0,72,976,49,19.9
903.39,2.940,1.3,,,0,74,983,49,19.9
902.73,2.950,1.2,,,0,76,989,49,19.9
902.07,2.960,1.1,,,0,78,995,49,19.9
901.19,2.980,1.1,,,0,80,1003,49,19.9
900.53,3.000,1.0,,,0,82,1009,49,19.9
900.09,3.010,0.8,,,2,84,1013,50,19.9
898.55,3.010,0.7,,,0,86,1027,50,19.9
897.01,3.010,0.6,,,0,88,1040,51,19.9
895.48,3.010,0.5,,,0,90,1054,51,19.9
894.17,3.020,0.5,,,0,92,1066,51
893.08,3.020,0.4,,,0,94,1076,51
891.99,3.030,0.3,,,0,96,1085,50,19.9
891.12,3.040,0.3,,,0,98,1093,50,20.0
890.25,3.040,0.2,,,0,100,1101,50,20.0
889.17,3.040,0.1,,,0,102,1111,51,20.0
887.86,3.040,0.1,,,0,104,1123,51
886.78,3.040,0.0,,,0,106,1132,51,20.0
885.27,3.050,-0.1,,,0,108,1146,52
