
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15572

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-02-02,11:54:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 216
* Carmen

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
285.5,0,323.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.027,28.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
954.87,2.900,11.2,3.3,26,2,0,631,57,21.3
953.70,2.930,11.5,,,2,2,641,39,21.3
952.77,2.960,11.3,,,0,4,649,40,21.3
951.61,2.980,11.1,,,0,6,660,40,21.4
950.22,3.010,10.8,,,0,8,672,41,21.4
948.83,3.010,10.5,,,0,10,684,41,21.4
947.21,3.030,10.3,,,0,12,698,42,21.4
945.82,3.040,10.1,,,0,14,710,42,21.4
944.43,3.060,10.0,,,0,16,722,43,21.4
943.28,3.080,9.9,,,0,18,733,43,21.4
941.67,3.100,9.6,,,0,20,747,43
940.29,3.120,9.5,,,0,22,759,43,21.5
938.92,3.120,9.3,,,0,24,771,43,21.5
937.54,3.200,9.2,,,0,26,783,44,21.5
936.40,3.220,9.1,,,0,28,793,44,21.5
935.03,3.240,9.0,,,0,30,805,44,21.5
933.89,3.250,8.9,,,0,32,816,44,21.5
932.98,3.260,8.8,,,0,34,824,44,21.5
932.06,3.290,8.8,,,0,36,832,44,21.6
931.16,3.320,8.7,,,0,38,840,44,21.6
930.02,3.360,8.5,,,0,40,850,45,21.6
928.88,3.360,8.4,,,0,42,860,45,21.6
927.75,3.380,8.3,,,0,44,870,46,21.6
926.85,3.400,8.2,,,0,46,878,46,21.6
925.71,3.430,8.1,,,0,48,888,46,21.7
925.00,3.440,8.0,,,3,49,894,46,21.6
924.36,3.440,8.0,,,0,50,900,46
923.01,3.450,7.9,,,0,52,912,46,21.7
921.88,3.460,7.9,,,0,54,922,47,21.7
920.53,3.470,7.6,,,0,56,935,47,21.7
919.41,3.480,7.6,,,0,58,945,47,21.7
918.29,3.500,7.5,,,0,60,955,47,21.7
917.17,3.500,7.4,,,0,62,965,48,21.7
916.05,3.520,7.3,,,0,64,975,48,21.7
914.93,3.530,7.2,,,0,66,985,48,21.8
913.81,3.540,7.1,,,0,68,995,48,21.8
912.70,3.550,6.9,,,0,70,1005,48,21.8
911.59,3.550,6.8,,,0,72,1015,48,21.8
910.47,3.550,6.7,,,0,74,1025,48,21.8
909.14,3.550,6.6,,,0,76,1037,49,21.8
907.81,3.520,6.5,,,0,78,1049,49,21.8
906.48,3.500,6.4,,,0,80,1061,50
905.38,3.500,6.2,,,0,82,1071,50,21.8
904.27,3.490,6.1,,,0,84,1081,50,21.9
903.39,3.490,6.1,,,0,86,1089,50,21.9
902.51,3.490,5.9,,,0,88,1097,51,21.9
901.19,3.490,5.8,,,0,90,1109,51,21.9
900.09,3.500,5.6,,,0,92,1119,51,21.9
898.99,3.520,5.6,,,0,94,1129,51,21.9
897.89,3.520,5.5,,,0,96,1139,52,21.9
897.23,3.520,5.4,,,0,98,1145,52,22.0
896.36,3.520,5.3,,,0,100,1153,52,22.0
895.26,3.530,5.2,,,0,102,1163,52,22.0
893.95,3.520,5.1,,,0,104,1175,52,22.0
892.86,3.520,5.0,,,0,106,1185,52,22.0
891.99,3.570,4.9,,,0,108,1193,52
891.12,3.520,4.9,,,0,110,1201,53,22.0
890.25,3.520,4.8,,,0,112,1209,53,22.0
889.17,3.520,4.7,,,0,114,1219,53,22.0
888.08,3.520,4.6,,,0,116,1229,54,22.0
887.21,3.520,4.5,,,0,118,1236,54,22.1
885.92,3.500,4.4,,,0,120,1248,54,22.1
884.62,3.490,4.3,,,0,122,1260,55,22.0
883.32,3.470,4.2,,,0,124,1272,55,22.1
881.82,3.470,4.0,,,0,126,1286,56,22.1
880.52,3.480,3.9,,,0,128,1298,56,22.1
879.24,3.470,3.8,,,0,130,1310,56,22.1
877.95,3.470,3.8,,,0,132,1322,56,22.2
