
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a14191

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-02-16,11:51:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 216
* j y c

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
57.5,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.060,28.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.51,2.030,6.6,9.0,350,2,0,631,53,24.4
941.90,2.060,6.1,10.0,350,0,2,645,30,24.4
940.98,2.080,5.8,10.3,351,0,4,653,30,24.4
940.06,2.100,5.5,10.6,351,0,6,661,30,24.5
938.69,2.100,5.2,10.9,352,0,8,673,30,24.5
937.54,2.110,5.0,11.2,352,0,10,683,30,24.5
936.63,2.120,4.8,11.5,353,0,12,691,31,24.5
935.48,2.220,4.6,11.8,353,0,14,701,31,24.5
934.34,2.230,4.4,12.1,354,0,16,711,32,24.5
933.20,2.240,4.2,12.4,354,0,18,721,32
932.06,2.240,4.1,12.7,355,0,20,731,32,24.5
930.47,2.240,4.0,13.0,355,0,22,744,32,24.5
928.66,2.310,3.8,13.2,356,0,24,760,33,24.5
927.75,2.360,3.7,13.5,356,0,26,768,33,24.6
926.85,2.360,3.7,13.7,357,0,28,776,33,24.5
925.49,2.410,3.5,13.9,357,0,30,788,34,24.5
925.00,2.420,3.5,13.9,357,3,31,792,34,24.5
923.91,2.420,3.4,14.1,358,0,32,802,35,24.6
922.56,2.420,3.3,14.3,358,0,34,814,35,24.6
920.98,2.430,3.2,14.5,359,0,36,828,35,24.6
919.63,2.430,3.1,14.6,359,0,38,839,35,24.6
918.06,2.430,3.0,14.8,360,0,40,853,35,24.6
916.72,2.440,2.9,14.9,360,0,42,865,35,24.6
915.38,2.430,2.8,15.0,1,0,44,877,36,24.6
914.04,2.450,2.7,15.1,1,0,46,889,36,24.6
912.25,2.470,2.6,15.1,2,0,48,905,36,24.6
911.59,2.480,2.5,15.2,3,0,50,911,36,24.6
910.47,2.480,2.3,15.2,3,0,52,920,36
908.92,2.510,2.2,15.1,4,0,54,934,36,24.7
907.59,2.520,2.0,14.9,4,0,56,946,36,24.7
906.26,2.510,1.9,14.7,5,0,58,958,37,24.7
905.15,2.520,1.8,14.5,5,0,60,968,37,24.7
903.39,2.520,1.6,14.3,6,0,62,983,37,24.7
901.85,2.520,1.4,14.0,6,0,64,997,38,24.7
900.53,2.520,1.3,13.8,6,0,66,1009,38,24.7
898.99,2.520,1.1,13.6,6,0,68,1023,38
897.67,2.520,1.0,13.4,6,0,70,1034,38,24.7
896.58,2.520,0.9,13.3,6,0,72,1044,39,24.7
895.05,2.560,0.8,13.2,5,0,74,1058,40,24.7
893.52,2.560,0.6,13.1,5,0,76,1072,40,24.7
892.21,2.570,0.4,13.1,4,0,78,1083,40,24.7
891.12,2.590,0.3,13.1,4,0,80,1093,40,24.7
889.82,2.590,0.3,13.2,4,0,82,1105,41,24.7
888.30,2.580,0.2,13.2,4,0,84,1119,41,24.8
887.43,2.590,0.1,13.4,4,0,86,1126,40
886.35,2.570,0.0,13.5,4,0,88,1136,40,24.8
884.83,2.530,-0.1,13.6,5,0,90,1150,40,24.8
882.89,2.530,-0.2,13.8,5,0,92,1168,41,24.8
881.17,2.520,-0.4,13.9,6,0,94,1183,42,24.8
879.45,2.510,-0.5,14.1,7,0,96,1199,42,24.8
877.52,2.470,-0.6,14.3,7,0,98,1216,42,24.8
875.59,2.460,-0.8,14.3,7,0,100,1234,43,24.8
873.89,2.430,-0.9,14.3,8,0,102,1249,43,24.8
872.39,2.400,-1.1,14.4,8,0,104,1263,43
870.69,2.390,-1.3,14.4,8,0,106,1279,44,24.8
868.99,2.360,-1.4,14.4,8,0,108,1294,44,24.8
867.51,2.300,-1.5,14.2,8,0,110,1308,44,24.8
865.82,2.230,-1.6,14.0,7,0,112,1323,45,24.8
863.92,2.200,-1.8,13.8,6,0,114,1341,45,24.8
862.23,2.180,-1.9,13.5,6,0,116,1356,45,24.9
860.55,2.180,-2.0,13.2,5,0,118,1372,45,24.8
859.08,2.200,-2.2,12.9,4,0,120,1385,46
857.61,2.230,-2.5,12.6,4,0,122,1399,47,24.8
856.15,2.360,-2.7,12.3,3,0,124,1413,47,24.9
854.89,2.360,-2.8,12.0,2,0,126,1424,47,24.8
853.23,2.370,-3.0,11.8,1,0,128,1440,48,24.9
851.35,2.370,-3.2,11.5,1,0,130,1457,49,24.9
850.00,2.370,-3.3,11.3,360,3,132,1469,50,24.9
849.48,2.370,-3.3,11.3,360,0,132,1474,50,24.9
848.45,2.370,-3.4,11.0,360,0,134,1484,50,24.9
847.00,2.310,-3.5,11.0,360,0,136,1498,50,24.9
845.35,2.340,-3.8,11.0,360,0,138,1513,51,24.9
843.70,2.380,-3.9,10.9,359,0,140,1528,51,24.9
842.05,2.380,-4.0,10.8,359,0,142,1544,51,24.9
840.20,2.380,-4.2,10.9,359,0,144,1561,52,24.9
839.38,2.390,-4.3,11.0,359,0,146,1569,52,24.9
838.15,2.400,-4.4,11.2,358,0,148,1580,52,24.9
836.72,2.420,-4.5,11.4,358,0,150,1594,53,24.9
835.09,2.430,-4.6,11.6,357,0,152,1609,53,24.9
833.46,2.460,-4.8,11.8,356,0,154,1625,54
832.04,2.450,-5.0,12.0,356,0,156,1638,54,24.9
830.62,2.450,-5.1,12.2,355,0,158,1651,55,24.9
829.00,2.450,-5.2,12.3,354,0,160,1667,56,24.9
827.38,2.450,-5.3,12.5,354,0,162,1682,56,24.9
825.97,2.450,-5.4,12.6,354,0,164,1696,56,24.9
824.35,2.450,-5.6,12.7,354,0,166,1711,56,24.9
822.95,2.460,-5.8,12.7,354,0,168,1724,57,25.0
821.34,2.450,-5.9,12.7,354,0,170,1740,57,24.9
819.54,2.460,-6.1,12.7,355,0,172,1757,58,25.0
817.94,2.460,-6.3,12.7,356,0,174,1772,59,25.0
816.34,2.460,-6.5,12.7,357,0,176,1787,60,25.0
814.75,2.460,-6.6,12.6,358,0,178,1803,60,25.0
813.36,2.460,-6.7,12.5,359,0,180,1816,60,25.0
811.77,2.470,-6.9,12.4,1,0,182,1831,61,25.0
810.19,2.450,-7.0,12.3,2,0,184,1846,61,25.0
808.80,2.460,-7.1,12.3,4,0,186,1860,62,25.0
807.42,2.460,-7.3,12.2,6,0,188,1873,62
806.04,2.470,-7.5,12.2,8,0,190,1886,63,25.0
804.67,2.470,-7.6,12.1,9,0,192,1900,63,25.0
802.90,2.470,-7.7,12.1,11,0,194,1917,64,25.1
801.34,2.470,-7.9,12.1,12,0,196,1932,64,25.0
799.77,2.450,-8.1,12.0,13,0,198,1947,65,25.1
798.21,2.470,-8.2,12.0,14,0,200,1962,65,25.1
796.85,2.470,-8.3,11.9,15,0,202,1976,65,25.1
795.10,2.450,-8.4,11.9,15,0,204,1993,64,25.1
794.32,2.440,-8.5,11.8,16,0,206,2000,64
793.35,2.440,-8.6,11.7,16,0,208,2010,63,25.1
792.19,2.540,-8.7,11.6,16,0,210,2021,62,25.1
790.65,2.530,-8.7,11.5,16,0,212,2036,61,25.1
789.30,2.530,-8.9,11.5,16,0,214,2049,61,25.1
788.14,2.530,-9.0,11.5,17,0,216,2061,61,25.1
786.99,2.530,-9.1,11.5,18,0,218,2072,62,25.1
