
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14195

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-02-17,11:15:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 239
* Carmen Tie

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
313.2,0,357.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.010,28.15,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.36,3.910,7.4,4.0,350,2,0,631,55,22.7
943.51,3.910,5.9,,,2,2,647,32,22.7
942.59,3.890,5.8,,,0,4,655,32,22.7
941.44,3.810,5.7,,,0,6,665,33,22.7
940.06,3.810,5.5,,,0,8,677,34,22.8
938.69,3.790,5.3,,,0,10,689,34
937.31,3.760,5.2,,,0,12,701,34,22.8
935.71,3.720,5.0,,,0,14,715,34,22.8
934.34,3.720,4.9,,,0,16,727,34,22.8
932.98,3.710,4.7,,,0,18,739,34,22.8
931.84,3.710,4.5,,,0,20,749,35,22.8
930.47,3.710,4.4,,,0,22,761,35,22.8
928.88,3.690,4.2,,,0,24,774,36,22.9
927.52,3.710,4.1,,,0,26,786,36,22.8
925.94,3.680,4.0,,,0,28,800,36,22.9
925.00,3.680,3.9,,,3,29,808,36,22.9
924.36,3.680,3.9,,,0,30,814,36,22.9
922.78,3.680,3.8,,,0,32,828,37,22.9
920.98,3.640,3.6,,,0,34,844,37,22.9
919.18,3.610,3.4,,,0,36,860,38,22.9
917.84,3.610,3.3,,,0,38,872,38,22.9
916.05,3.610,3.1,,,0,40,887,38,22.9
914.48,3.620,2.9,,,0,42,901,38,23.0
912.92,3.630,2.8,,,0,44,915,39,22.9
911.36,3.650,2.6,,,0,46,929,39,22.9
909.81,3.660,2.4,,,0,48,943,40,23.0
908.70,3.660,2.3,,,0,50,953,40,23.0
907.37,3.700,2.2,,,0,52,964,40,23.0
906.04,3.720,2.2,,,0,54,976,40,23.0
904.93,3.730,2.1,,,0,56,986,40,23.0
903.83,3.750,2.0,,,0,58,996,40,23.0
902.73,3.780,1.9,,,0,60,1006,40,23.0
901.41,3.780,1.8,,,0,62,1018,41,23.0
900.09,3.780,1.7,,,0,64,1029,41,23.1
898.99,3.780,1.7,,,0,66,1039,41,23.1
897.89,3.780,1.5,,,0,68,1049,41,23.1
896.58,3.780,1.3,,,0,70,1061,42,23.1
895.26,3.790,1.2,,,0,72,1073,42,23.1
894.17,3.790,1.1,,,0,74,1082,42,23.1
892.86,3.790,1.0,,,0,76,1094,43,23.1
891.56,3.790,0.9,,,0,78,1106,43,23.1
890.47,3.790,0.8,,,0,80,1116,43,23.1
889.38,3.790,0.7,,,0,82,1126,43
888.08,3.790,0.6,,,0,84,1137,43,23.2
887.21,3.770,0.6,,,0,86,1145,43,23.2
886.13,3.760,0.5,,,0,88,1155,43,23.2
885.05,3.730,0.3,,,0,90,1165,43,23.2
884.19,3.730,0.3,,,0,92,1173,43,23.2
883.32,3.750,0.2,,,0,94,1180,43,23.2
882.03,3.750,0.1,,,0,96,1192,43,23.2
881.60,3.800,0.1,,,0,98,1196,43,23.2
880.74,3.810,0.1,,,0,100,1204,43,23.2
879.88,3.800,0.0,,,0,102,1212,43,23.2
879.02,3.810,-0.1,,,0,104,1219,44,23.2
877.73,3.810,-0.2,,,0,106,1231,44,23.3
876.24,3.810,-0.4,,,0,108,1245,45,23.3
875.38,3.810,-0.5,,,0,110,1253,45,23.3
874.31,3.810,-0.6,,,0,112,1262,46,23.3
872.82,3.810,-0.7,,,0,114,1276,46,23.3
871.54,3.810,-0.8,,,0,116,1288,46,23.3
870.27,3.810,-1.0,,,0,118,1299,46,23.3
