
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a14198

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-02-23,11:53:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 281
* julian

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
300.7,0,331.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.030,27.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
937.77,2.480,1.8,1.7,340,2,0,631,88,22.4
935.48,2.480,0.9,1.8,343,0,2,651,75
934.80,2.480,0.8,1.9,344,0,4,657,75,22.5
933.66,2.460,0.8,1.9,346,0,6,666,76,22.5
932.06,2.460,0.6,2.0,348,0,8,680,78,22.5
930.70,2.460,0.5,2.0,349,0,10,692,78,22.5
929.57,2.450,0.4,2.1,351,0,12,702,78,22.5
928.20,2.440,0.3,2.1,353,0,14,713,79,22.5
926.85,2.430,0.2,2.1,354,0,16,725,80,22.5
925.49,2.430,0.1,2.2,356,0,18,737,80,22.5
925.00,2.430,0.1,2.2,356,3,19,741,80,22.5
924.36,2.430,0.0,2.2,358,0,20,747,80,22.5
922.78,2.460,-0.1,2.3,359,0,22,760,80,22.6
921.43,2.490,-0.2,2.3,1,0,24,772,81,22.6
920.08,2.510,-0.3,2.4,2,0,26,784,80,22.6
918.51,2.560,-0.5,2.4,4,0,28,797,81,22.6
916.94,2.580,-0.6,2.4,6,0,30,811,82,22.6
915.60,2.580,-0.7,2.5,7,0,32,823,82,22.7
914.26,2.590,-0.8,2.5,9,0,34,835,83,22.7
912.92,2.620,-1.0,2.5,10,0,36,846,83,22.6
911.81,2.690,-1.1,2.6,12,0,38,856,84,22.7
910.70,2.690,-1.1,2.6,14,0,40,866,85,22.7
909.58,2.690,-1.2,2.6,15,0,42,876,85,22.7
908.48,2.710,-1.3,2.7,17,0,44,885,85,22.8
907.15,2.750,-1.3,2.7,18,0,46,897,85,22.7
905.60,2.770,-1.4,2.7,20,0,48,911,84,22.8
904.71,2.880,-1.6,2.7,21,0,50,918,85,22.8
903.83,2.880,-1.7,2.8,23,0,52,926,86,22.8
902.73,2.900,-1.7,2.8,24,0,54,936,87,22.8
901.41,2.920,-1.8,2.8,26,0,56,947,87,22.8
900.09,2.970,-1.8,2.8,27,0,58,959,85,22.8
898.99,2.970,-1.8,2.8,29,0,60,969,83,22.8
897.45,3.030,-1.8,2.8,30,0,62,982,82,22.9
896.14,3.070,-1.8,2.8,31,0,64,994,81,22.8
894.83,3.090,-1.8,2.8,33,0,66,1006,79,22.9
893.30,3.160,-1.7,2.8,34,0,68,1019,76,22.9
891.99,3.240,-1.6,2.8,35,0,70,1031,73,22.9
890.90,3.240,-1.6,2.8,37,0,72,1041,71,22.9
889.82,3.450,-1.6,2.8,38,0,74,1050,71,22.9
888.51,3.460,-1.7,2.8,39,0,76,1062,72,23.0
887.21,3.510,-1.7,2.8,41,0,78,1074,71,23.0
885.92,3.530,-1.8,2.8,42,0,80,1085,71,23.0
884.83,3.550,-1.9,2.8,43,0,82,1095,71,23.0
883.75,3.650,-2.0,2.8,44,0,84,1105,71,23.0
882.89,3.690,-2.0,2.7,45,0,86,1113,71,23.0
881.82,3.750,-2.1,2.7,47,0,88,1122,72,23.1
880.74,3.820,-2.2,2.7,48,2,90,1132,72,23.1
879.45,3.840,-2.2,2.6,49,0,92,1144,72,23.1
878.38,3.850,-2.2,2.6,50,0,94,1153,72,23.1
876.88,3.860,-2.3,2.5,51,0,96,1167,73,23.1
875.81,3.920,-2.4,2.5,52,0,98,1177,73,23.1
874.74,3.940,-2.4,2.4,53,0,100,1186,73,23.1
873.67,3.940,-2.4,2.3,54,0,102,1196,73
872.61,3.950,-2.4,2.3,54,0,104,1206,73,23.2
871.54,3.950,-2.4,2.2,55,0,106,1215,74,23.2
870.05,3.950,-2.4,2.2,56,0,108,1229,74,23.2
869.20,3.960,-2.4,2.2,56,0,110,1237,74,23.2
868.14,3.970,-2.5,2.3,57,0,112,1246,75,23.2
867.30,4.010,-2.5,2.3,58,0,114,1254,75,23.2
866.24,4.030,-2.6,2.3,59,0,116,1264,75,23.3
865.39,4.030,-2.7,2.3,60,0,118,1272,75,23.3
864.34,4.050,-2.7,2.2,62,0,120,1281,75,23.3
863.07,4.030,-2.8,2.1,63,0,122,1293,75,23.3
861.81,4.060,-2.9,2.0,64,0,124,1305,75,23.3
860.76,4.060,-2.9,1.9,64,0,126,1314,75,23.3
859.92,4.060,-2.9,1.8,64,0,128,1322,76,23.3
858.87,4.060,-3.0,1.6,62,0,130,1332,76,23.4
857.82,4.060,-3.0,1.5,58,0,132,1341,76,23.4
856.77,4.060,-3.1,1.3,52,0,134,1351,76,23.3
