
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a14200

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-03-02,11:10:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 225
* carmen

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
239.0,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.046,26.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
935.94,2.070,4.8,1.0,80,2,0,631,67,24.1
934.34,2.070,4.0,1.0,83,0,2,645,45
933.20,2.080,3.4,1.1,85,0,4,655,46,24.1
931.61,2.080,3.3,1.2,88,0,6,669,48,24.1
930.25,2.080,3.2,1.2,90,0,8,681,48,24.1
928.88,2.080,3.1,1.3,92,0,10,692,48,24.1
927.52,2.080,2.9,1.4,94,0,12,704,49,24.1
926.39,2.080,2.8,1.4,96,0,14,714,49,24.2
925.00,2.080,2.6,1.5,98,3,16,726,50,24.2
924.81,2.080,2.6,1.5,98,0,16,728,50,24.2
923.23,2.080,2.4,1.6,100,0,18,742,50,24.2
921.88,2.070,2.3,1.6,102,0,20,754,51,24.2
920.08,2.070,2.2,1.7,104,0,22,769,51,24.2
918.29,2.060,2.1,1.8,107,0,24,785,52,24.2
916.94,2.060,2.0,1.8,109,0,26,797,52,24.2
915.38,2.060,1.8,1.9,111,0,28,811,53,24.2
913.81,2.060,1.6,2.0,113,0,30,825,53,24.2
912.25,2.050,1.5,2.0,115,0,32,838,53,24.2
910.47,2.060,1.4,2.1,117,0,34,854,54,24.2
908.92,2.060,1.3,2.2,119,0,36,868,54,24.2
907.81,2.060,1.2,2.2,121,0,38,878,54,24.2
906.48,2.060,1.0,2.3,123,0,40,889,55
905.15,2.060,0.9,2.4,125,0,42,901,55,24.2
904.05,2.070,0.7,2.4,127,0,44,911,56,24.3
902.73,2.100,0.6,2.5,129,0,46,923,57,24.3
901.63,2.130,0.5,2.6,131,0,48,933,57,24.3
