
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-03-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a14193

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-03-09,11:25:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 198
* carmen

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
314.6,0,354.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.025,27.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
953.00,1.040,10.4,2.5,120,2,0,631,47,24.3
951.14,1.080,9.2,2.7,128,0,2,647,22,24.3
950.45,1.090,8.7,2.7,132,2,4,653,22,24.4
949.29,1.090,8.6,2.8,136,0,6,663,23,24.4
947.90,1.110,8.4,2.8,140,0,8,675,23,24.4
946.74,1.180,8.3,2.9,144,0,10,686,24,24.4
945.59,1.200,8.1,2.9,148,0,12,696,23,24.4
944.66,1.240,8.0,3.0,152,0,14,704,24,24.4
943.51,1.240,7.9,3.1,156,0,16,714,24,24.4
941.90,1.260,7.7,3.1,160,0,18,728,24,24.5
940.52,1.290,7.7,3.2,164,0,20,740,24,24.4
938.92,1.300,7.5,3.2,167,0,22,754,25,24.5
937.54,1.320,7.4,3.3,171,0,24,766,24,24.5
936.63,1.320,7.3,3.3,175,0,26,774,24,24.5
935.48,1.360,7.2,3.4,178,0,28,784,24
933.89,1.380,7.1,3.4,182,0,30,798,25,24.5
932.29,1.390,6.9,3.5,185,0,32,812,25,24.5
930.93,1.400,6.8,3.5,189,0,34,824,25,24.6
929.57,1.400,6.8,3.6,192,0,36,836,25,24.6
927.98,1.400,6.7,3.6,195,0,38,850,25
926.62,1.410,6.6,3.6,198,0,40,862,25,24.6
925.26,1.440,6.4,3.7,201,0,42,874,25,24.6
925.00,1.460,6.4,3.7,201,3,42,876,25,24.6
