
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-04-04,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a14136

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-04-01,10:54:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 175
* carmen y c

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
291.2,0,329.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.075,27.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
942.59,4.350,18.8,2.4,153,2,0,631,52,27.5
940.98,4.360,17.9,2.8,143,0,2,646,32,27.6
940.06,4.380,17.5,2.9,142,0,4,654,32,27.6
939.38,4.440,17.1,3.0,140,0,6,660,33,27.6
938.69,4.450,16.7,3.1,138,2,8,666,34,27.6
938.00,4.520,16.7,3.2,136,0,10,673,34,27.6
937.31,4.590,16.5,3.2,135,0,12,679,34,27.6
936.40,4.620,16.4,3.3,133,0,14,687,35,27.6
935.48,4.630,16.3,3.4,132,0,16,696,35,27.6
934.34,4.720,16.2,3.5,130,0,18,706,36,27.7
932.98,4.750,16.1,3.5,129,0,20,718,36,27.7
931.61,4.780,15.9,3.6,127,0,22,731,37,27.7
930.47,4.780,15.8,3.7,126,0,24,741,37,27.7
929.34,4.780,15.8,3.8,125,0,26,751,37,27.7
928.20,4.780,15.6,3.8,123,0,28,762,37,27.7
926.85,4.780,15.5,3.9,122,0,30,774,38,27.7
925.71,4.790,15.4,3.9,121,0,32,785,38,27.7
925.00,4.790,15.4,4.0,120,3,33,791,38,27.7
924.59,4.790,15.4,4.0,120,0,34,795,38,27.7
923.46,4.820,15.2,4.0,119,0,36,805,38,27.8
922.78,4.830,15.1,4.1,118,0,38,811,38,27.8
921.66,4.840,15.0,4.1,118,0,40,822,39,27.8
920.31,4.840,15.0,4.2,117,0,42,834,39,27.8
918.74,4.840,14.8,4.2,116,0,44,849,39,27.8
917.39,4.850,14.6,4.2,116,0,46,861,40,27.8
916.05,4.850,14.4,4.2,116,0,48,873,40,27.8
914.93,4.840,14.3,4.2,115,0,50,884,40,27.9
914.04,4.830,14.2,4.3,115,0,52,892,40,27.9
913.14,4.830,14.1,4.3,115,0,54,900,41,27.9
912.25,4.830,14.1,4.3,115,0,56,908,41,27.9
911.14,4.830,13.9,4.3,115,0,58,919,41,27.9
910.03,4.850,13.8,4.3,116,0,60,929,41,27.9
909.14,4.820,13.8,4.3,116,0,62,937,41,27.9
907.81,4.820,13.6,4.2,116,0,64,950,42,27.9
906.70,4.820,13.5,4.2,117,0,66,960,42,27.9
905.60,4.820,13.4,4.2,117,0,68,970,42,28.0
