
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-24,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15401

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-06-23,10:46:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 219
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
206.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.039,26.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
947.67,3.210,29.4,4.0,10,2,0,631,30
946.05,3.220,29.2,4.0,13,0,2,646,30
944.43,3.220,29.1,4.1,14,0,4,661,30
942.82,3.230,28.9,4.1,15,0,6,677,31
941.21,3.240,28.7,4.1,17,0,8,692,31
939.60,3.250,28.6,4.1,18,0,10,707,31
938.00,3.260,28.4,4.1,20,0,12,722,31
936.17,3.260,28.2,4.2,21,0,14,739,31
934.57,3.270,28.0,4.2,23,0,16,755,32
932.98,3.280,27.9,4.2,24,0,18,770,32
931.38,3.290,27.7,4.2,25,0,20,785,32
929.79,3.290,27.6,4.2,27,0,22,800,32
928.20,3.300,27.4,4.3,28,0,24,815,32
926.62,3.310,27.2,4.3,30,0,26,830,33
925.04,3.320,27.1,4.3,31,0,28,845,33
923.46,3.320,26.9,4.3,32,0,30,860,33
921.88,3.330,26.7,4.3,34,0,32,875,33
920.31,3.340,26.6,4.3,35,0,34,891,33
918.74,3.350,26.4,4.4,37,0,36,906,33
916.94,3.360,26.2,4.4,38,0,38,923,34
915.38,3.360,26.0,4.4,39,0,40,938,34
913.81,3.370,25.9,4.4,41,0,42,953,34
912.25,3.380,25.7,4.4,42,0,44,968,34
910.70,3.390,25.5,4.4,43,0,46,983,34
909.14,3.390,25.4,4.5,45,0,48,998,35
907.59,3.400,25.2,4.5,46,0,50,1013,35
906.04,3.410,25.0,4.5,47,0,52,1028,35
904.49,3.420,24.9,4.5,48,0,54,1043,35
902.95,3.430,24.7,4.5,50,0,56,1058,35
901.41,3.430,24.5,4.5,51,0,58,1073,36
899.87,3.440,24.4,4.5,52,0,60,1088,36
898.11,3.450,24.2,4.6,53,0,62,1105,36
896.58,3.460,23.9,4.6,54,0,64,1120,36
895.05,3.460,23.8,4.6,56,0,66,1135,36
893.52,3.470,23.6,4.6,57,0,68,1150,37
891.99,3.480,23.4,4.6,58,0,70,1165,37
890.47,3.490,23.3,4.6,59,0,72,1180,37
888.95,3.490,23.1,4.6,60,0,74,1194,37
887.43,3.500,22.9,4.6,61,0,76,1209,37
885.92,3.510,22.8,4.7,62,0,78,1224,38
884.40,3.520,22.6,4.7,63,0,80,1239,38
882.89,3.530,22.4,4.7,64,0,82,1254,38
881.38,3.530,22.3,4.7,65,0,84,1269,38
879.66,3.540,22.1,4.7,66,0,86,1286,38
878.16,3.550,21.9,4.7,67,0,88,1301,38
876.66,3.560,21.7,4.7,68,0,90,1315,39
875.17,3.560,21.6,4.7,69,0,92,1330,39
873.67,3.570,21.4,4.7,70,0,94,1345,39
872.18,3.580,21.2,4.7,71,0,96,1360,39
870.69,3.590,21.1,4.7,72,0,98,1375,39
869.20,3.600,20.9,4.7,73,0,100,1389,40
867.72,3.600,20.7,4.7,73,0,102,1404,40
866.24,3.610,20.6,4.7,74,0,104,1419,40
864.76,3.620,20.4,4.7,75,0,106,1434,40
863.28,3.630,20.3,4.8,76,0,108,1448,40
861.60,3.630,20.1,4.8,76,0,110,1465,41
860.13,3.640,19.9,4.8,77,0,112,1480,41
858.66,3.650,19.7,4.8,78,0,114,1495,41
857.19,3.660,19.6,4.8,78,0,116,1509,41
855.73,3.670,19.4,4.8,79,0,118,1524,41
854.27,3.670,19.2,4.7,79,0,120,1539,42
852.81,3.680,19.1,4.7,80,0,122,1553,42
851.35,3.690,18.9,4.7,80,0,124,1568,42
849.90,3.700,18.7,4.7,81,0,126,1583,42
848.45,3.700,18.6,4.7,81,0,128,1597,42
847.00,3.710,18.4,4.7,82,0,130,1612,43
845.55,3.720,18.2,4.7,82,0,132,1627,43
843.90,3.730,18.0,4.7,82,0,134,1643,43
842.46,3.730,17.9,4.7,83,0,136,1658,43
841.02,3.740,17.7,4.7,83,0,138,1673,43
839.59,3.750,17.6,4.7,83,0,140,1687,43
838.15,3.760,17.4,4.7,83,0,142,1702,44
836.93,3.770,17.2,4.7,83,2,144,1714,44
835.70,3.770,17.1,4.7,83,0,146,1727,44
835.09,3.780,17.1,4.6,83,0,148,1733,45,30.8
834.48,4.020,17.0,4.6,84,0,150,1739,45,30.8
833.66,3.950,16.9,4.6,84,0,152,1748,45,30.8
832.44,3.970,16.8,4.6,83,0,154,1760,45,30.9
831.22,3.980,16.7,4.6,83,0,156,1773,45,30.9
829.00,3.980,16.6,4.6,83,0,158,1796,45,30.9
827.78,3.980,16.5,4.5,83,0,160,1808,45,30.9
826.57,3.930,16.3,4.5,81,0,162,1821,45
825.36,3.960,16.2,4.4,80,0,164,1833,45,31.0
824.15,3.930,16.1,4.4,80,0,166,1845,46,31.0
822.75,3.930,15.9,4.3,80,0,168,1860,45,31.0
821.54,3.930,15.8,4.2,80,0,170,1872,45
820.34,3.930,15.8,4.1,82,0,172,1885,45,31.0
818.94,3.910,15.7,3.9,84,0,174,1899,45,31.1
817.54,3.930,15.7,3.8,87,0,176,1914,45,31.1
816.14,3.930,15.5,3.8,90,0,178,1928,46,31.1
814.75,3.930,15.4,3.7,94,0,180,1943,46,31.1
813.76,3.920,15.4,3.7,99,0,182,1953,46
812.37,3.890,15.3,3.7,103,0,184,1968,46,31.1
810.98,3.880,15.2,3.8,106,0,186,1982,46,31.2
809.79,3.920,15.0,3.8,110,0,188,1995,46,31.2
808.80,3.880,14.9,3.9,113,0,190,2005,47,31.2
807.82,3.880,14.7,4.1,116,0,192,2015,47,31.2
806.24,3.870,14.6,4.2,119,0,194,2032,47
804.67,3.860,14.5,4.3,121,0,196,2048,48,31.2
803.29,3.860,14.3,4.5,124,0,198,2063,49,31.2
801.92,3.870,14.2,4.7,127,0,200,2077,49,31.2
800.36,3.860,14.1,4.9,130,0,202,2094,49,31.2
798.41,3.840,13.9,5.1,132,0,204,2114,49,31.3
797.04,3.840,13.7,5.4,134,0,206,2129,50,31.3
795.49,3.840,13.6,5.6,136,0,208,2145,50,31.3
794.13,3.800,13.6,5.9,138,0,210,2160,49,31.3
792.97,3.800,13.7,6.1,139,0,212,2172,47,31.3
792.00,3.800,13.9,6.3,140,0,214,2182,46,31.4
791.03,3.790,14.0,6.5,140,0,216,2192,45,31.4
790.07,3.770,14.0,6.7,141,0,218,2203,44
789.10,3.760,14.0,6.8,141,0,220,2213,44,31.4
788.14,3.760,13.9,6.9,141,0,222,2223,44,31.4
786.99,3.750,13.8,6.9,141,0,224,2236,44,31.4
785.84,3.760,13.7,6.9,141,0,226,2248,44,31.5
784.49,3.750,13.6,6.9,141,0,228,2262,44,31.5
783.54,3.740,13.6,6.9,141,0,230,2273,44,31.5
782.20,3.760,13.5,6.8,141,0,232,2287,44
780.86,3.760,13.3,6.7,141,0,234,2301,44,31.5
779.53,3.760,13.2,6.5,141,0,236,2316,45,31.5
778.20,3.760,13.0,6.4,140,0,238,2330,45,31.6
777.06,3.740,12.9,6.2,140,0,240,2343,46,31.5
776.11,3.720,12.8,6.1,139,0,242,2353,46,31.6
774.79,3.720,12.7,6.0,139,0,244,2367,47
773.65,3.710,12.6,5.8,138,0,246,2379,47,31.6
772.33,3.700,12.4,5.7,137,0,248,2394,47,31.6
771.20,3.690,12.3,5.6,136,0,250,2406,47,31.7
769.88,3.690,12.2,5.5,135,0,252,2420,48,31.6
768.38,3.690,12.0,5.5,134,0,254,2437,48,31.6
766.88,3.670,11.9,5.4,133,0,256,2453,48,31.7
765.57,3.670,11.7,5.4,131,0,258,2467,48,31.7
764.45,3.670,11.6,5.4,130,0,260,2480,49,31.7
763.33,3.670,11.5,5.4,129,0,262,2492,49,31.7
761.84,3.670,11.4,5.4,129,0,264,2508,49,31.7
760.73,3.670,11.4,5.4,129,0,266,2520,49,31.8
759.43,3.620,11.3,5.4,129,0,268,2535,50
758.32,3.610,11.2,5.5,130,0,270,2547,50,31.8
757.02,3.610,11.1,5.6,131,0,272,2561,50,31.8
755.55,3.620,10.9,5.7,133,0,274,2578,51,31.8
754.07,3.560,10.8,5.8,135,0,276,2594,51,31.8
752.60,3.550,10.7,6.0,138,0,278,2610,51,31.8
751.32,3.530,10.6,6.2,141,0,280,2624,51
750.22,3.520,10.6,6.3,144,0,282,2637,51
748.94,3.510,10.5,6.6,147,0,284,2651,51,31.8
747.47,3.510,10.5,6.8,149,0,286,2667,51,31.8
745.65,3.530,10.4,7.0,152,0,288,2687,51,31.9
744.74,3.510,10.3,7.1,154,0,290,2698,51,31.9
743.65,3.510,10.2,7.2,156,0,292,2710,51,32.0
742.38,3.510,10.0,7.3,158,0,294,2724,52,31.9
741.29,3.510,9.9,7.4,160,0,296,2736,52,32.0
740.21,3.540,9.7,7.4,161,0,298,2748,52,32.0
739.13,3.540,9.6,7.3,163,0,300,2761,52,32.0
737.50,3.490,9.4,7.2,164,0,302,2779,53,32.0
736.06,3.490,9.3,7.1,165,0,304,2795,53
734.81,3.490,9.2,7.0,166,0,306,2809,53,32.0
733.37,3.490,9.1,6.8,167,0,308,2825,54,32.0
732.12,3.490,9.0,6.7,167,0,310,2840,54,32.0
730.52,3.490,8.8,6.6,168,0,312,2858,54,32.0
729.80,3.490,8.7,6.5,169,0,314,2866,55,32.1
728.73,3.490,8.6,6.4,169,0,316,2878,55,32.1
727.49,3.490,8.5,6.4,170,0,318,2892,55,32.1
726.07,3.470,8.4,6.3,171,0,320,2908,56,32.1
724.65,3.470,8.2,6.3,172,0,322,2924,56,32.1
723.42,3.470,8.0,6.3,173,0,324,2939,57,32.2
722.18,3.470,7.8,6.4,174,0,326,2953,57,32.2
720.95,3.460,7.7,6.4,175,0,328,2967,57,32.2
719.54,3.460,7.6,6.4,176,0,330,2983,58
718.31,3.450,7.5,6.5,176,0,332,2997,58,32.2
717.09,3.450,7.3,6.5,177,0,334,3011,58,32.2
715.86,3.450,7.2,6.5,178,0,336,3025,58,32.2
714.46,3.440,7.0,6.6,178,0,338,3041,59,32.2
713.07,3.420,6.9,6.6,178,0,340,3057,59,32.2
712.03,3.420,6.9,6.6,179,0,342,3069,59
710.64,3.420,6.8,6.6,179,0,344,3085,59,32.3
709.25,3.420,6.7,6.7,179,0,346,3101,59,32.3
707.69,3.420,6.5,6.7,179,0,348,3119,60,32.3
706.83,3.390,6.4,6.8,179,0,350,3129,60,32.3
705.80,3.390,6.4,6.9,180,0,352,3141,60,32.3
704.42,3.390,6.2,7.0,180,0,354,3157,61
703.04,3.390,6.0,7.1,181,0,356,3174,61,32.3
701.84,3.390,5.8,7.2,181,0,358,3188,62,32.3
700.65,3.390,5.7,7.2,182,0,360,3202,62,32.3
700.00,3.390,5.6,7.3,183,3,361,3210,62,32.4
699.45,3.390,5.6,7.3,183,0,362,3216,62,32.4
698.08,3.390,5.5,7.4,184,0,364,3231,63,32.4
696.89,3.360,5.5,7.4,185,0,366,3245,63,32.4
695.70,3.360,5.3,7.5,186,0,368,3259,63,32.4
694.68,3.350,5.2,7.5,187,0,370,3271,63,32.4
693.67,3.350,5.2,7.5,188,0,372,3283,63,32.5
692.14,3.350,5.1,7.5,189,0,374,3301,64,32.4
690.63,3.350,5.0,7.5,189,0,376,3319,64,32.5
689.28,3.350,4.8,7.5,190,0,378,3335,65
687.93,3.350,4.7,7.5,190,0,380,3351,65,32.5
686.76,3.350,4.6,7.5,191,0,382,3365,65,32.5
685.42,3.350,4.5,7.5,191,0,384,3381,65
684.41,3.350,4.4,7.5,191,0,386,3393,65
683.25,3.350,4.3,7.5,192,0,388,3407,66,32.5
682.08,3.350,4.2,7.5,192,0,390,3421,66,32.5
680.92,3.320,4.2,7.4,192,0,392,3435,66
679.59,3.310,4.0,7.4,193,0,394,3451,66
678.43,3.310,3.9,7.4,193,0,396,3465,67,32.5
677.27,3.270,3.7,7.3,194,0,398,3478,67,32.6
676.11,3.240,3.6,7.3,195,0,400,3492,67,32.6
674.96,3.230,3.5,7.3,195,0,402,3506,68,32.6
673.64,3.210,3.3,7.3,196,0,404,3522,69,32.6
672.49,3.210,3.2,7.3,196,0,406,3536,69,32.6
671.01,3.210,3.0,7.4,197,0,408,3554,70,32.6
670.19,3.190,2.9,7.4,197,0,410,3564,70,32.6
669.21,3.190,2.8,7.5,198,0,412,3576,70
668.07,3.190,2.6,7.5,198,0,414,3589,71,32.7
666.93,3.190,2.5,7.5,198,0,416,3603,71
665.79,3.190,2.4,7.6,198,0,418,3617,72,32.7
664.65,3.190,2.3,7.6,198,0,420,3631,72,32.7
663.68,3.190,2.2,7.6,198,0,422,3643,72,32.7
662.55,3.190,2.0,7.6,197,0,424,3657,72
661.58,3.190,1.9,7.7,197,0,426,3668,72
660.29,3.190,1.7,7.6,197,0,428,3684,73,32.7
659.16,3.190,1.6,7.6,197,0,430,3698,74,32.7
657.87,3.180,1.4,7.6,196,0,432,3714,75,32.8
656.75,3.180,1.3,7.6,196,0,434,3727,74
655.47,3.170,1.2,7.5,196,0,436,3743,75,32.8
654.19,3.170,1.1,7.5,196,0,438,3759,76
653.07,3.160,0.9,7.4,197,0,440,3773,77
651.80,3.150,0.8,7.4,197,0,442,3788,77,32.8
650.37,3.150,0.7,7.3,198,0,444,3806,77
649.42,3.150,0.6,7.2,199,0,446,3818,77,32.8
648.31,3.150,0.4,7.2,199,0,448,3832,78,32.9
647.20,3.150,0.3,7.2,200,0,450,3845,79,32.9
646.10,3.150,0.2,7.3,201,0,452,3859,79
644.99,3.150,0.0,7.4,202,0,454,3873,80
644.05,3.150,-0.1,7.5,203,0,456,3884,80,32.9
642.63,3.120,-0.2,7.6,203,0,458,3902,81,32.9
641.38,3.090,-0.3,7.8,204,0,460,3918,81,32.9
640.29,3.090,-0.5,8.0,203,0,462,3931,82,32.9
639.04,3.060,-0.7,8.1,203,0,464,3947,83
637.63,3.060,-0.8,8.2,203,0,466,3965,83,32.9
635.92,3.060,-0.9,8.3,202,0,468,3986,84,33.0
