
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-10-10,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15764

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-10-07,10:17:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 197
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
188.4,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.034,26.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.82,3.900,18.6,1.0,190,2,0,631,70
945.36,3.890,18.4,,,0,2,635,69
944.66,3.880,18.2,,,0,4,641,68
944.20,3.880,18.0,,,0,6,646,67
943.74,3.870,17.8,,,0,8,650,66
943.05,3.860,17.6,,,0,10,656,65
942.59,3.860,17.4,,,0,12,660,64
942.13,3.850,17.2,,,0,14,664,63
941.44,3.840,17.0,,,0,16,671,61
940.98,3.840,16.8,,,0,18,675,60
940.29,3.830,16.5,,,0,20,681,59
939.83,3.820,16.3,,,0,22,685,58,26.5
939.38,3.820,16.1,,,0,24,689,57,26.5
938.69,3.810,15.9,,,0,26,696,56
938.23,3.800,15.7,,,2,28,700,55
938.00,3.800,15.7,,,0,30,702,55
937.54,3.790,15.6,,,0,32,706,55
937.08,3.780,15.6,,,0,34,710,55,26.6
936.40,3.780,15.5,,,0,36,716,55,26.6
935.26,3.770,15.4,,,0,38,727,55,26.6
933.66,3.760,15.3,,,0,40,741,56,26.6
932.06,3.760,15.2,,,0,42,756,56,26.7
930.47,3.750,15.1,,,0,44,770,56,26.7
929.11,3.740,15.0,,,0,46,783,57,26.7
927.52,3.740,14.8,,,0,48,797,57,26.7
925.94,3.730,14.7,,,0,50,812,57,26.7
925.00,3.720,14.6,,,3,51,820,58,26.7
924.36,3.720,14.6,,,0,52,826,58,26.7
923.01,3.720,14.5,,,0,54,838,58,26.7
921.88,3.710,14.4,,,0,56,849,58,26.7
920.76,3.700,14.3,,,0,58,859,59,26.7
919.86,3.700,14.2,,,0,60,867,59,26.7
919.41,3.700,14.2,,,0,62,871,59,26.7
918.51,3.730,14.2,,,0,64,880,59,26.7
917.39,3.750,14.1,,,0,66,890,58,27.3
916.50,3.770,14.1,,,0,68,898,58,27.3
915.60,3.790,14.1,,,0,70,906,58,27.3
914.48,3.800,14.1,,,0,72,917,58,27.3
913.59,3.820,14.0,,,0,74,925,58,27.3
912.48,3.840,14.0,,,0,76,935,57,27.3
911.59,3.850,14.0,,,0,78,944,57,27.3
910.70,3.870,13.8,,,0,80,952,57,27.3
909.58,3.890,13.8,,,0,82,962,57,27.3
908.70,3.910,13.8,,,0,84,970,56,27.3
907.81,3.920,13.8,,,0,86,979,56,27.3
906.70,3.940,13.7,,,0,88,989,56,27.3
905.82,3.960,13.7,,,0,90,997,56,27.3
904.71,3.970,13.7,,,0,92,1007,55,27.3
903.83,3.990,13.6,,,0,94,1016,55,27.3
