
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-01-09,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a18147

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-12-28,10:58:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 236
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
331.1,0,370.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.029,26.10,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.44,2.630,4.5,4.6,60,2,0,631,51
940.29,2.630,3.7,4.7,60,0,2,641,42,23.6
939.38,2.610,3.7,4.7,59,0,4,649,42,23.6
938.23,2.570,3.6,4.8,58,0,6,659,43,23.6
937.08,2.570,3.5,4.8,58,0,8,669,43,23.7
936.17,2.540,3.4,4.9,57,0,10,677,44,23.7
935.26,2.540,3.3,4.9,56,0,12,684,44,23.7
934.34,2.530,3.2,5.0,56,0,14,692,44,23.7
933.20,2.530,3.1,5.0,55,0,16,702,44,23.7
932.06,2.520,2.9,5.1,54,0,18,712,44,23.7
931.16,2.530,2.8,5.1,54,0,20,720,44,23.7
930.02,2.530,2.7,5.2,53,0,22,730,44
928.88,2.580,2.5,5.2,52,0,24,740,45,23.7
928.20,2.650,2.4,5.3,52,0,26,746,45,23.7
927.07,2.660,2.3,5.3,51,0,28,756,45,23.7
925.71,2.700,2.2,5.4,50,0,30,767,45,23.7
925.00,2.700,2.1,5.4,50,3,31,773,46,23.7
924.36,2.700,2.0,5.4,50,0,32,779,46,23.7
923.23,2.730,2.0,5.5,49,0,34,789,46,23.7
921.66,2.760,1.8,5.5,48,0,36,803,46,23.7
920.98,2.820,1.8,5.6,47,0,38,809,46,23.7
919.86,2.840,1.7,5.6,47,0,40,819,46,23.7
918.51,2.840,1.6,5.7,46,0,42,830,47
917.61,2.840,1.5,5.8,45,0,44,838,47,23.7
916.72,2.840,1.4,5.8,44,0,46,846,48,23.8
915.82,2.840,1.3,5.9,43,0,48,854,48,23.8
915.15,2.840,1.2,5.9,43,0,50,860,48,23.8
914.48,2.840,1.1,6.0,42,0,52,866,48,23.8
913.37,2.850,1.1,6.0,41,0,54,876,49,23.8
912.03,2.850,1.0,6.1,40,0,56,887,49,23.8
910.92,2.850,0.9,6.1,39,0,58,897,48,23.8
910.03,2.850,0.9,6.1,38,0,60,905,48,23.8
908.92,2.870,0.8,6.2,37,0,62,915,48,23.8
907.59,2.870,0.7,6.2,36,0,64,927,49
906.48,2.880,0.7,6.2,35,0,66,936,49,23.8
905.38,2.900,0.6,6.2,34,0,68,946,49,23.8
904.27,2.920,0.5,6.2,33,0,70,956,49,23.9
903.17,2.920,0.4,6.2,32,0,72,966,49,23.9
902.07,2.920,0.3,6.1,31,0,74,976,49,23.9
900.75,2.920,0.2,6.0,29,0,76,987,50,23.9
899.43,2.940,0.1,6.0,28,0,78,999,50,23.9
