
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-02-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a18143

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-01-12,10:56:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 194
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241.8,0,279.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.015,26.8,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
954.63,0.76,5.9,0.4,45,2,0,631,73,22.5
953.47,0.77,5.7,0,0,0,2,641,62,22.5
952.07,0.8,5.4,0,0,0,4,653,49,22.5
950.91,0.83,5.2,0,0,0,6,663,50,22.5
949.52,0.89,5,0,0,0,8,675,51,22.6
948.13,0.9,4.8,0.5,32,0,10,687,53
946.97,0.91,4.6,0.5,32,0,12,697,53,22.6
945.82,0.92,4.4,0.5,32,0,14,707,54,22.6
944.2,0.93,4.3,0.6,33,0,16,721,55,22.6
942.82,0.95,4.2,0.7,34,0,18,733,56,22.6
941.67,0.95,4.1,0.7,36,0,20,742,56,22.6
940.29,0.98,4,0.8,38,0,22,754,57,22.6
938.92,0.99,3.9,0.9,41,2,24,766,58,22.6
937.77,1.010,3.9,1,44,0,26,776,59,22.6
936.4,1.050,3.9,1,48,0,28,788,59,22.7
935.03,1.080,4,1,52,0,30,800,58,22.7
933.89,1.160,4.1,1,57,0,32,810,57,22.7
932.75,1.280,4.2,1,63,0,34,820,55,22.7
931.16,1.460,4.3,1,68,0,36,834,54,22.7
930.47,1.510,4.4,0.9,74,0,38,840,55,22.7
929.57,1.590,4.6,0.9,81,0,40,848,54,22.7
928.43,1.830,4.6,0.9,86,0,42,858,54,22.8
927.3,1.880,4.6,0.9,89,0,44,868,55,22.8
926.39,1.940,4.7,0.9,90,0,46,876,55,22.8
925.49,1.970,4.6,0.9,89,0,48,884,56,22.8
925,2.050,4.6,0.9,89,3,48,888,56,22.8
923.46,2.050,4.6,1,87,0,50,901,56,22.8
921.88,2.140,4.6,1.1,82,0,52,915,56,22.8
920.53,2.260,4.6,1.3,75,0,54,927,57,22.8
919.41,2.340,4.6,1.4,66,0,56,937,57,22.8
918.29,2.410,4.6,1.6,59,0,58,947,56,22.9
917.39,2.410,4.5,1.9,53,0,60,955,56,22.9
916.27,2.670,4.5,2.1,47,0,62,965,56
915.15,2.700,4.5,2.2,43,0,64,975,55,22.9
914.04,2.750,4.6,2.4,40,0,66,985,54,22.9
912.92,2.750,4.6,2.5,38,0,68,995,54,22.9
912.03,2.820,4.7,2.6,38,0,70,1003,53,22.9
911.14,2.850,4.7,2.6,38,0,72,1011,53,22.9
909.81,2.860,4.7,2.6,39,0,74,1023,53,23
908.7,2.930,4.7,2.6,41,0,76,1033,53,23
907.81,2.980,4.7,2.6,44,2,78,1041,54,23
906.7,2.980,4.6,2.7,46,0,80,1051,54,23
905.38,2.980,4.5,2.8,48,0,82,1063,55,23
904.27,2.980,4.4,2.9,49,0,84,1072,56,23
903.17,2.980,4.3,3,50,0,86,1082,57,23
901.85,2.930,4.3,3.2,51,0,88,1094,58,23
900.31,2.880,4.2,3.4,52,0,90,1108,59,23.1
898.99,2.860,4.2,3.6,53,0,92,1120,60
898.11,2.810,4.1,3.8,54,0,94,1128,59,23.1
897.23,2.780,4.1,4,55,0,96,1136,57,23.1
896.14,2.780,4.1,4.1,56,0,98,1146,58,23.1
895.26,2.780,4,4.2,58,0,100,1154,57,23.1
893.95,2.780,3.9,4.3,60,0,102,1166,57,23.1
892.86,2.780,3.7,4.3,63,0,104,1176,57,23.1
891.77,2.780,3.7,4.3,65,0,106,1186,57,23.1
890.47,2.780,3.6,4.3,68,2,108,1198,57,23.2
889.17,2.840,3.6,4.2,70,0,110,1209,55,23.2
888.08,3.040,3.5,4.1,72,0,112,1219,55,23.2
887,3.040,3.5,4,74,0,114,1229,54,23.2
885.92,3.040,3.6,3.9,76,0,116,1239,54,23.2
884.83,3.050,3.6,3.8,77,0,118,1249,53,23.2
883.75,3.080,3.6,3.7,78,0,120,1259,53,23.2
882.68,3.110,3.6,3.6,79,0,122,1269,52,23.2
881.6,3.150,3.6,3.6,79,0,124,1279,52
880.74,3.150,3.6,3.4,79,0,126,1287,51,23.3
879.66,3.240,3.7,3.3,80,0,128,1297,51,23.3
878.16,3.400,3.6,3.2,80,0,130,1310,52,23.3
876.88,3.470,3.6,3.1,80,0,132,1322,52,23.3
876.24,3.470,3.6,2.9,80,0,134,1328,49,23.3
875.17,3.470,3.6,2.8,80,0,136,1338,47
874.1,3.470,3.5,2.7,80,0,138,1348,46,23.3
872.82,3.470,3.5,2.6,80,0,140,1360,44,23.4
871.75,3.490,3.5,2.5,81,0,142,1370,43,23.4
870.69,3.550,3.5,2.5,82,0,144,1380,42,23.4
870.05,3.550,3.5,2.4,83,0,146,1386,41,23.4
869.2,3.550,3.5,2.4,85,0,148,1394,41,23.4
867.93,3.630,3.6,2.4,87,0,150,1406,40,23.4
866.87,3.720,3.5,2.4,89,0,152,1415,39,23.4
865.39,3.730,3.5,2.3,91,0,154,1429,39,23.4
863.7,3.750,3.4,2.3,94,0,156,1445,38
862.86,3.750,3.4,2.2,97,0,158,1453,38,23.4
862.02,3.750,3.4,2.2,100,0,160,1461,36,23.4
860.76,3.770,3.3,2.1,104,0,162,1473,34,23.5
859.71,3.800,3.3,2,107,0,164,1483,33,23.5
858.66,3.790,3.3,1.9,111,0,166,1493,33,23.5
857.61,3.810,3.3,1.7,116,0,168,1503,33,23.5
856.36,3.810,3.3,1.6,121,0,170,1514,33,23.5
855.1,3.810,3.2,1.5,126,0,172,1526,32,23.5
854.06,3.810,3.2,1.4,132,0,174,1536,32,23.5
852.81,3.840,3.1,1.3,138,0,176,1548,32,23.5
851.77,3.860,3.1,1.2,143,0,178,1558,32,23.5
850.94,3.860,3.1,1.2,146,0,180,1566,31,23.5
850,3.920,3.1,1.2,148,3,182,1575,30,23.6
849.69,3.920,3.1,1.2,148,0,182,1578,30,23.6
848.65,3.930,3.1,1.3,150,0,184,1588,29,23.6
847.62,3.930,3,1.3,151,0,186,1597,29,23.6
846.59,3.940,3,1.4,150,0,188,1607,29,23.6
845.35,3.950,3,1.5,149,0,190,1619,28,23.6
844.31,4.110,3,1.5,150,0,192,1629,27
843.7,4.110,3,1.6,151,0,194,1635,27,23.6
842.67,4.120,3.1,1.6,154,0,196,1645,25,23.6
841.43,4.130,3.1,1.7,157,0,198,1657,24,23.6
840.2,4.120,3.1,1.8,161,0,200,1669,23,23.6
838.97,4.110,3.2,1.9,166,0,202,1680,22,23.7
837.95,4.110,3.2,2,172,0,204,1690,21,23.7
836.72,4.120,3.1,2.1,177,0,206,1702,22,23.7
835.29,4.110,3,2.2,181,0,208,1716,22,23.7
834.07,3.970,2.9,2.4,184,0,210,1728,22,23.7
832.85,3.970,2.8,2.6,187,0,212,1740,22
831.63,3.970,2.8,2.7,188,0,214,1752,23,23.7
830.01,3.980,2.6,2.9,189,0,216,1767,25,23.7
829.2,4.040,2.5,3,189,0,218,1775,25,23.7
828.39,4.040,2.4,3.1,190,0,220,1783,25,23.7
827.18,4.020,2.3,3.2,191,0,222,1795,26,23.7
826.17,4.030,2.1,3.2,192,0,224,1805,26,23.7
825.16,4.040,2.1,3.2,193,0,226,1815,26
824.35,4.050,2,3.2,194,0,228,1822,27,23.7
823.15,4.040,1.9,3.1,197,0,230,1834,26,23.7
822.14,4.050,1.9,3,199,0,232,1844,26,23.8
821.14,4.050,1.8,2.9,200,0,234,1854,26,23.8
820.14,4.050,1.8,2.7,201,0,236,1864,22,23.8
819.34,4.050,1.9,2.6,200,0,238,1872,19,23.8
818.74,4.050,2,2.4,199,0,240,1878,17,23.8
817.74,4.060,2.1,2.2,196,0,242,1887,16,23.8
816.54,4.050,2.1,2,193,0,244,1899,16,23.8
815.55,4.060,2.2,1.9,189,0,246,1909,16,23.8
814.75,4.060,2.2,1.8,183,0,248,1917,16,23.8
813.76,4.060,2.1,1.7,177,0,250,1927,15,23.8
812.76,4.040,2.1,1.7,172,0,252,1937,15,23.8
811.97,4.070,2.2,1.6,167,0,254,1944,14,23.8
810.98,4.080,2.3,1.5,164,0,256,1954,13,23.9
810.19,4.090,2.3,1.4,160,0,258,1962,13,23.9
809.4,4.100,2.3,1.4,153,0,260,1970,12
808.21,4.100,2.4,1.2,143,0,262,1982,11,23.9
806.63,4.100,2.5,1,132,0,264,1998,10,23.9
805.45,4.120,2.5,1,119,0,266,2010,9,23.9
804.47,4.120,2.5,0.9,104,0,268,2019,9,23.9
803.29,4.090,2.5,0.9,84,0,270,2031,9,23.9
802.31,4.090,2.5,0.9,65,0,272,2041,9,23.9
801.53,4.080,2.5,0.9,50,0,274,2049,9,23.9
800.16,4.070,2.4,1,35,0,276,2063,9,23.9
798.8,4.060,2.4,1.1,21,0,278,2077,9,23.9
797.63,4.070,2.4,1.2,10,2,280,2088,9,23.9
796.26,4.080,2.3,1.3,359,0,282,2102,9,24
794.71,4.080,2.2,1.4,350,0,284,2118,9,23.9
793.35,4.120,2.1,1.6,342,0,286,2132,9,24
792.19,4.120,2,1.7,335,0,288,2143,9,24
791.03,4.150,2,1.9,329,0,290,2155,9,24
789.88,4.180,2,2.1,326,0,292,2167,8,24
788.53,4.220,2,2.2,323,0,294,2181,8,24
787.37,4.220,1.9,2.3,322,0,296,2193,8,24
786.22,4.210,1.8,2.4,323,0,298,2204,8
785.26,4.180,1.8,2.4,324,0,300,2214,8,24
784.11,4.190,1.7,2.4,326,0,302,2226,8
782.96,4.170,1.6,2.3,329,0,304,2238,7,24
781.82,4.150,1.5,2.2,332,0,306,2250,7,24
780.67,4.140,1.4,2.1,335,0,308,2261,7,24
779.72,4.110,1.3,1.9,340,0,310,2271,7
778.58,3.960,1.3,1.8,344,0,312,2283,7,24.1
777.44,3.890,1.2,1.7,347,0,314,2295,7,24.1
776.49,3.890,1.1,1.6,349,0,316,2305,7,24.1
775.54,3.860,1,1.6,350,0,318,2314,7,24.1
774.6,3.850,1,1.5,349,0,320,2324,7,24.1
773.84,3.870,0.9,1.5,348,0,322,2332,7,24.1
772.71,3.860,0.9,1.5,345,0,324,2344,7,24.1
772.14,3.870,0.9,1.4,342,0,326,2350,7,24.1
771.58,3.870,0.8,1.4,337,0,328,2356,7,24.1
770.64,3.870,0.8,1.3,332,0,330,2365,7,24.1
769.7,3.870,0.7,1.3,329,0,332,2375,8,24.1
768.95,3.870,0.7,1.2,326,0,334,2383,7
768.19,3.870,0.7,1.1,325,0,336,2391,7,24.2
767.07,3.870,0.6,1.1,324,0,338,2402,8,24.1
766.13,3.870,0.5,1.1,324,0,340,2412,8,24.2
765.39,3.870,0.5,1.1,326,0,342,2420,7,24.2
764.64,3.870,0.6,1.1,328,0,344,2428,6,24.2
763.71,3.860,0.6,1.2,328,0,346,2438,5,24.2
762.96,3.860,0.5,1.2,326,0,348,2446,3,24.2
762.22,3.880,0.5,1.3,322,0,350,2453,1,24.2
761.29,3.880,0.5,1.3,317,0,352,2463,1,24.2
760.54,3.980,0.4,1.3,310,0,354,2471,1,24.2
759.62,4.000,0.4,1.3,301,0,356,2481,1,24.2
758.69,4.000,0.3,1.3,289,0,358,2491,1,24.2
757.58,4.000,0.3,1.4,278,0,360,2502,1,24.2
756.65,4.000,0.3,1.4,269,0,362,2512,2,24.2
755.55,4.000,0.2,1.4,262,0,364,2524,2,24.2
754.26,3.990,0.1,1.4,256,0,366,2537,3,24.2
753.15,3.850,0.1,1.3,254,0,368,2549,2,24.3
752.23,3.840,0.1,1.3,249,0,370,2559,1,24.2
751.13,3.760,0,1.1,245,0,372,2571,1,24.2
750.58,3.760,0,0.9,238,0,374,2576,1,24.2
749.85,3.760,0,0.8,220,0,376,2584,1,24.3
749.12,3.760,-0.1,0.8,194,0,378,2592,1,24.3
748.2,3.760,-0.1,0.7,167,0,380,2602,1,24.3
747.29,3.760,-0.1,0.7,144,0,382,2612,1,24.3
746.56,3.760,-0.2,0.7,129,0,384,2619,1,24.3
745.65,3.780,-0.2,0.8,126,0,386,2629,9,24.3
744.74,3.790,-0.2,0.9,124,0,388,2639,15,24.3
744.01,3.790,-0.3,1,121,0,390,2647,20,24.3
742.93,3.790,-0.3,1,123,0,392,2658,21,24.3
742.02,3.800,-0.4,1,122,0,394,2668,21,24.3
741.11,3.800,-0.5,0.9,122,0,396,2678,21,24.3
740.03,3.830,-0.5,0.9,119,0,398,2690,19,24.3
738.95,3.870,-0.7,0.9,110,0,400,2701,19,24.3
737.86,3.890,-0.8,0.9,101,0,402,2713,15,24.3
736.78,3.890,-0.8,0.9,92,0,404,2725,12,24.4
735.89,3.890,-0.9,0.9,83,0,406,2734,10
734.99,3.890,-0.9,1,79,0,408,2744,10,24.3
734.45,3.850,-1,1.1,79,0,410,2750,10,24.4
733.55,3.710,-1,1.1,80,0,412,2760,22,24.4
732.48,3.710,-1.1,1.2,80,0,414,2771,32,24.3
731.59,3.680,-1.2,1.3,83,0,416,2781,34,24.4
730.69,3.680,-1.2,1.5,88,0,418,2791,35,24.4
729.62,3.660,-1.3,1.7,95,0,420,2803,35,24.4
728.73,3.660,-1.3,1.9,101,0,422,2812,35,24.4
728.02,3.660,-1.3,2.1,105,0,424,2820,34,24.4
727.13,3.660,-1.3,2.3,110,0,426,2830,33,24.4
726.25,3.660,-1.3,2.6,113,0,428,2840,32,24.4
725.36,3.660,-1.3,2.8,116,0,430,2849,32,24.4
724.48,3.630,-1.3,3,119,0,432,2859,32,24.4
723.59,3.630,-1.5,3.2,120,0,434,2869,35,24.4
722.89,3.630,-1.5,3.3,122,0,436,2876,38,24.4
722.18,3.630,-1.6,3.3,122,0,438,2884,40,24.4
721.12,3.630,-1.5,3.3,123,0,440,2896,42,24.4
720.24,3.630,-1.5,3.2,122,0,442,2906,42
719.54,3.620,-1.6,3.1,121,0,444,2913,42,24.5
718.49,3.620,-1.6,3,119,0,446,2925,42
717.44,3.590,-1.8,2.9,117,0,448,2937,42,24.5
716.39,3.570,-2,2.8,114,0,450,2948,42,24.5
715.16,3.560,-1.9,2.8,110,0,452,2962,42,24.5
713.59,3.540,-2.1,2.8,107,0,454,2979,42,24.5
712.2,3.550,-2.2,2.8,105,0,456,2995,43,24.5
711.16,3.540,-2.2,2.9,103,0,458,3007,42,24.5
709.94,3.500,-2.1,2.9,102,0,460,3020,41,24.5
708.9,3.490,-2,3,102,0,462,3032,40,24.5
707.87,3.470,-2,3.1,103,0,464,3043,39,24.5
706.66,3.450,-2,3.3,104,0,466,3057,38,24.5
705.28,3.460,-2.1,3.4,106,0,468,3072,38,24.5
704.59,3.470,-2.2,3.6,109,0,470,3080,38,24.6
703.73,3.410,-2.2,3.8,111,0,472,3090,38,24.5
702.87,3.400,-2.4,4,113,0,474,3100,38,24.6
702.02,3.370,-2.4,4.3,114,0,476,3109,38
701.16,3.340,-2.6,4.6,115,0,478,3119,37,24.6
700.13,3.340,-2.6,4.9,116,0,480,3131,37,24.6
700,3.340,-2.6,4.9,116,3,480,3132,37,24.6
698.94,3.340,-2.6,5.3,116,0,482,3144,38,24.6
697.74,3.330,-2.5,5.6,116,0,484,3158,39,24.6
696.89,3.330,-2.5,5.9,116,0,486,3167,39,24.6
696.04,3.330,-2.4,6.2,115,0,488,3177,38,24.6
695.19,3.330,-2.3,6.4,113,0,490,3187,35,24.6
694.34,3.330,-2.2,6.5,111,0,492,3196,33,24.6
693.5,3.310,-2.1,6.6,109,0,494,3206,31,24.6
692.31,3.310,-2.1,6.7,107,0,496,3220,26,24.6
691.3,3.350,-2.1,6.7,104,0,498,3231,21,24.6
690.12,3.410,-2,6.7,101,0,500,3245,17,24.6
689.11,3.450,-2,6.7,98,0,502,3257,14,24.7
688.1,3.460,-2,6.6,95,0,504,3268,12,24.6
687.43,3.460,-1.9,6.6,92,0,506,3276,12,24.6
686.42,3.460,-1.9,6.6,90,0,508,3288,13,24.6
685.25,3.460,-1.9,6.6,87,0,510,3301,14
684.08,3.460,-2,6.6,85,0,512,3315,16,24.6
683.08,3.480,-1.9,6.6,83,0,514,3326,18
681.75,3.460,-1.9,6.7,82,0,516,3342,19,24.7
681.25,3.430,-1.9,6.7,81,0,518,3348,19,24.7
680.42,3.430,-1.9,6.8,80,0,520,3357,19,24.7
679.42,3.430,-1.9,6.9,80,0,522,3369,19,24.7
678.26,3.360,-2,7,80,0,524,3383,18,24.7
677.27,3.330,-2,7.1,80,0,526,3394,17,24.7
676.28,3.330,-2,7.2,80,0,528,3406,17,24.7
675.29,3.330,-2.1,7.3,79,0,530,3418,15,24.7
674.3,3.330,-2.1,7.4,79,0,532,3429,15,24.7
673.48,3.360,-2.2,7.5,79,0,534,3439,14,24.7
672.49,3.420,-2.3,7.6,78,0,536,3450,14,24.7
671.67,3.440,-2.3,7.6,77,0,538,3460,14,24.7
671.01,3.460,-2.3,7.7,77,0,540,3468,14,24.7
670.03,3.480,-2.4,7.7,77,0,542,3480,14,24.7
668.89,3.500,-2.6,7.8,77,0,544,3493,15,24.7
667.74,3.500,-2.7,7.8,77,0,546,3507,15
666.77,3.500,-2.7,7.8,77,0,548,3518,15,24.7
665.95,3.510,-2.8,7.8,78,0,550,3528,15,24.8
