
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-02-06,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18144

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-02-01,11:25:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 223
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
265.1,0,295.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.035,26.20,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.52,1.050,7.6,1.0,320,2,0,631,61,23.3
947.67,1.100,6.8,0.8,289,0,2,647,54
946.97,1.130,6.5,0.7,283,0,4,653,54,23.3
946.51,1.170,6.3,0.7,277,0,6,657,54,23.3
945.82,1.170,6.0,0.7,271,0,8,663,55,23.3
944.90,1.180,5.6,0.7,266,2,10,671,55,23.4
944.20,1.180,5.5,0.7,261,0,12,677,55,23.4
943.51,1.190,5.4,0.6,256,0,14,683,56,23.4
942.82,1.190,5.3,0.6,251,0,16,689,56,23.4
942.36,1.200,5.3,0.6,247,0,18,693,56,23.4
941.67,1.210,5.2,0.6,243,0,20,699,56,23.4
940.75,1.210,5.1,0.6,240,0,22,707,56,23.4
939.38,1.210,5.0,0.7,237,0,24,719,57,23.4
938.23,1.220,4.9,0.7,235,0,26,729,58,23.4
937.31,1.230,4.9,0.7,233,0,28,737,58,23.3
936.40,1.240,4.8,0.8,232,0,30,745,58,23.4
935.26,1.240,4.6,0.8,232,0,32,755,59,23.4
933.89,1.250,4.5,0.9,233,0,34,767,59,23.4
932.75,1.260,4.4,1.0,234,0,36,777,59,23.3
931.16,1.260,4.2,1.1,236,0,38,791,61,23.4
929.79,1.270,4.1,1.2,239,2,40,802,61
928.43,1.270,4.1,1.2,244,0,42,814,61,23.4
927.30,1.270,4.1,1.4,252,0,44,824,61,23.4
926.17,1.300,4.2,1.7,260,0,46,834,61,23.3
925.04,1.340,4.3,2.0,264,0,48,844,60,23.4
923.91,1.340,4.4,2.3,268,0,50,854,60,23.4
922.78,1.450,4.5,2.8,271,0,52,864,59,23.3
921.66,1.580,4.6,3.2,272,0,54,874,59,23.4
920.76,1.650,4.6,3.7,271,0,56,882,59,23.4
919.86,1.660,4.8,4.2,270,0,58,890,59,23.4
918.74,1.830,4.9,4.7,268,0,60,900,58,23.4
917.61,1.870,5.0,5.1,266,0,62,910,57,23.4
916.50,1.900,5.0,5.5,265,0,64,920,57,23.4
915.38,2.020,5.0,5.8,263,0,66,930,56,23.4
914.48,2.070,5.0,6.0,261,0,68,938,56,23.4
913.81,2.150,5.0,6.2,259,0,70,944,56,23.4
913.14,2.250,5.0,6.3,257,0,72,950,55,23.4
911.81,2.320,5.0,6.4,256,0,74,962,54,23.3
910.70,2.460,5.0,6.4,255,0,76,972,53
909.81,2.520,4.9,6.4,254,0,78,980,53,23.4
908.70,2.730,5.0,6.3,254,0,80,990,53,23.3
907.81,2.810,5.1,6.2,254,0,82,997,53,23.4
906.92,2.890,5.2,6.2,255,0,84,1005,53,23.4
906.04,2.890,5.3,6.2,256,0,86,1013,53,23.4
905.15,2.920,5.5,6.4,257,0,88,1021,54,23.4
904.27,2.950,5.5,6.5,259,0,90,1029,51,23.4
903.39,2.960,5.6,6.7,261,0,92,1037,49,23.3
902.29,3.050,5.6,7.0,261,0,94,1047,48,23.3
901.19,3.220,5.7,7.4,262,0,96,1057,48,23.4
900.53,3.230,5.8,7.7,262,0,98,1063,49,23.4
899.65,3.310,5.9,7.9,261,0,100,1071,50,23.4
898.55,3.440,6.0,8.1,260,0,102,1081,52,23.4
897.67,3.450,6.0,8.2,259,0,104,1089,53,23.3
897.01,3.540,6.0,8.2,257,0,106,1095,53,23.4
895.92,3.560,6.0,8.2,254,0,108,1105,53,23.3
895.05,3.620,6.1,8.1,252,0,110,1113,53,23.4
894.17,3.690,6.0,7.9,250,0,112,1121,52,23.3
893.30,3.720,6.1,7.7,249,0,114,1129,52,23.4
892.43,3.740,6.1,7.7,248,0,116,1137,51,23.4
891.34,3.770,6.1,7.6,248,0,118,1147,51
890.25,3.770,6.1,7.7,248,0,120,1157,50,23.4
889.17,3.860,6.2,7.8,249,0,122,1167,47,23.4
888.30,3.940,6.3,7.9,250,0,124,1175,45,23.4
887.21,3.960,6.4,8.1,252,0,126,1185,44,23.3
886.13,3.960,6.5,8.4,253,2,128,1195,44,23.4
885.05,3.940,6.5,8.8,254,0,130,1205,44,23.4
884.19,3.950,6.4,9.0,254,0,132,1213,44,23.4
883.32,3.960,6.4,9.2,254,0,134,1221,44,23.4
882.03,3.960,6.4,9.3,254,0,136,1233,45,23.4
880.95,3.960,6.4,9.4,254,0,138,1243,45,23.3
880.09,3.960,6.4,9.3,253,0,140,1251,45,23.4
879.24,3.980,6.4,9.2,252,0,142,1259,46,23.4
878.16,3.970,6.4,8.9,252,0,144,1269,46,23.4
877.31,3.980,6.4,8.7,252,0,146,1277,46,23.4
876.45,3.980,6.4,8.3,252,0,148,1285,46,23.4
875.38,3.970,6.3,7.9,254,0,150,1295,45,23.4
874.53,3.960,6.3,7.6,255,0,152,1303,44,23.4
873.67,3.940,6.2,7.3,257,0,154,1311,44,23.4
872.82,3.950,6.2,7.1,260,0,156,1319,44,23.4
871.75,3.940,6.1,7.0,263,0,158,1329,44,23.4
870.90,3.940,6.1,7.0,266,0,160,1337,44,23.4
870.27,3.950,6.0,7.0,267,0,162,1343,44,23.4
869.20,3.950,6.0,7.2,269,0,164,1353,43,23.4
868.14,3.950,6.0,7.3,270,0,166,1363,41,23.4
867.30,3.950,6.0,7.6,270,0,168,1371,39
866.45,3.940,6.0,7.9,270,0,170,1379,39,23.4
865.39,3.920,6.0,8.2,269,0,172,1389,38
864.55,3.920,6.0,8.4,268,0,174,1397,38,23.4
863.70,3.910,6.0,8.5,267,0,176,1405,38,23.4
862.86,3.900,6.0,8.6,266,0,178,1413,38,23.4
861.81,3.880,6.0,8.7,265,0,180,1423,38,23.4
861.18,3.880,6.0,8.6,264,0,182,1429,38,23.4
860.13,3.880,5.9,8.6,263,0,184,1439,38,23.4
858.66,3.880,5.7,8.4,262,0,186,1453,39,23.4
857.40,3.870,5.6,8.2,261,0,188,1465,39,23.4
856.36,3.870,5.5,8.0,260,0,190,1475,39,23.4
855.31,3.850,5.5,7.8,260,0,192,1485,39,23.4
854.06,3.860,5.4,7.5,259,0,194,1497,39,23.4
853.02,3.850,5.3,7.3,259,0,196,1507,40,23.4
851.77,3.850,5.2,7.0,258,0,198,1519,40,23.4
850.31,3.850,5.1,6.8,257,0,200,1533,41,23.4
850.00,3.850,5.1,6.8,257,3,201,1536,41,23.4
849.07,3.850,5.0,6.5,256,0,202,1545,41,23.4
847.83,3.850,5.0,6.3,255,0,204,1557,40,23.4
847.21,3.860,4.9,6.1,254,0,206,1563,41,23.4
846.17,3.880,4.9,5.9,253,0,208,1573,41,23.4
845.35,3.880,4.9,5.7,252,0,210,1581,42,23.4
844.52,3.860,4.9,5.5,251,0,212,1589,41,23.4
843.28,3.860,4.8,5.3,251,0,214,1601,40,23.4
842.26,3.860,4.8,5.2,251,0,216,1611,40,23.4
841.43,3.850,4.7,5.1,252,0,218,1619,40
840.41,3.850,4.7,5.0,254,0,220,1629,41,23.4
838.97,3.850,4.6,4.9,256,0,222,1643,40,23.4
837.74,3.820,4.6,4.9,259,0,224,1654,40,23.4
836.52,3.810,4.6,4.9,263,0,226,1666,39,23.4
835.50,3.810,4.5,5.0,265,0,228,1676,39,23.4
834.27,3.810,4.5,5.1,267,0,230,1688,39,23.4
833.26,3.840,4.5,5.1,269,0,232,1698,39,23.4
832.24,3.840,4.5,5.2,269,0,234,1708,39,23.4
831.22,3.810,4.3,5.2,269,0,236,1718,39,23.4
830.21,3.800,4.2,5.1,268,0,238,1728,39,23.4
829.40,3.800,4.2,5.0,267,0,240,1736,39,23.4
828.59,3.800,4.2,4.8,265,0,242,1744,39,23.4
827.58,3.800,4.1,4.6,262,0,244,1754,39,23.4
826.57,3.820,4.0,4.3,262,0,246,1764,39,23.4
825.56,3.800,4.0,4.0,262,0,248,1774,39,23.4
824.55,3.800,3.9,3.6,263,0,250,1784,39,23.4
823.75,3.800,3.8,3.3,265,0,252,1792,39,23.4
823.15,3.790,3.8,3.0,266,0,254,1797,39,23.4
822.34,3.790,3.7,2.8,272,0,256,1805,39,23.4
821.34,3.750,3.6,2.6,277,0,258,1815,39,23.4
820.34,3.760,3.6,2.4,281,0,260,1825,39,23.4
819.54,3.760,3.5,2.2,281,0,262,1833,39,23.4
818.54,3.740,3.5,2.2,281,0,264,1843,39,23.4
817.94,3.730,3.4,2.1,280,0,266,1849,39,23.4
817.14,3.760,3.3,2.2,279,0,268,1857,39,23.4
816.14,3.760,3.3,2.3,272,0,270,1867,39
815.15,3.750,3.1,2.5,264,0,272,1877,40,23.4
814.35,3.730,3.1,2.8,258,0,274,1885,40,23.4
813.56,3.730,3.1,3.1,255,0,276,1892,39
812.76,3.730,3.1,3.5,252,0,278,1900,39,23.4
811.77,3.730,3.0,3.9,250,0,280,1910,40,23.4
810.78,3.710,3.0,4.4,249,0,282,1920,40,23.4
809.79,3.710,2.9,5.0,250,0,284,1930,40,23.4
808.80,3.670,2.8,5.4,252,0,286,1940,40,23.4
807.82,3.670,2.8,5.8,254,0,288,1950,40,23.4
807.03,3.690,2.8,6.2,256,0,290,1958,40,23.4
806.24,3.690,2.7,6.5,257,0,292,1966,40,23.4
805.26,3.680,2.7,6.6,257,0,294,1975,40,23.4
804.47,3.670,2.7,6.8,258,0,296,1983,40,23.5
803.49,3.670,2.6,6.8,257,0,298,1993,40,23.4
802.31,3.670,2.6,6.7,256,0,300,2005,40,23.4
801.73,3.660,2.5,6.5,255,0,302,2011,40,23.5
800.94,3.660,2.5,6.3,253,0,304,2019,40,23.5
800.16,3.650,2.5,6.0,250,0,306,2027,40,23.4
799.38,3.640,2.3,5.6,247,0,308,2035,40,23.5
798.41,3.630,2.3,5.2,243,0,310,2045,40,23.5
797.24,3.640,2.2,4.7,238,0,312,2056,41,23.5
796.26,3.650,2.1,4.3,233,0,314,2066,41,23.5
795.29,3.650,2.0,3.9,228,0,316,2076,41,23.4
794.52,3.640,1.9,3.6,223,0,318,2084,41,23.5
793.74,3.630,1.9,3.4,216,0,320,2092,41
792.77,3.630,1.8,3.2,211,0,322,2102,41
791.81,3.610,1.7,3.1,206,0,324,2111,41,23.5
791.03,3.610,1.6,3.1,202,0,326,2119,41,23.5
790.26,3.610,1.6,3.2,199,0,328,2127,41,23.5
789.49,3.610,1.5,3.3,197,0,330,2135,41,23.5
788.72,3.610,1.5,3.5,196,0,332,2143,42,23.5
787.95,3.610,1.4,3.6,196,0,334,2151,41,23.5
786.80,3.610,1.3,3.6,197,0,336,2163,41,23.5
786.03,3.610,1.2,3.6,199,0,338,2170,41,23.5
785.26,3.600,1.1,3.6,202,0,340,2178,42,23.5
784.30,3.600,1.1,3.5,207,0,342,2188,42,23.5
783.35,3.590,0.9,3.4,212,0,344,2198,42,23.5
782.58,3.560,0.9,3.3,218,0,346,2206,42,23.5
781.63,3.550,0.8,3.1,225,0,348,2216,42,23.5
780.67,3.550,0.7,2.9,233,0,350,2225,42,23.5
779.72,3.550,0.7,2.7,241,0,352,2235,43,23.5
778.96,3.520,0.6,2.5,248,0,354,2243,44,23.5
778.20,3.510,0.6,2.3,256,0,356,2251,44,23.5
777.25,3.510,0.5,2.1,261,0,358,2261,44,23.5
776.30,3.490,0.5,1.8,269,0,360,2270,44,23.5
775.73,3.490,0.5,1.5,276,0,362,2276,44,23.5
774.79,3.500,0.4,1.4,285,0,364,2286,44,23.5
773.84,3.490,0.4,1.2,298,0,366,2296,44,23.5
772.90,3.480,0.4,1.2,311,0,368,2306,44,23.5
771.95,3.480,0.3,1.2,322,0,370,2315,44
770.82,3.480,0.2,1.3,327,0,372,2327,45,23.5
770.07,3.480,0.1,1.5,331,0,374,2335,45,23.5
769.32,3.480,0.1,1.7,335,0,376,2343,46,23.5
768.57,3.460,0.0,2.0,337,0,378,2351,46,23.5
767.82,3.460,-0.1,2.3,335,0,380,2358,47,23.5
767.07,3.450,-0.1,2.5,333,0,382,2366,47,23.5
766.32,3.450,-0.1,2.7,330,0,384,2374,47,23.5
765.39,3.450,-0.2,2.8,328,0,386,2384,47,23.5
764.45,3.440,-0.3,2.8,325,0,388,2394,48,23.5
763.71,3.400,-0.3,2.8,321,0,390,2401,48,23.5
762.77,3.390,-0.4,2.7,316,0,392,2411,48,23.5
761.84,3.380,-0.5,2.5,309,0,394,2421,49,23.5
760.73,3.350,-0.5,2.4,302,0,396,2433,49,23.5
759.99,3.350,-0.5,2.3,294,0,398,2441,49,23.5
758.87,3.340,-0.6,2.3,283,0,400,2452,50,23.5
757.95,3.330,-0.7,2.4,272,0,402,2462,50,23.5
757.21,3.300,-0.7,2.5,264,0,404,2470,51,23.5
756.28,3.300,-0.8,2.7,257,0,406,2480,51,23.5
755.18,3.280,-0.9,2.9,251,0,408,2491,51,23.6
754.44,3.270,-1.0,3.1,246,0,410,2499,51,23.6
753.89,3.270,-1.0,3.1,242,0,412,2505,51,23.6
753.15,3.250,-1.1,3.2,240,0,414,2513,52,23.6
752.42,3.250,-1.1,3.2,238,0,416,2520,52,23.6
751.50,3.240,-1.1,3.1,235,0,418,2530,52,23.6
750.77,3.240,-1.2,2.9,231,0,420,2538,52
749.67,3.230,-1.3,2.7,228,0,422,2550,52,23.6
748.75,3.210,-1.3,2.5,224,0,424,2559,51,23.6
747.84,3.180,-1.3,2.3,218,0,426,2569,51,23.6
746.93,3.180,-1.4,2.2,211,0,428,2579,52,23.6
746.02,3.180,-1.5,2.1,206,0,430,2589,52,23.6
745.29,3.170,-1.5,2.0,202,0,432,2596,52,23.6
744.38,3.170,-1.6,2.0,198,0,434,2606,51,23.6
743.47,3.180,-1.6,2.0,195,0,436,2616,50,23.6
742.74,3.170,-1.6,2.1,193,0,438,2624,49,23.6
742.02,3.140,-1.6,2.1,191,0,440,2631,49,23.6
741.11,3.130,-1.7,2.1,188,0,442,2641,49,23.6
739.85,3.140,-1.7,2.1,183,0,444,2655,49,23.6
739.13,3.120,-1.8,2.1,178,0,446,2662,49,23.6
738.40,3.120,-1.8,2.1,173,0,448,2670,49,23.6
737.68,3.120,-1.8,2.1,165,0,450,2678,49,23.6
736.78,3.110,-2.0,2.1,156,0,452,2688,49,23.6
736.06,3.110,-2.0,2.1,150,0,454,2695,50,23.6
735.35,3.110,-2.1,2.0,144,0,456,2703,50,23.6
734.27,3.110,-2.2,2.0,141,0,458,2715,50,23.6
733.55,3.110,-2.3,1.8,131,0,460,2723,50,23.6
732.84,3.080,-2.4,1.5,124,0,462,2730,50,23.6
731.94,3.080,-2.4,1.3,114,0,464,2740,50,23.6
730.87,3.070,-2.5,1.2,94,0,466,2752,50,23.6
