
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-09-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16951

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-03-08,11:07:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 176
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
233.9,0,273.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.025,27.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
951.84,0.95,14.6,2.8,84,2,0,631,57,20.6
949.98,0.96,13.3,1.5,108,0,2,646,55,20.6
948.83,0.97,13.1,1.7,110,0,4,658,56,20.6
947.67,0.98,12.9,2,109,2,6,668,57,20.6
946.28,0.99,12.8,2.2,107,0,8,681,58,20.6
944.9,0.99,12.7,2.5,106,0,10,693,58,20.6
943.51,0.99,12.5,2.6,105,0,12,705,59,20.7
942.13,1,12.4,2.8,104,0,14,717,59,20.7
940.75,1,12.3,2.9,102,0,16,729,59,20.7
939.6,0.99,12.2,3,101,0,18,739,59,20.7
938.46,0.99,12.2,3,99,0,20,749,59,20.7
937.31,1,12.1,3,98,0,22,760,58,20.7
935.71,1.01,12.1,3,96,0,24,773,58,20.7
934.12,1.02,11.9,2.9,94,0,26,787,58,20.8
932.75,1.03,11.8,2.8,92,0,28,801,59,20.8
931.38,1.04,11.7,2.7,90,0,30,812,60,20.8
930.25,1.06,11.5,2.6,89,0,32,824,61,20.8
928.66,1.08,11.4,2.5,87,0,34,837,62,20.8
927.3,1.08,11.3,2.4,86,0,36,850,62,20.8
925.71,1.08,11.2,2.3,85,0,38,864,61,20.8
925,1.08,11.1,2.1,84,3,39,870,60,20.9
924.36,1.09,11.1,2.1,84,0,40,875,60,20.9
923.23,1.09,10.9,2,84,0,42,887,60,20.9
921.88,1.12,10.9,1.8,85,0,44,898,61,20.9
920.76,1.13,10.8,1.7,86,0,46,908,61,20.9
919.86,1.15,10.7,1.6,89,0,48,918,61,20.9
918.51,1.16,10.6,1.5,92,0,50,928,61,20.9
917.17,1.17,10.5,1.3,97,0,52,940,61,20.9
915.82,1.21,10.4,1.2,104,0,54,953,61,21
914.71,1.22,10.3,1.2,112,0,56,964,61,21
913.59,1.24,10.2,1.1,120,0,58,975,62,21
912.25,1.27,10.1,1.1,129,0,60,987,62,21
910.7,1.3,10,1.1,138,0,62,999,63,21
909.58,1.31,9.8,1.2,147,0,64,1011,63,21
908.25,1.31,9.7,1.2,154,0,66,1021,63,21.1
907.15,1.32,9.6,1.2,162,0,68,1033,63,21.1
905.82,1.33,9.5,1.3,169,0,70,1045,63,21.1
904.49,1.33,9.4,1.3,175,0,72,1057,63,21.1
903.17,1.33,9.3,1.3,182,0,74,1068,64,21.1
902.07,1.35,9.2,1.3,188,0,76,1080,64,21.1
900.75,1.36,9.1,1.3,195,0,78,1092,65,21.1
899.21,1.37,9,1.3,202,0,80,1105,66,21.1
897.89,1.37,8.8,1.3,210,0,82,1118,66,21.1
896.58,1.37,8.7,1.3,217,0,84,1129,67,21.2
895.48,1.37,8.7,1.4,225,0,86,1141,67,21.2
894.17,1.37,8.6,1.4,232,0,88,1152,67,21.2
893.08,1.36,8.5,1.5,239,0,90,1162,67,21.2
891.99,1.35,8.4,1.7,244,0,92,1172,67,21.2
890.9,1.35,8.4,1.8,248,0,94,1183,67,21.2
889.38,1.36,8.4,2,251,0,96,1197,66,21.2
887.86,1.36,8.4,2.2,253,0,98,1210,66,21.2
886.56,1.37,8.3,2.4,254,0,100,1222,66,21.3
885.48,1.37,8.2,2.6,254,0,102,1232,67,21.3
884.4,1.39,8.2,2.8,254,0,104,1242,66,21.3
883.32,1.4,8.1,3.1,254,2,106,1253,66,21.3
882.03,1.4,8.2,3.3,254,0,108,1265,64,21.3
881.17,1.41,8.2,3.4,254,0,110,1274,62,21.3
880.09,1.42,8.3,3.6,254,0,112,1284,62,21.3
879.02,1.45,8.2,3.7,255,0,114,1294,61,21.3
877.73,1.46,8.2,3.8,256,0,116,1305,61,21.3
876.66,1.48,8.3,3.8,258,0,118,1316,60,21.4
875.59,1.51,8.3,3.9,260,0,120,1326,58,21.4
874.1,1.55,8.3,3.9,262,0,122,1339,57,21.4
872.61,1.6,8.4,3.8,265,0,124,1354,54,21.4
871.12,1.65,8.4,3.8,268,0,126,1368,52,21.4
869.84,1.71,8.4,3.7,271,0,128,1380,52,21.4
868.57,1.81,8.5,3.7,275,0,130,1392,50,21.4
867.08,1.91,8.4,3.7,279,0,132,1406,48,21.4
865.82,1.98,8.4,3.6,282,0,134,1419,48,21.4
864.55,2.08,8.4,3.5,286,0,136,1430,47,21.4
863.49,2.13,8.4,3.5,291,0,138,1440,46,21.4
862.44,2.18,8.4,3.4,295,0,140,1450,46,21.4
861.18,2.27,8.7,3.4,299,0,142,1462,43,21.4
860.13,2.37,8.9,3.3,303,0,144,1473,41,21.5
859.08,2.42,9.1,3.2,308,0,146,1484,38,21.5
857.82,2.51,9.1,3.2,312,0,148,1494,37,21.5
856.98,2.57,9.1,3.1,316,0,150,1503,37,21.5
855.94,2.58,9,3.1,320,0,152,1513,37,21.5
855.1,2.67,8.9,3.1,323,0,154,1522,37,21.5
854.06,2.7,8.9,3,326,0,156,1532,37,21.5
853.02,2.76,8.9,3,328,0,158,1542,37,21.5
851.98,2.8,8.8,3,330,0,160,1552,36,21.5
850.73,2.84,8.7,3,331,0,162,1563,36,21.5
850,2.87,8.6,2.9,332,3,163,1571,37,21.5
849.48,2.89,8.6,2.9,332,0,164,1576,37,21.5
848.03,2.95,8.5,2.9,332,0,166,1590,37,21.5
846.79,2.96,8.4,2.9,331,0,168,1603,37,21.5
845.55,2.98,8.3,2.8,330,0,170,1614,37,21.5
844.52,3,8.2,2.8,328,0,172,1625,36,21.6
843.28,3.04,8.1,2.7,327,0,174,1636,37,21.6
842.26,3.08,8,2.7,324,0,176,1647,37,21.6
841.02,3.11,7.9,2.6,322,0,178,1658,38,21.6
839.79,3.13,7.7,2.6,318,0,180,1670,38,21.6
838.56,3.15,7.6,2.6,315,0,182,1682,38,21.6
837.34,3.18,7.6,2.6,311,0,184,1695,38,21.6
836.11,3.19,7.5,2.6,307,0,186,1707,38,21.6
834.89,3.22,7.4,2.6,303,0,188,1720,38,21.6
833.46,3.23,7.3,2.7,299,0,190,1733,38,21.6
832.04,3.24,7.2,2.8,296,0,192,1747,38,21.6
830.62,3.26,7.2,3,293,0,194,1762,37,21.6
829.4,3.27,7.2,3.2,290,0,196,1774,37,21.6
828.19,3.27,7.1,3.5,288,0,198,1784,37,21.6
827.18,3.27,7.1,3.7,287,0,200,1796,36,21.6
825.76,3.27,7,4.1,286,0,202,1808,35,21.6
824.55,3.27,7,4.4,286,0,204,1820,34,21.6
823.55,3.28,7,4.7,286,0,206,1832,33,21.6
822.34,3.27,7,5.1,286,0,208,1843,33,21.6
821.14,3.27,7,5.4,286,0,210,1855,33,21.6
819.94,3.27,7.1,5.7,286,0,212,1867,32,21.6
818.74,3.26,7.3,6,286,0,214,1879,31,21.6
817.74,3.26,7.3,6.2,286,0,216,1890,30,21.6
816.54,3.26,7.3,6.4,286,0,218,1901,29,21.7
815.55,3.26,7.4,6.6,287,0,220,1912,29,21.7
814.55,3.26,7.5,6.7,287,0,222,1921,28,21.7
813.56,3.26,7.6,6.8,288,0,224,1932,27,21.7
812.56,3.26,7.7,6.9,288,0,226,1942,26,21.7
811.18,3.27,7.7,7,289,0,228,1955,26,21.7
809.99,3.3,7.7,7.2,289,0,230,1968,25,21.7
808.8,3.3,7.7,7.3,290,0,232,1980,25,21.7
807.82,3.29,7.7,7.4,291,0,234,1989,24,21.7
807.03,3.29,7.7,7.6,291,0,236,1997,24,21.7
806.24,3.3,7.8,7.9,292,0,238,2007,23,21.7
805.26,3.33,7.9,8.1,292,0,240,2017,22,21.7
804.08,3.34,7.9,8.4,292,0,242,2028,21,21.7
802.9,3.34,7.9,8.6,293,0,244,2040,20,21.7
801.92,3.35,7.8,8.9,293,0,246,2051,20,21.7
800.75,3.35,7.8,9.1,293,0,248,2061,20,21.7
799.58,3.35,7.7,9.3,293,0,250,2074,20,21.7
798.6,3.33,7.7,9.5,293,0,252,2085,19,21.7
797.43,3.34,7.6,9.7,293,0,254,2096,19,21.7
796.26,3.34,7.6,9.8,293,0,256,2108,19,21.8
795.1,3.33,7.5,10,293,0,258,2121,18,21.8
793.94,3.33,7.4,10.1,293,0,260,2132,18,21.8
792.77,3.32,7.3,10.1,293,0,262,2143,18,21.8
791.61,3.31,7.2,10.2,294,0,264,2156,17,21.8
