
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-09-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a16949

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-03-17,11:38:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 199
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
277.2,0,309.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.037,26.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
935.03,2.24,11.7,3,152,2,0,631,72,25.1
933.89,2.27,11.7,2,161,2,2,642,72,25.1
932.52,2.45,11.5,2.2,161,0,4,655,72,25.1
930.93,2.48,11.2,2.6,159,0,6,668,73,25.2
929.57,2.5,11.2,2.9,157,0,8,681,74,25.2
927.98,2.5,11.1,3.2,156,0,10,695,74,25.2
926.62,2.5,11,3.5,155,0,12,708,75,25.2
925.04,2.5,10.7,3.8,154,0,14,721,75,25.2
923.91,2.51,10.6,4.1,153,0,16,732,76,25.2
922.78,2.51,10.5,4.3,152,0,18,743,76,25.2
921.43,2.5,10.4,4.5,151,0,20,755,76,25.2
920.08,2.5,10.3,4.6,149,0,22,767,77,25.2
918.96,2.49,10.1,4.7,148,0,24,777,77,25.2
917.84,2.48,9.9,4.7,147,0,26,786,78,25.2
916.94,2.49,9.8,4.8,146,0,28,796,79,25.3
915.82,2.51,9.7,4.8,144,0,30,804,79,25.3
914.93,2.52,9.7,4.8,143,0,32,813,80,25.3
913.81,2.53,9.6,4.8,142,0,34,823,80,25.3
912.48,2.54,9.5,4.9,141,0,36,835,81,25.3
911.36,2.57,9.3,4.9,140,0,38,845,81,25.3
910.25,2.57,9.3,5,139,0,40,856,82,25.3
