
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-29,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6a39315017

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-04-06,11:52:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 267
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
324.2,0,359.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.009,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
936.63,3.06,14.4,3.4,208,2,0,631,60,23.91
935.48,3.15,14.1,2.8,230,0,2,640,57,23.93
934.34,3.23,13.8,3,235,0,4,651,57,23.95
933.2,3.25,13.6,3.4,237,0,6,661,57,23.96
932.06,3.27,13.5,3.7,239,0,8,671,58,23.97
930.93,3.28,13.5,3.9,241,0,10,681,58,23.99
930.02,3.3,13.4,4.1,242,0,12,690,59,24
929.11,3.31,13.2,4.3,243,0,14,698,59,24.02
927.98,3.35,13.1,4.4,244,0,16,708,60,24.03
926.62,3.37,13.1,4.5,245,0,18,720,60,24.05
925.26,3.37,13,4.6,246,0,20,733,60,24.06
925,3.37,13,4.6,246,3,20,735,60,24.07
923.91,3.37,12.8,4.7,246,0,22,745,60,24.07
922.78,3.39,12.7,4.7,245,0,24,757,60,24.09
921.43,3.39,12.5,4.7,245,0,26,767,60,24.1
920.53,3.4,12.4,4.8,244,0,28,777,61,24.11
919.18,3.42,12.3,4.8,242,0,30,788,61,24.13
917.84,3.42,12.2,4.8,241,0,32,800,61,24.13
916.72,3.43,12.1,4.9,239,0,34,811,61,24.14
915.38,3.46,12,4.9,237,0,36,823,62,24.16
913.81,3.5,11.8,5,235,0,38,837,62,24.16
912.48,3.53,11.7,5,233,0,40,851,62,24.17
910.92,3.54,11.5,5,231,0,42,864,62,24.18
909.58,3.54,11.2,5,229,0,44,877,63,24.19
908.25,3.54,11.1,5,227,0,46,888,63,24.21
907.37,3.59,11.1,5,225,0,48,897,64,24.22
906.26,3.6,11,5,223,0,50,907,64,24.23
905.15,3.62,10.9,4.9,222,0,52,918,65,24.24
903.61,3.64,10.7,4.9,221,0,54,930,65,24.26
902.29,3.64,10.6,4.8,220,0,56,943,65,24.27
901.19,3.66,10.4,4.8,219,0,58,954,65,24.28
900.09,3.68,10.3,4.7,219,0,60,965,65,24.29
898.77,3.68,10.3,4.7,219,0,62,976,65,24.31
897.67,3.7,10.2,4.6,219,0,64,987,65,24.32
896.36,3.72,10.1,4.6,220,0,66,999,65,24.33
895.26,3.73,10,4.5,220,0,68,1009,66,24.34
894.17,3.75,9.9,4.5,221,0,70,1018,66,24.36
893.08,3.77,9.8,4.4,222,0,72,1028,67,24.36
891.99,3.79,9.7,4.4,224,0,74,1040,67,24.37
890.69,3.79,9.6,4.3,225,0,76,1052,67,24.38
889.17,3.8,9.5,4.3,226,0,78,1065,68,24.4
887.86,3.79,9.4,4.2,228,0,80,1077,69,24.41
886.56,3.8,9.3,4.1,229,0,82,1090,70,24.42
885.27,3.79,9.1,4.1,231,0,84,1103,70,24.43
883.75,3.79,9,4,232,0,86,1117,71,24.44
882.25,3.79,8.8,3.9,233,0,88,1130,71,24.45
880.95,3.79,8.7,3.9,234,0,90,1143,71,24.46
879.45,3.78,8.6,3.8,235,0,92,1156,71,24.46
878.16,3.78,8.5,3.7,236,0,94,1169,72,24.48
876.66,3.78,8.3,3.6,237,0,96,1182,72,24.48
874.95,3.79,8.1,3.6,238,0,98,1198,73,24.5
873.25,3.81,8,3.5,238,0,100,1215,74,24.51
871.54,3.81,7.8,3.4,238,0,102,1232,75,24.52
869.84,3.8,7.7,3.4,239,0,104,1246,75,24.53
868.36,3.79,7.6,3.4,239,0,106,1261,76,24.54
866.87,3.79,7.4,3.4,239,0,108,1275,77,24.56
865.6,3.79,7.3,3.4,239,0,110,1289,77,24.57
864.34,3.79,7.1,3.4,239,0,112,1300,78,24.58
862.86,3.79,7,3.5,240,0,114,1313,79,24.59
861.39,3.79,6.9,3.5,240,0,116,1327,79,24.6
860.13,3.79,6.8,3.6,241,0,118,1341,80,24.61
858.66,3.79,6.7,3.7,242,0,120,1354,80,24.62
857.4,3.78,6.5,3.8,242,0,122,1365,80,24.64
856.15,3.79,6.4,3.9,243,0,124,1378,81,24.64
854.89,3.78,6.3,3.9,244,0,126,1391,82,24.65
853.85,3.8,6.2,4,245,0,128,1401,83,24.67
852.81,3.81,6.1,4.1,246,0,130,1410,83,24.68
851.98,3.8,6,4.2,247,0,132,1418,83,24.69
851.14,3.78,6,4.2,248,0,134,1426,84,24.7
850.31,3.77,5.8,4.3,248,0,136,1434,84,24.72
850,3.77,5.8,4.3,248,3,137,1437,84,24.73
849.48,3.77,5.7,4.4,248,0,138,1443,85,24.74
848.45,3.77,5.7,4.5,249,0,140,1453,85,24.74
847.21,3.76,5.5,4.5,248,0,142,1465,86,24.75
845.97,3.76,5.4,4.6,248,0,144,1476,86,24.76
844.93,3.76,5.4,4.6,248,0,146,1486,87,24.77
844.11,3.73,5.3,4.6,248,0,148,1495,87,24.78
843.08,3.73,5.2,4.6,247,0,150,1504,87,24.79
842.26,3.72,5.1,4.5,247,0,152,1513,87,24.81
841.23,3.72,5,4.5,248,0,154,1523,88,24.82
840,3.72,4.9,4.4,248,0,156,1535,88,24.83
838.77,3.72,4.7,4.4,249,0,158,1546,89,24.85
837.74,3.71,4.6,4.3,250,0,160,1556,90,24.85
836.52,3.7,4.5,4.3,252,0,162,1568,90,24.86
835.09,3.7,4.4,4.3,253,0,164,1582,90,24.88
833.66,3.69,4.3,4.4,255,0,166,1596,90,24.89
832.24,3.69,4.2,4.5,257,0,168,1609,91,24.89
831.02,3.69,4.1,4.7,258,0,170,1621,91,24.91
829.81,3.69,3.9,4.9,258,0,172,1633,92,24.92
828.79,3.68,3.8,5.2,259,0,174,1644,92,24.93
827.78,3.69,3.8,5.4,258,0,176,1653,93,24.94
826.77,3.72,3.7,5.7,258,0,178,1663,93,24.95
825.76,3.75,3.6,6,257,0,180,1673,93,24.96
824.96,3.76,3.5,6.3,256,0,182,1681,94,24.98
824.15,3.76,3.4,6.6,254,0,184,1690,94,24.99
823.35,3.75,3.4,6.8,253,0,186,1696,93,24.99
822.75,3.75,3.4,7,251,0,188,1702,92,25.01
821.94,3.73,3.3,7.2,250,0,190,1710,91,25.02
821.14,3.74,3.2,7.4,248,0,192,1720,91,25.03
819.94,3.76,3.2,7.5,247,0,194,1730,91,25.04
818.74,3.76,3.1,7.5,246,0,196,1742,93,25.05
817.74,3.76,3,7.6,245,0,198,1753,94,25.06
816.74,3.77,3,7.6,244,0,200,1763,95,25.06
815.74,3.76,2.9,7.6,244,0,202,1773,95,25.08
814.75,3.76,2.8,7.5,243,0,204,1783,95,25.09
813.56,3.78,2.6,7.5,243,0,206,1793,93,25.1
812.56,3.8,2.5,7.4,243,2,208,1804,92,25.11
811.38,3.81,2.5,7.4,243,0,210,1816,93,25.13
810.19,3.81,2.4,7.3,243,0,212,1827,90,25.13
809.2,3.83,2.4,7.2,244,0,214,1838,83,25.14
808.21,3.85,2.4,7.2,244,0,216,1847,81,25.15
807.42,3.89,2.4,7.2,245,0,218,1856,80,25.16
806.63,3.92,2.4,7.1,245,0,220,1864,80,25.18
805.65,3.93,2.4,7.2,246,0,222,1872,80,25.19
804.67,3.97,2.3,7.2,246,0,224,1882,81,25.19
803.88,4,2.3,7.2,247,0,226,1892,81,25.2
802.71,4.03,2.3,7.3,247,0,228,1902,80,25.21
801.53,4.06,2.3,7.3,247,0,230,1914,80,25.22
800.55,4.1,2.3,7.4,247,0,232,1925,79,25.23
799.58,4.12,2.4,7.4,246,0,234,1935,78,25.24
798.41,4.12,2.4,7.5,246,0,236,1945,78,25.25
797.43,4.12,2.3,7.4,246,0,238,1956,78,25.26
796.46,4.12,2.2,7.4,245,0,240,1965,78,25.26
795.49,4.12,2.1,7.3,245,0,242,1975,77,25.28
794.71,4.12,2,7.2,244,0,244,1984,77,25.28
793.94,4.12,2,7.1,244,0,246,1992,77,25.29
792.97,4.13,1.9,7,244,0,248,2002,77,25.3
792,4.13,1.8,6.8,244,0,250,2011,77,25.31
791.23,4.14,1.8,6.7,244,0,252,2019,77,25.31
790.45,4.15,1.7,6.5,244,0,254,2027,78,25.33
789.49,4.15,1.7,6.4,245,0,256,2036,78,25.34
788.72,4.16,1.6,6.3,245,0,258,2046,78,25.34
787.76,4.16,1.5,6.2,245,0,260,2055,78,25.35
786.99,4.17,1.4,6.1,246,0,262,2063,78,25.36
786.03,4.17,1.4,6.1,246,0,264,2073,79,25.37
784.88,4.17,1.2,6.2,245,0,266,2084,79,25.37
783.54,4.19,1.1,6.2,245,0,268,2098,80,25.38
782.39,4.19,1,6.2,244,0,270,2110,80,25.39
781.24,4.19,0.9,6.3,244,0,272,2121,79,25.39
780.48,4.18,0.8,6.4,243,0,274,2130,79,25.4
779.53,4.16,0.8,6.4,242,0,276,2139,80,25.41
778.77,4.13,0.7,6.4,242,0,278,2147,80,25.42
778.01,4.15,0.6,6.5,242,0,280,2155,80,25.43
777.06,4.15,0.5,6.5,242,0,282,2165,80,25.43
775.92,4.15,0.4,6.4,242,0,284,2176,80,25.45
774.79,4.16,0.3,6.4,243,0,286,2188,80,25.45
773.65,4.16,0.2,6.4,244,0,288,2199,81,25.46
772.71,4.15,0.2,6.3,245,0,290,2210,82,25.48
771.77,4.15,0.1,6.3,247,0,292,2219,82,25.48
770.64,4.14,0,6.3,248,0,294,2230,82,25.48
769.7,4.14,-0.1,6.3,250,0,296,2241,83,25.49
768.76,4.14,-0.2,6.3,252,0,298,2251,84,25.5
767.82,4.14,-0.3,6.4,253,0,300,2261,84,25.51
766.88,4.14,-0.3,6.4,254,0,302,2271,84,25.51
765.76,4.14,-0.4,6.4,255,0,304,2282,85,25.52
764.64,4.14,-0.6,6.5,256,0,306,2293,87,25.53
763.52,4.13,-0.7,6.5,256,0,308,2305,88,25.54
762.77,4.13,-0.7,6.5,256,0,310,2314,89,25.55
761.84,4.12,-0.8,6.6,256,0,312,2323,88,25.55
760.91,4.09,-0.9,6.6,256,0,314,2333,89,25.56
759.99,4.07,-0.9,6.6,255,0,316,2343,90,25.56
759.06,4.06,-1,6.6,255,0,318,2352,90,25.56
758.13,4.06,-1.1,6.6,254,0,320,2362,90,25.57
757.39,4.07,-1.2,6.6,253,0,322,2371,90,25.58
756.47,4.06,-1.2,6.6,253,0,324,2380,90,25.58
