
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-29,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16955

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-04-20,11:13:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 227
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
294.5,0,344

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.005,27,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
942.82,2.19,17.1,2.3,170,2,0,631,44,22.89
941.67,2.22,17.2,2.9,177,0,2,641,42,22.91
940.52,2.25,17.2,3.1,179,2,4,652,43,22.92
939.15,2.28,17.1,3.3,182,0,6,664,44,22.92
937.54,2.31,16.9,3.5,184,0,8,679,44,22.94
936.17,2.32,16.7,3.7,186,0,10,691,45,22.95
934.8,2.37,16.6,3.9,189,0,12,704,45,22.96
933.2,2.38,16.5,4.1,191,0,14,718,45,22.98
931.61,2.44,16.3,4.2,193,0,16,733,45,22.99
930.25,2.44,16.2,4.4,194,0,18,745,46,23
929.11,2.46,16,4.5,196,0,20,756,46,23.02
927.98,2.49,15.8,4.7,197,0,22,766,46,23.03
927.07,2.55,15.7,4.8,199,0,24,774,47,23.04
926.17,2.61,15.7,4.9,200,0,26,783,47,23.05
925.04,2.62,15.6,5,201,0,28,793,47,23.07
923.91,2.69,15.5,5.1,201,0,30,803,48,23.09
922.78,2.7,15.3,5.1,202,0,32,814,48,23.11
921.88,2.72,15.2,5.1,202,0,34,822,48,23.12
920.53,2.73,15.1,5.1,202,0,36,834,49,23.14
919.63,2.74,15,5,202,0,38,843,49,23.15
918.29,2.74,15,5,202,0,40,855,49,23.18
917.17,2.75,14.8,5,202,0,42,865,50,23.18
915.82,2.75,14.7,5,203,0,44,878,50,23.2
914.48,2.75,14.6,5,203,0,46,890,50,23.21
913.14,2.76,14.5,5,204,0,48,903,50,23.23
911.59,2.76,14.4,5,204,0,50,917,50,23.23
910.03,2.77,14.2,5,205,0,52,931,50,23.25
908.25,2.77,14.1,5,206,0,54,948,51,23.27
906.7,2.77,14,5,207,0,56,962,51,23.29
905.15,2.77,13.8,5,208,0,58,977,52,23.3
903.61,2.76,13.6,4.9,209,0,60,991,52,23.31
902.51,2.76,13.5,4.9,210,0,62,1001,52,23.32
901.41,2.76,13.4,4.8,211,0,64,1012,53,23.33
900.31,2.79,13.3,4.7,212,0,66,1022,53,23.36
899.43,2.79,13.1,4.7,213,0,68,1030,53,23.37
898.11,2.81,13.1,4.6,213,0,70,1043,53,23.39
896.58,2.83,12.9,4.6,214,0,72,1057,53,23.4
