
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a16957

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-05-03,10:40:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 227
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
300.6,0,340

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.027,27.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.23,2.58,15.5,2.9,62,2,0,631,61,24.6
936.4,2.65,14.7,2.4,72,0,2,648,59,24.62
935.26,2.71,14.7,2.4,76,0,4,658,60,24.63
934.12,2.71,14.6,2.7,77,0,6,668,60,24.64
932.98,2.83,14.5,3,77,0,8,679,61,24.65
931.61,2.87,14.3,3.4,78,0,10,691,62,24.66
930.25,2.89,14.2,3.5,80,0,12,703,62,24.67
929.11,2.98,14.1,3.6,81,0,14,714,62,24.68
927.98,3.03,13.9,3.7,83,0,16,724,63,24.69
926.62,3.11,13.7,3.8,85,0,18,736,63,24.7
925.26,3.12,13.6,3.7,88,0,20,749,64,24.71
925,3.14,13.6,3.7,88,3,20,751,64,24.71
923.91,3.14,13.5,3.7,91,0,22,761,64,24.71
922.33,3.2,13.4,3.6,94,0,24,775,65,24.71
921.66,3.23,13.3,3.4,97,0,26,782,65,24.72
920.53,3.24,13.3,3.3,101,0,28,792,65,24.73
918.96,3.26,13.1,3.1,104,0,30,806,66,24.74
917.39,3.3,13,2.9,106,0,32,821,66,24.75
916.05,3.3,13,2.8,108,0,34,833,67,24.76
914.93,3.33,12.9,2.7,110,0,36,843,67,24.76
913.59,3.34,12.7,2.7,111,0,38,855,67,24.77
912.48,3.36,12.5,2.6,111,0,40,866,68,24.77
911.36,3.44,12.4,2.7,111,0,42,876,67,24.8
910.47,3.48,12.3,2.7,110,0,44,884,67,24.8
909.36,3.51,12.2,2.8,109,0,46,894,67,24.8
908.25,3.61,12.1,3,107,0,48,905,68,24.81
906.92,3.68,12,3.1,107,0,50,917,68,24.81
905.82,3.76,11.8,3.3,106,0,52,927,69,24.83
