
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a16958

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-05-10,10:54:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 193
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
259.9,0,322.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.031,27.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.21,4.21,22.2,1.8,39,2,0,631,43,26.57
940.06,4.22,21.2,1,14,0,2,642,41,26.59
938.69,4.22,20.1,0.7,7,0,4,654,42,26.61
937.31,4.27,19,0.8,8,2,6,667,44,26.63
935.94,4.27,18.9,0.9,12,0,8,679,45,26.64
934.8,4.35,18.8,1,15,0,10,690,46,26.66
933.43,4.36,18.7,1,18,0,12,702,47,26.68
932.29,4.39,18.7,1,21,0,14,713,48,26.7
931.16,4.41,18.7,1,23,0,16,723,48,26.72
929.79,4.42,18.5,0.9,25,0,18,736,48,26.73
928.66,4.43,18.5,0.9,28,0,20,746,49,26.76
927.3,4.44,18.5,0.8,31,0,22,759,49,26.78
925.94,4.46,18.3,0.7,34,0,24,772,49,26.79
925,4.46,18.1,0.6,37,3,25,780,49,26.81
924.36,4.46,18,0.6,37,0,26,786,49,26.81
922.78,4.48,17.8,0.6,41,0,28,801,50,26.84
921.21,4.49,17.7,0.6,46,0,30,815,50,26.86
919.86,4.53,17.5,0.6,50,0,32,828,50,26.88
918.51,4.53,17.4,0.6,53,0,34,840,51,26.9
916.94,4.53,17.3,0.6,56,0,36,855,51,26.91
915.15,4.51,17.1,0.7,61,0,38,872,51,26.92
