
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-29,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A16981

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-05-17,10:59:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 164
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
225.6,0,284.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.061,27.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.28,1.88,30.1,1.9,253,2,0,631,27,30.45
945.59,1.98,29.6,1.8,246,0,2,638,28,30.47
945.13,2.01,29.3,1.8,243,0,4,642,28,30.48
944.2,2.06,28.9,1.9,242,0,6,651,29,30.49
943.28,2.07,28.4,2,241,2,8,659,30,30.5
942.59,2.09,28.4,2,240,0,10,666,30,30.52
942.13,2.13,28.3,1.9,236,0,12,670,30,30.53
941.44,2.16,28.2,1.9,233,0,14,677,30,30.55
940.29,2.21,28.2,1.9,229,0,16,687,31,30.56
939.15,2.24,28.2,1.8,225,0,18,698,31,30.57
938.23,2.26,28,1.8,220,0,20,707,31,30.59
937.31,2.26,28,1.8,215,0,22,715,31,30.6
936.63,2.28,27.9,1.8,210,0,24,722,31,30.61
935.94,2.3,27.9,1.8,205,0,26,728,31,30.61
935.26,2.3,27.8,1.8,201,0,28,735,32,30.63
934.34,2.32,27.8,1.8,197,0,30,744,32,30.65
933.43,2.33,27.6,1.9,193,0,32,752,32,30.66
932.29,2.34,27.4,1.9,190,0,34,763,32,30.66
931.16,2.35,27.3,1.9,187,0,36,774,32,30.67
930.02,2.38,27.2,1.9,184,0,38,785,32,30.69
928.88,2.42,27.1,1.8,182,0,40,795,32,30.7
927.75,2.45,27,1.8,180,0,42,806,32,30.72
926.62,2.48,26.8,1.8,178,0,44,817,33,30.73
925.49,2.51,26.8,1.8,176,0,46,828,33,30.74
925,2.53,26.8,1.8,176,3,47,832,33,30.74
924.36,2.53,26.7,1.8,175,0,48,838,33,30.74
923.23,2.54,26.6,1.8,174,0,50,849,33,30.76
922.11,2.55,26.5,1.8,173,0,52,860,34,30.78
920.98,2.56,26.3,1.8,171,0,54,871,34,30.79
919.86,2.56,26.2,1.8,170,0,56,882,34,30.8
918.96,2.56,26.1,1.9,168,0,58,890,34,30.81
918.06,2.56,26,1.9,166,0,60,899,34,30.82
916.94,2.55,25.9,1.9,164,0,62,909,35,30.83
915.82,2.57,25.9,1.9,163,0,64,920,35,30.85
914.93,2.58,25.7,2,162,0,66,929,35,30.86
913.81,2.59,25.7,2,161,0,68,940,35,30.86
912.7,2.59,25.7,2,162,0,70,950,35,30.88
911.59,2.6,25.5,2,163,0,72,961,35,30.91
910.47,2.6,25.4,2,165,0,74,972,35,30.91
909.58,2.6,25.2,2,168,0,76,980,36,30.92
908.48,2.6,25.1,2.1,172,0,78,991,36,30.93
907.37,2.59,25,2.1,176,0,80,1002,37,30.94
906.26,2.6,25,2.2,182,0,82,1012,37,30.95
905.15,2.61,25,2.4,188,0,84,1023,36,30.96
904.05,2.65,25,2.5,193,0,86,1034,36,30.97
903.17,2.65,24.9,2.7,198,0,88,1042,36,30.99
902.07,2.71,24.7,2.9,201,0,90,1053,36,30.99
901.19,2.73,24.6,3.1,204,0,92,1062,36,31
899.87,2.75,24.5,3.2,206,0,94,1074,36,31.01
898.77,2.76,24.4,3.3,207,0,96,1085,37,31.02
897.89,2.78,24.3,3.4,208,0,98,1094,37,31.03
896.8,2.8,24.2,3.4,207,0,100,1104,37,31.04
895.7,2.81,24.1,3.5,207,0,102,1115,38,31.05
894.61,2.83,24,3.5,205,0,104,1126,38,31.06
893.52,2.83,23.9,3.4,204,0,106,1136,38,31.07
892.43,2.87,23.8,3.4,204,0,108,1147,38,31.09
891.34,2.89,23.7,3.4,204,0,110,1158,38,31.09
890.25,2.9,23.6,3.5,204,0,112,1168,38,31.1
889.17,2.91,23.5,3.6,204,0,114,1179,39,31.1
888.3,2.92,23.4,3.7,204,0,116,1188,39,31.12
887,2.94,23.3,3.8,206,0,118,1200,39,31.13
885.7,2.96,23.2,4,206,0,120,1213,39,31.13
884.4,2.97,23.1,4.2,206,0,122,1226,39,31.16
883.32,2.98,23,4.4,206,0,124,1237,40,31.16
882.25,2.99,22.9,4.6,206,0,126,1247,40,31.17
881.38,3,22.8,4.8,206,0,128,1256,40,31.18
880.31,3,22.6,5,205,0,130,1266,41,31.18
879.02,3,22.5,5.2,204,0,132,1279,41,31.21
877.95,3.01,22.5,5.3,204,0,134,1290,41,31.22
876.66,3.01,22.4,5.5,204,0,136,1302,41,31.23
875.59,3,22.3,5.6,204,0,138,1313,41,31.23
874.31,2.99,22.1,5.7,204,0,140,1326,41,31.25
872.82,3.02,22,5.8,205,0,142,1341,41,31.25
871.54,3,21.9,5.9,206,0,144,1353,42,31.26
870.48,3,21.8,6,207,0,146,1364,42,31.27
869.42,3,21.7,6.2,208,0,148,1374,42,31.27
868.36,3,21.6,6.4,210,0,150,1385,42,31.28
867.3,3,21.5,6.6,211,0,152,1396,42,31.29
866.03,3,21.4,6.8,213,0,154,1408,43,31.3
864.97,3,21.3,7,214,2,156,1419,43,31.3
863.7,3.01,21.3,7.3,215,0,158,1432,42,31.32
862.44,3.03,21.2,7.5,216,0,160,1444,42,31.35
861.39,3.04,21.2,7.7,217,0,162,1455,42,31.36
860.34,3.1,21.2,7.9,218,0,164,1465,41,31.36
859.29,3.2,21.5,8.1,219,0,166,1476,39,31.36
858.03,3.32,21.6,8.3,220,0,168,1489,38,31.38
856.77,3.35,21.5,8.5,221,0,170,1501,38,31.38
855.52,3.39,21.4,8.6,222,0,172,1514,38,31.39
854.48,3.52,21.4,8.8,223,0,174,1525,38,31.39
853.43,3.56,21.4,8.9,223,0,176,1535,37,31.42
852.39,3.65,21.3,9.1,224,0,178,1546,37,31.42
851.35,3.71,21.2,9.3,224,0,180,1556,37,31.43
850.31,3.78,21.1,9.5,224,0,182,1567,37,31.44
850,3.82,21.1,9.5,224,3,183,1570,37,31.44
849.07,3.82,21.1,9.7,224,0,184,1580,37,31.44
847.83,3.84,21.1,10,224,0,186,1592,36,31.45
846.79,3.87,20.9,10.3,224,0,188,1603,36,31.45
845.97,3.89,20.9,10.5,224,0,190,1611,36,31.47
844.93,3.9,20.8,10.9,224,0,192,1622,36,31.47
843.7,3.95,20.7,11.1,224,0,194,1634,36,31.47
842.46,3.96,20.6,11.4,224,0,196,1647,36,31.47
841.43,3.96,20.5,11.7,224,0,198,1658,36,31.49
840.41,3.96,20.5,11.9,224,0,200,1668,35,31.5
839.38,3.96,20.6,12.1,223,0,202,1679,35,31.51
838.36,3.9,20.8,12.3,223,0,204,1689,33,31.52
837.54,3.89,21,12.5,222,0,206,1698,30,31.53
836.52,3.87,21.1,12.6,221,0,208,1708,30,31.54
835.5,3.85,21.1,12.7,220,0,210,1719,29,31.55
834.68,3.83,21.1,12.8,219,0,212,1727,29,31.56
833.46,3.82,21,12.8,217,0,214,1740,29,31.57
832.24,3.75,21,12.9,216,0,216,1753,28,31.58
831.02,3.72,20.9,13,215,0,218,1765,28,31.59
829.81,3.7,20.9,13,214,0,220,1778,27,31.59
828.59,3.67,20.9,13.1,213,0,222,1790,27,31.6
827.58,3.66,20.8,13.1,212,0,224,1801,27,31.61
826.57,3.64,20.8,13.2,212,0,226,1812,27,31.61
825.36,3.63,20.8,13.2,212,0,228,1824,26,31.62
