
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-29,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a16978

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-05-24,11:36:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 218
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
324.8,0,385.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.003,28.1,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
953,4.82,20.6,1.2,84,2,0,631,18,25.22
951.38,4.84,18.7,1.3,109,0,2,646,19,25.24
949.98,4.86,17.1,1.4,116,2,4,658,20,25.26
948.83,4.86,16.9,1.5,124,0,6,669,20,25.27
947.44,4.9,16.8,1.5,130,0,8,681,20,25.28
946.28,4.92,16.7,1.6,136,0,10,691,21,25.3
944.9,4.97,16.6,1.6,141,0,12,704,21,25.33
943.51,4.99,16.5,1.6,145,0,14,716,21,25.34
941.9,5.01,16.4,1.7,148,0,16,731,21,25.35
940.29,5.02,16.3,1.7,150,0,18,745,21,25.38
938.69,5.02,16.2,1.7,151,0,20,760,22,25.38
937.31,5.04,16.1,1.7,150,0,22,772,22,25.41
936.17,5.05,16,1.7,149,0,24,783,22,25.42
934.8,5.05,15.9,1.6,146,0,26,795,22,25.43
933.43,5.06,15.8,1.5,141,0,28,807,22,25.45
931.84,5.09,15.6,1.4,135,0,30,822,23,25.46
930.25,5.07,15.5,1.3,130,0,32,836,23,25.49
928.88,5.06,15.6,1.2,121,0,34,849,23,25.49
927.52,5.07,15.6,1.1,107,0,36,861,23,25.5
925.71,5.08,15.5,1.1,94,0,38,878,23,25.53
925,5.08,15.5,1.1,94,3,39,884,23,25.54
924.13,5.08,15.4,1.1,84,0,40,892,23,25.56
922.33,5.08,15.2,1.1,75,0,42,909,23,25.57
920.31,5.08,15.2,1.1,72,0,44,927,24,25.58
918.29,5.08,14.8,1.2,69,0,46,946,24,25.58
916.5,5.07,14.4,1.2,68,0,48,962,24,25.59
914.93,5.06,14.1,1.2,68,0,50,977,24,25.63
913.59,5.05,13.8,1.1,72,0,52,989,24,25.64
912.48,5.04,13.6,1.1,77,0,54,999,24,25.65
910.92,5.04,13.5,1,80,0,56,1014,25,25.66
909.36,5.05,13.4,0.9,81,0,58,1028,25,25.68
908.03,5.06,13.2,0.8,87,0,60,1040,25,25.7
906.48,5.08,13.1,0.7,91,0,62,1055,26,25.72
904.93,5.08,13.1,0.6,99,0,64,1069,26,25.73
903.61,5.08,13,0.6,117,0,66,1081,26,25.74
902.29,5.06,12.8,0.6,141,0,68,1094,26,25.76
900.97,5.06,12.7,0.6,163,0,70,1106,26,25.77
899.43,5.05,12.5,0.6,183,0,72,1120,27,25.78
897.89,5.05,12.4,0.7,195,0,74,1135,27,25.82
896.58,5.05,12.2,0.8,197,0,76,1147,27,25.83
895.26,5.05,12.1,1,200,0,78,1159,27,25.84
893.74,5.05,12,1.2,203,0,80,1173,27,25.84
892.65,5.02,12,1.3,197,0,82,1184,27,25.86
891.34,4.99,11.9,1.4,195,0,84,1196,28,25.87
890.25,4.97,11.8,1.5,193,0,86,1206,28,25.89
888.73,4.96,11.6,1.5,191,0,88,1220,28,25.92
887.43,4.96,11.4,1.6,189,0,90,1232,28,25.93
885.92,4.94,11.3,1.6,188,0,92,1247,28,25.94
884.62,4.92,11.3,1.6,187,0,94,1259,28,25.94
883.32,4.92,11.3,1.5,185,0,96,1271,28,25.97
881.6,4.92,11.3,1.5,183,0,98,1287,29,25.98
879.88,4.91,11.2,1.5,180,0,100,1304,29,25.99
877.95,4.91,10.9,1.4,177,0,102,1322,29,26
876.02,4.89,10.6,1.4,173,0,104,1340,29,26.01
874.31,4.89,10.3,1.3,168,0,106,1357,29,26.03
872.82,4.88,10.1,1.3,163,0,108,1371,29,26.04
871.12,4.88,10,1.2,157,0,110,1387,30,26.05
869.2,4.89,9.9,1.2,152,0,112,1405,30,26.07
867.08,4.89,9.7,1.1,145,0,114,1426,31,26.09
865.18,4.9,9.4,1,139,0,116,1444,31,26.11
863.07,4.88,9.3,1,133,0,118,1464,31,26.12
861.18,4.88,9.1,0.9,128,0,120,1482,31,26.13
859.08,4.84,9,0.9,122,0,122,1502,31,26.14
857.19,4.84,8.8,0.8,118,0,124,1521,32,26.16
855.31,4.84,8.6,0.7,113,0,126,1539,32,26.18
853.43,4.84,8.4,0.7,108,0,128,1557,32,26.18
851.77,4.83,8.4,0.6,108,0,130,1573,32,26.2
849.9,4.82,8.2,0.5,97,0,132,1591,33,26.21
848.03,4.82,8,0,0,0,134,1609,34,26.22
846.17,4.79,7.8,0,0,0,136,1627,34,26.24
844.31,4.78,7.6,0,0,0,138,1645,34,26.26
842.46,4.77,7.4,0,0,0,140,1664,34,26.28
840.61,4.77,7.2,0,0,0,142,1682,35,26.3
838.77,4.76,7.1,0,0,0,144,1700,35,26.32
837.13,4.74,6.9,0,0,0,146,1716,35,26.32
835.29,4.74,6.7,0,0,0,148,1734,36,26.32
833.26,4.74,6.5,0,0,0,150,1754,37,26.33
831.22,4.74,6.3,0,0,0,152,1774,37,26.34
829.2,4.72,6.1,0,0,0,154,1794,37,26.36
827.18,4.7,5.9,0,0,0,156,1814,38,26.38
825.36,4.7,5.7,0,0,0,158,1832,38,26.39
823.35,4.68,5.5,0,0,0,160,1852,39,26.39
821.54,4.67,5.4,0,0,0,162,1870,39,26.41
819.74,4.66,5.3,0,0,0,164,1888,39,26.42
817.94,4.64,5.2,0,0,0,166,1906,38,26.43
816.34,4.63,5.1,0,0,0,168,1921,39,26.44
814.55,4.62,4.9,0,0,0,170,1939,39,26.45
812.56,4.62,4.7,0,0,0,172,1959,39,26.46
810.78,4.61,4.4,0,0,0,174,1977,40,26.48
809.2,4.61,4.1,0,0,0,176,1993,41,26.49
807.42,4.6,3.9,0,0,0,178,2011,42,26.5
805.65,4.59,3.7,0.5,327,0,180,2029,43,26.52
803.88,4.57,3.5,0.5,341,0,182,2047,43,26.53
802.31,4.56,3.4,0.6,347,0,184,2062,43,26.54
800.55,4.55,3.2,0.7,353,0,186,2080,44,26.54
798.99,4.54,3,0.8,359,0,188,2096,44,26.54
797.24,4.52,2.9,0.9,2,0,190,2114,44,26.55
795.49,4.51,2.8,0.9,3,0,192,2132,45,26.58
793.94,4.5,2.6,1,4,0,194,2147,45,26.59
792.39,4.49,2.5,1,4,0,196,2163,45,26.6
791.03,4.46,2.4,1.1,4,0,198,2177,45,26.6
789.3,4.46,2.2,1.1,3,0,200,2195,46,26.61
787.76,4.46,2,1.1,2,0,202,2211,47,26.61
786.41,4.46,1.9,1.1,1,0,204,2224,46,26.62
785.07,4.46,1.8,1.1,359,0,206,2238,47,26.64
783.73,4.46,1.7,1.2,358,0,208,2252,47,26.66
782.2,4.46,1.5,1.2,357,0,210,2268,47,26.66
780.86,4.46,1.4,1.3,356,0,212,2281,47,26.66
779.53,4.44,1.2,1.4,356,0,214,2295,48,26.67
778.2,4.44,1.1,1.5,354,2,216,2309,48,26.68
776.87,4.44,1.1,1.6,353,0,218,2323,48,26.69
775.73,4.44,1.1,1.7,350,0,220,2334,48,26.7
774.6,4.44,1.3,1.7,347,0,222,2346,47,26.71
773.65,4.43,0.9,1.8,343,0,224,2356,45,26.71
