
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-10,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A8057

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-06-07,10:54:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 170
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
205.6,0,255

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.032,26.5,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.74,4.17,28.7,0.5,197,2,0,631,16,31.92
945.82,4.28,28.8,1.1,188,0,2,640,19,31.93
944.66,4.31,28.6,1.5,183,0,4,650,19,31.94
943.28,4.31,28.5,1.7,179,0,6,663,19,31.95
942.13,4.34,28.4,1.9,176,0,8,674,19,31.97
940.98,4.39,28.4,2.1,172,0,10,685,19,31.98
940.06,4.4,28.2,2.2,166,0,12,694,19,31.98
939.15,4.41,28.1,2.3,162,0,14,702,19,32
938.23,4.46,28,2.4,156,0,16,711,19,32.02
937.31,4.54,28,2.6,151,0,18,720,19,32.02
936.17,4.57,27.7,2.7,146,0,20,730,19,32.04
935.03,4.57,27.7,2.8,142,0,22,741,19,32.06
933.66,4.57,27.7,2.8,138,0,24,754,20,32.07
932.29,4.59,27.6,2.9,135,0,26,767,20,32.08
930.93,4.62,27.4,2.9,133,0,28,780,20,32.09
929.79,4.67,27.2,2.9,131,0,30,791,20,32.11
928.66,4.7,27,2.9,130,0,32,802,20,32.12
927.07,4.72,26.9,2.9,129,0,34,817,20,32.13
925.49,4.72,26.8,2.8,129,0,36,832,21,32.15
925,4.7,26.8,2.8,129,3,37,837,21,32.16
923.91,4.7,26.8,2.8,129,0,38,847,21,32.18
922.33,4.7,26.7,2.8,129,0,40,862,21,32.18
920.76,4.67,26.5,2.7,129,0,42,877,21,32.19
919.18,4.67,26.2,2.7,128,0,44,892,21,32.2
917.39,4.67,26,2.7,128,0,46,909,21,32.21
915.82,4.69,25.9,2.7,127,0,48,924,21,32.22
