
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-08-10,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a16894

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-06-14,14:09:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 198
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.0,0,321.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.023,27.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
939.38,4.000,30.0,4.1,163,2,0,631,29
938.92,4.090,29.7,4.3,155,0,2,635,29
938.23,4.170,29.3,4.9,153,0,4,642,29
937.08,4.180,28.8,5.5,154,0,6,653,29
935.71,4.180,28.1,6.2,155,0,8,666,30
933.89,4.200,27.3,6.8,157,2,10,683,31
932.29,4.250,27.1,7.2,158,0,12,698,32
930.93,4.310,26.9,7.7,159,0,14,711,33
929.57,4.370,26.8,8.1,160,0,16,724,33
928.43,4.400,26.7,8.4,161,0,18,735,33
927.07,4.410,26.7,8.6,161,0,20,748,34
925.94,4.420,26.4,8.8,161,0,22,758,34
925.00,4.470,26.2,8.9,161,3,23,767,34
924.36,4.470,26.1,8.9,161,0,24,773,34
923.23,4.490,25.8,9.0,161,0,26,784,35
