
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-09-14,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18136

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-09-13,10:58:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 157
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
263.2,0,308.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.024,27.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
939.83,4.13,23.1,3,129,2,0,631,44,29.7
938.69,4.13,20.9,3.2,161,2,2,642,46,29.7
937.31,4.13,20.9,3.3,171,0,4,654,47,29.7
936.17,4.13,21,3.4,179,0,6,665,49,29.7
934.8,4.13,21.2,3.5,188,0,8,678,49,29.7
933.2,4.13,21.1,3.7,196,0,10,692,49,29.7
931.84,4.13,20.9,3.8,202,0,12,705,49,29.7
930.47,4.13,20.8,3.8,208,0,14,718,50,29.7
928.88,4.13,20.5,3.9,213,0,16,732,50,29.7
927.52,4.13,20.3,4,217,0,18,745,50,29.7
926.17,4.14,20.1,4.1,219,0,20,758,51,29.7
925,4.14,20,4.1,221,3,22,768,51,29.7
924.81,4.14,20,4.1,221,0,22,770,51,29.7
923.23,4.14,19.8,4.2,220,0,24,785,51,29.7
921.88,4.14,19.7,4.2,218,0,26,798,52,29.7
920.53,4.14,19.5,4.3,216,0,28,810,52,29.7
919.18,4.14,19.3,4.4,214,0,30,823,52,29.7
917.84,4.14,19.1,4.4,213,0,32,836,53,29.7
916.5,4.14,18.9,4.5,212,0,34,848,53,29.7
914.71,4.14,18.7,4.5,211,0,36,865,54,29.7
913.37,4.14,18.6,4.5,211,0,38,877,54,29.7
912.03,4.14,18.5,4.4,211,0,40,890,55,29.7
910.7,4.14,18.3,4.3,211,0,42,903,55,29.7
909.14,4.14,18.2,4.2,212,0,44,917,55,29.7
907.37,4.14,18,4.1,213,0,46,934,56,29.7
905.6,4.14,17.9,4,215,0,48,951,56,29.7
904.05,4.14,17.8,3.8,216,0,50,965,57,29.7
902.73,4.14,17.7,3.7,218,0,52,978,57,29.7
901.19,4.14,17.4,3.6,219,0,54,993,58,29.7
899.65,4.14,17.2,3.5,221,0,56,1007,58,29.7
898.33,4.14,17,3.4,221,0,58,1020,58,29.7
896.8,4.14,16.9,3.3,222,0,60,1034,58,29.7
895.48,4.14,16.8,3.2,222,0,62,1047,59,29.7
894.17,4.14,16.8,3.1,222,0,64,1059,59,29.7
893.08,4.14,16.7,3,221,0,66,1070,60,29.7
891.56,4.14,16.5,2.9,219,0,68,1084,60,29.7
890.25,4.14,16.4,2.7,218,0,70,1097,61,29.7
888.73,4.14,16.2,2.6,216,0,72,1111,61,29.7
887.43,4.14,16,2.5,214,0,74,1124,62,29.7
886.13,4.14,15.8,2.4,211,0,76,1136,63,29.7
884.83,4.14,15.7,2.3,209,0,78,1149,62,29.7
883.54,4.14,15.5,2.3,206,0,80,1161,62,29.7
882.46,4.14,15.5,2.3,204,0,82,1171,62,29.7
881.38,4.14,15.3,2.3,202,0,84,1182,63,29.7
880.31,4.14,15.2,2.3,199,0,86,1192,63,29.7
879.24,4.14,15.2,2.4,197,0,88,1202,63,29.7
878.16,4.14,15.1,2.5,194,0,90,1213,63,29.7
877.31,4.14,15,2.5,192,0,92,1221,63,29.8
876.24,4.14,14.9,2.5,190,0,94,1231,64,29.8
875.17,4.14,14.8,2.6,188,0,96,1242,64,29.8
873.89,4.14,14.7,2.6,186,0,98,1254,65,29.8
872.39,4.14,14.6,2.6,185,0,100,1269,65,29.8
871.12,4.14,14.5,2.6,184,0,102,1281,65,29.8
869.84,4.14,14.3,2.6,184,0,104,1293,65,29.8
868.57,4.14,14.2,2.6,184,0,106,1306,66,29.8
867.51,4.14,14.1,2.6,184,0,108,1316,66,29.8
866.45,4.14,14,2.7,185,0,110,1326,66,29.8
865.39,4.14,13.9,2.7,186,0,112,1337,67,29.8
864.34,4.14,13.8,2.8,187,0,114,1347,68,29.8
863.07,4.14,13.7,2.9,188,0,116,1359,68,29.8
861.6,4.14,13.6,3,189,0,118,1374,68,29.8
860.13,4.14,13.5,3.2,190,0,120,1388,69,29.8
858.87,4.14,13.3,3.2,191,0,122,1401,69,29.8
857.4,4.14,13.2,3.3,193,0,124,1415,69,29.8
855.94,4.14,13,3.4,195,0,126,1429,70,29.8
854.48,4.14,12.9,3.4,198,0,128,1444,71,29.8
853.23,4.14,12.7,3.4,201,0,130,1456,72,29.8
852.18,4.14,12.6,3.5,204,0,132,1466,73,29.8
850.94,4.14,12.5,3.5,208,0,134,1479,73,29.8
850,4.14,12.4,3.6,213,3,136,1488,74,29.8
849.69,4.14,12.4,3.6,213,0,136,1491,74,29.8
848.65,4.14,12.3,3.7,217,0,138,1501,75,29.8
847.41,4.14,12.1,3.7,221,0,140,1513,75,29.8
845.97,4.14,12,3.8,224,0,142,1528,75,29.8
844.93,4.14,12,3.9,228,0,144,1538,75,29.8
843.9,4.14,12.1,3.9,231,0,146,1548,74,29.8
843.08,4.14,12,4,233,0,148,1557,75,29.8
842.05,4.14,11.9,4,235,0,150,1567,74,29.8
841.02,4.14,11.7,4,237,0,152,1577,74,29.8
840,4.14,11.6,4,239,0,154,1587,75,29.8
838.97,4.14,11.6,4,240,0,156,1597,75,29.8
837.95,4.14,11.5,4.1,241,0,158,1608,76,29.8
836.93,4.14,11.5,4.1,242,0,160,1618,76,29.8
835.91,4.14,11.5,4.1,243,0,162,1628,76,29.8
834.89,4.14,11.3,4.1,244,0,164,1638,76,29.8
833.87,4.14,11.2,4.2,245,0,166,1649,77,29.8
