
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-10-06,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18135

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-10-04,10:58:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 236
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
254.4,0,295.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.028,27,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
947.44,2.84,16.7,5.5,242,2,0,631,49,24.4
946.28,2.91,16.3,6.5,258,0,2,641,46,24.4
945.13,2.94,16,6.9,264,0,4,652,47,24.4
943.97,2.95,15.7,7.1,266,0,6,662,48,24.4
942.82,2.95,15.5,7.1,265,0,8,672,49,24.5
941.67,2.97,15.3,7.2,264,0,10,683,49,24.5
940.75,3.01,15.2,7.2,262,0,12,691,49,24.5
939.83,3.04,15.1,7.2,261,0,14,699,50,24.5
939.15,3.09,15,7.2,260,0,16,706,51,24.5
938.23,3.11,14.9,7.2,260,0,18,714,51,24.5
937.31,3.15,14.9,7.3,259,0,20,722,51,24.5
936.17,3.18,14.8,7.3,259,0,22,732,51,24.5
935.03,3.19,14.7,7.3,258,0,24,743,52,24.6
933.89,3.22,14.6,7.3,257,0,26,753,52,24.6
932.98,3.22,14.5,7.3,256,0,28,761,52,24.6
932.06,3.22,14.4,7.3,255,0,30,770,53,24.6
931.16,3.23,14.4,7.4,254,0,32,778,53,24.6
930.25,3.25,14.3,7.4,252,0,34,786,53,24.6
929.34,3.25,14.2,7.5,250,0,36,794,53,24.6
928.43,3.24,14.1,7.6,248,0,38,803,53,24.6
927.3,3.25,14,7.7,246,0,40,813,54,24.6
926.39,3.24,14,7.8,245,0,42,821,54,24.6
925.71,3.24,13.9,7.9,243,0,44,827,54,24.6
925,3.25,13.8,8,242,3,45,834,54,24.6
924.59,3.25,13.8,8,242,0,46,838,54,24.6
923.68,3.27,13.7,8.1,242,0,48,846,54,24.7
922.78,3.27,13.7,8.1,242,0,50,854,54,24.7
921.88,3.28,13.6,8.2,242,0,52,862,54,24.7
920.98,3.28,13.5,8.2,242,0,54,870,55,24.7
919.86,3.28,13.4,8.1,243,0,56,881,55,24.7
918.51,3.28,13.3,8.1,243,0,58,893,56,24.7
917.39,3.27,13.2,8,244,0,60,903,56,24.7
916.5,3.27,13.1,7.9,244,0,62,912,56,24.8
915.38,3.26,13,7.8,244,0,64,922,57,24.8
914.26,3.26,12.9,7.7,244,0,66,932,57,24.8
913.14,3.26,12.8,7.7,243,0,68,942,57,24.8
912.03,3.25,12.7,7.7,243,0,70,953,57,24.8
910.47,3.25,12.6,7.7,243,0,72,967,58,24.8
909.14,3.26,12.5,7.7,243,0,74,979,58,24.8
907.81,3.26,12.4,7.8,243,0,76,992,58,24.8
906.7,3.25,12.3,8,243,0,78,1002,58,24.9
905.82,3.25,12.2,8.1,244,0,80,1010,58,24.9
904.49,3.25,12.1,8.3,245,0,82,1022,59,24.9
