
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-10-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18131

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-10-11,11:17:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 147
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252,0,304.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.031,26.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.74,2.63,20.6,4.1,248,2,0,631,53,27.3
941.44,2.64,18.5,5.3,247,2,2,652,53,27.3
941.21,2.65,18.5,6,247,0,4,654,54,27.4
940.52,2.75,18.4,6.6,248,0,6,660,55,27.4
939.38,2.78,18.3,7.1,249,0,8,671,56,27.4
938.23,2.78,18.2,7.6,249,0,10,681,57,27.4
937.08,2.8,18.1,8.1,249,0,12,692,57,27.4
936.17,2.82,18.1,8.4,250,0,14,700,58,27.4
935.26,2.89,18.1,8.6,250,0,16,709,58,27.4
934.57,2.89,18.2,8.8,250,0,18,715,58,27.4
933.89,2.91,18,8.9,249,0,20,721,58,27.4
933.2,2.91,17.8,8.9,249,0,22,727,58,27.4
932.29,2.92,17.6,8.9,248,0,24,736,58,27.5
931.38,2.93,17.5,8.9,246,0,26,744,58,27.5
930.25,2.93,17.4,8.8,245,0,28,754,59,27.5
929.11,2.94,17.2,8.7,244,0,30,765,59,27.5
927.98,2.97,17.1,8.7,242,0,32,775,60,27.5
927.07,3.02,17,8.7,240,0,34,784,61,27.5
925.71,3.03,16.9,8.7,238,0,36,796,61,27.5
925,3.03,16.8,8.7,237,3,37,803,61,27.5
924.36,3.03,16.8,8.7,237,0,38,809,61,27.5
923.23,3.04,16.7,8.8,235,0,40,819,61,27.5
921.88,3.04,16.7,8.9,234,0,42,832,62,27.6
