
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-10-20,AEMET,1.0,Julia García

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a18130

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-10-18,10:59:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 235
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.1,0,296.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.029,27.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
933.66,2.49,13.8,4.6,180,2,0,631,82,23.8
932.75,2.57,13.9,4.4,178,0,2,639,83,23.8
932.06,2.73,13.9,5,177,0,4,645,82,23.8
931.38,2.73,13.9,5.9,177,0,6,652,82,23.8
930.47,2.75,13.8,6.9,177,0,8,660,82,23.9
929.34,2.75,13.7,7.9,177,0,10,670,82,23.9
928.43,2.75,13.7,8.6,177,0,12,678,82,23.9
927.52,2.75,13.6,9.4,177,0,14,687,82,23.9
926.85,2.77,13.6,10.1,178,0,16,693,81,23.9
926.17,2.78,13.6,10.6,179,0,18,699,81,23.9
925.26,2.79,13.5,11.1,179,0,20,707,81,23.9
925,2.8,13.5,11.1,179,3,21,709,81,23.9
924.59,2.8,13.5,11.5,180,0,22,713,81,23.9
923.68,2.82,13.4,11.8,181,0,24,722,81,23.9
923.01,2.85,13.3,12.1,182,0,26,728,82,23.9
921.88,2.88,13.2,12.3,183,0,28,738,82,23.9
920.76,2.91,13.2,12.5,183,0,30,748,82,24
919.86,2.91,13.2,12.7,184,0,32,757,81,24
918.96,2.96,13.3,12.9,184,0,34,765,80,24
917.84,3.01,13.3,13.2,185,0,36,775,79,24
916.5,3.02,13.3,13.4,186,0,38,788,77,24
