
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-11-16,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a17867

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-11-15,11:35:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 185
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
255.6,0,285

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.035,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.28,0.79,12.3,0.3,202,2,0,631,67,21.7
942.36,0.89,12.5,0.6,163,0,2,639,65,21.7
940.98,1.02,12.6,0.7,150,0,4,651,67,21.8
939.83,1.05,12.6,0.7,144,0,6,662,67,21.8
938.69,1.05,12.5,0.7,142,0,8,672,68,21.8
937.54,1.05,12.4,0.7,143,0,10,682,69,21.8
936.17,1.05,12.2,0.7,147,0,12,695,69,21.8
935.03,1.04,12.1,0.7,150,0,14,705,71,21.8
933.43,1.04,12,0.7,152,0,16,719,71,21.8
931.84,1.03,11.8,0.8,154,0,18,733,71,21.8
930.47,1.02,11.6,0.9,154,0,20,746,72,21.8
929.11,1.02,11.6,0.9,154,0,22,758,73,21.8
927.75,1.02,11.5,1.1,154,0,24,770,73,21.8
926.62,1.03,11.4,1.2,153,0,26,780,73,21.8
925.26,1.03,11.2,1.3,151,0,28,793,74,21.8
925,1.03,11.2,1.3,151,3,28,795,74,21.8
923.91,1.03,11.1,1.5,148,0,30,805,75,21.8
922.78,1.04,11,1.6,146,0,32,815,75,21.8
921.66,1.04,11,1.8,145,0,34,825,75,21.8
920.53,1.04,10.9,1.9,143,0,36,835,75,21.8
919.86,1.04,10.8,1.9,143,0,38,842,76,21.8
918.96,1.05,10.7,2,142,0,40,850,76,21.8
917.84,1.05,10.6,2,143,0,42,860,77,21.8
916.72,1.06,10.6,2,144,0,44,870,77,21.8
915.6,1.06,10.5,2,145,0,46,880,77,21.8
914.26,1.06,10.4,2,147,0,48,893,77,21.8
913.14,1.07,10.3,2.1,149,0,50,903,78,21.8
912.25,1.08,10.2,2.1,151,0,52,911,78,21.8
911.14,1.08,10.2,2.2,154,0,54,921,79,21.8
910.03,1.09,10,2.2,157,0,56,931,79,21.8
908.7,1.09,9.9,2.4,160,0,58,943,80,21.8
907.59,1.1,9.8,2.5,162,0,60,954,80,21.8
906.48,1.11,9.7,2.7,164,0,62,964,80,21.8
905.15,1.12,9.7,2.8,167,0,64,976,81,21.7
904.05,1.12,9.6,3.1,168,0,66,986,81,21.7
902.73,1.14,9.5,3.3,170,0,68,998,81,21.7
901.19,1.14,9.4,3.6,172,0,70,1012,82,21.7
899.87,1.15,9.3,3.8,173,0,72,1025,83,21.7
898.77,1.17,9.3,4.1,175,0,74,1035,83,21.7
897.45,1.17,9.1,4.4,176,2,76,1047,83,21.7
896.36,1.21,9.2,4.8,178,0,78,1057,83,21.7
895.05,1.24,9.3,5.1,180,0,80,1069,84,21.7
893.74,1.28,9.3,5.4,182,0,82,1081,84,21.7
892.65,1.31,9.4,5.7,184,0,84,1091,84,21.7
891.56,1.39,9.6,6,186,0,86,1102,83,21.7
890.25,1.5,9.8,6.2,187,0,88,1114,83,21.7
889.17,1.63,10.1,6.4,189,0,90,1124,82,21.7
888.08,1.8,10.3,6.5,190,0,92,1134,81,21.7
887.21,2,10.5,6.6,191,0,94,1142,80,21.7
886.13,2.19,10.4,6.7,192,0,96,1152,79,21.7
885.05,2.35,10.4,6.7,192,0,98,1163,78,21.7
883.75,2.5,10.4,6.7,193,0,100,1175,78,21.7
882.46,2.62,10.3,6.6,193,0,102,1187,78,21.7
881.38,2.77,10.2,6.6,193,0,104,1197,77,21.7
880.09,2.91,10.2,6.6,193,0,106,1209,77,21.7
878.81,3.03,10.2,6.5,193,0,108,1222,76,21.7
877.52,3.15,10.1,6.6,193,0,110,1234,76,21.7
876.24,3.21,10,6.6,193,0,112,1246,76,21.7
874.95,3.27,9.9,6.6,193,0,114,1258,77,21.7
873.89,3.37,9.8,6.7,192,0,116,1268,77,21.7
872.82,3.44,9.7,6.8,192,0,118,1278,78,21.7
871.75,3.54,9.7,7,192,2,120,1289,77,21.7
870.48,3.56,9.5,7.1,192,0,122,1301,79,21.7
869.2,3.6,9.4,7.3,193,0,124,1313,79,21.7
868.14,3.67,9.4,7.5,193,0,126,1323,80,21.7
867.08,3.73,9.3,7.7,194,0,128,1333,81,21.7
865.6,3.77,9.2,8,195,0,130,1347,82,21.7
864.13,3.78,9.1,8.2,196,0,132,1362,83,21.7
863.07,3.81,9,8.4,197,0,134,1372,83,21.7
862.02,3.85,9,8.6,198,0,136,1382,83,21.7
860.97,3.88,8.8,8.8,199,0,138,1392,82,21.8
859.71,3.89,8.8,9,200,0,140,1404,82,21.8
858.66,3.89,8.7,9.1,200,0,142,1414,82,21.8
857.61,3.95,8.6,9.2,201,0,144,1424,82,21.8
856.36,3.98,8.4,9.3,201,0,146,1436,84,21.8
855.1,3.98,8.3,9.3,201,0,148,1449,86,21.8
853.85,3.99,8.3,9.3,200,0,150,1461,87,21.8
852.6,3.99,8.1,9.3,200,0,152,1473,87,21.8
851.35,3.99,8.1,9.2,199,0,154,1485,85,21.8
850.11,4,8.1,9.1,198,0,156,1497,83,21.8
850,4.02,8.1,9.1,198,3,156,1498,83,21.8
848.86,4.02,8,9,198,0,158,1509,82,21.8
847.83,4.03,7.9,8.9,197,0,160,1519,82,21.8
846.79,4.04,7.9,8.8,197,0,162,1529,82,21.8
845.76,4.05,7.7,8.7,197,0,164,1539,83,21.8
844.52,4.06,7.8,8.7,197,0,166,1552,83,21.8
843.28,4.08,7.8,8.6,197,0,168,1564,84,21.8
842.05,4.1,7.8,8.5,197,0,170,1576,83,21.8
840.82,4.1,7.8,8.4,197,0,172,1588,82,21.8
839.79,4.12,7.8,8.3,198,0,174,1598,79,21.8
838.77,4.15,7.7,8.2,198,0,176,1608,77,21.8
837.74,4.16,7.7,8.2,198,0,178,1618,74,21.8
836.52,4.17,7.8,8.1,199,0,180,1630,69,21.7
835.29,4.17,7.7,8.1,199,0,182,1642,68,21.7
834.07,4.18,7.6,8.1,199,0,184,1654,67,21.7
832.85,4.18,7.5,8.1,200,0,186,1666,67,21.7
