
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-12-11,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a17869

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-12-05,11:06:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 211
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
253.9,0,295

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.044,25.2,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.82,2.16,13.2,6,208,2,0,631,73,24.4
945.13,2.25,14.1,4.4,215,0,2,637,73,24.4
943.97,2.35,14,4.3,219,0,4,647,73,24.4
942.82,2.42,14,4.8,220,0,6,658,73,24.4
941.44,2.46,13.8,5.5,222,0,8,670,74,24.4
940.06,2.46,13.6,6.3,223,0,10,683,74,24.5
938.69,2.47,13.5,6.8,224,0,12,695,75,24.5
937.54,2.49,13.4,7.4,225,0,14,705,75,24.5
936.4,2.52,13.3,7.9,226,0,16,715,75,24.5
935.26,2.52,13.2,8.3,227,0,18,726,76,24.5
934.12,2.54,13.1,8.6,228,0,20,736,76,24.5
932.98,2.55,12.9,8.9,229,0,22,746,77,24.5
932.06,2.6,12.8,9.2,229,0,24,755,77,24.5
931.16,2.64,12.8,9.4,229,0,26,763,77,24.5
929.79,2.67,12.7,9.7,229,0,28,775,78,24.5
928.66,2.69,12.6,10,229,0,30,785,79,24.5
927.3,2.69,12.4,10.3,229,0,32,798,79,24.5
925.94,2.7,12.3,10.5,229,0,34,810,79,24.5
925,2.69,12.2,10.8,228,3,35,818,79,24.5
924.36,2.69,12.2,10.8,228,0,36,824,79,24.5
923.23,2.7,12.2,11,228,0,38,835,80,24.5
922.11,2.7,12,11.2,227,0,40,845,80,24.5
920.98,2.7,11.9,11.3,227,0,42,855,81,24.5
919.41,2.72,11.7,11.4,227,0,44,869,81,24.6
917.84,2.72,11.5,11.4,227,0,46,884,81,24.6
916.5,2.74,11.4,11.4,227,0,48,896,82,24.6
914.93,2.76,11.3,11.4,227,0,50,910,82,24.6
913.37,2.77,11.1,11.3,228,0,52,924,83,24.6
912.03,2.77,11,11.1,228,0,54,937,83,24.6
910.47,2.8,10.9,11,229,0,56,951,84,24.6
909.14,2.81,10.8,10.8,229,0,58,963,85,24.6
908.03,2.85,10.7,10.7,230,0,60,973,85,24.6
906.92,2.88,10.6,10.5,230,0,62,984,85,24.6
905.6,2.88,10.5,10.3,231,0,64,996,86,24.6
904.27,2.89,10.4,10.2,231,0,66,1008,86,24.6
903.17,2.89,10.3,10.1,231,0,68,1018,87,24.6
902.07,2.92,10.2,10.1,231,0,70,1028,87,24.6
900.75,2.92,10,10.1,232,0,72,1041,88,24.6
899.43,2.92,9.9,10.2,232,0,74,1053,88,24.6
898.11,2.92,9.8,10.4,232,0,76,1065,89,24.6
896.58,2.92,9.7,10.7,233,0,78,1079,89,24.6
895.26,2.92,9.5,11,233,0,80,1091,90,24.6
893.95,2.93,9.4,11.4,233,0,82,1104,90,24.6
892.65,2.94,9.3,11.8,233,0,84,1116,91,24.6
891.34,2.95,9.2,12.2,233,0,86,1128,90,24.6
889.82,2.95,9.2,12.6,233,0,88,1142,90,24.6
888.51,2.97,9.1,12.9,233,0,90,1154,89,24.6
887.21,2.98,9,13.2,233,0,92,1166,88,24.6
885.48,3,8.9,13.5,233,0,94,1183,88,24.7
883.97,3.02,8.8,13.7,233,0,96,1197,87,24.7
882.46,3.07,8.6,13.9,233,0,98,1211,88,24.7
881.17,3.09,8.5,14,232,0,100,1223,89,24.7
879.66,3.1,8.4,14.1,232,0,102,1237,88,24.7
878.38,3.18,8.3,14.2,232,0,104,1249,88,24.7
877.31,3.2,8.2,14.2,232,0,106,1259,89,24.7
876.02,3.24,8,14.3,231,0,108,1272,90,24.7
874.53,3.25,7.9,14.4,231,0,110,1286,90,24.7
873.03,3.27,7.8,14.6,231,0,112,1300,90,24.7
871.75,3.29,7.7,14.7,231,0,114,1312,90,24.7
870.27,3.31,7.5,14.9,230,0,116,1326,91,24.7
868.78,3.33,7.4,15.1,230,0,118,1340,91,24.7
867.08,3.35,7.3,15.3,230,0,120,1356,91,24.7
865.6,3.37,7.2,15.5,230,0,122,1370,92,24.7
864.34,3.37,7.1,15.6,231,0,124,1382,92,24.7
863.07,3.37,7,15.8,231,0,126,1394,92,24.7
861.6,3.39,6.9,15.9,231,0,128,1408,92,24.7
860.13,3.39,6.8,16.1,232,0,130,1423,92,24.7
858.24,3.41,6.7,16.2,232,0,132,1441,93,24.7
856.77,3.41,6.5,16.3,233,0,134,1455,93,24.7
855.52,3.42,6.4,16.4,233,0,136,1467,94,24.7
854.06,3.43,6.3,16.4,233,0,138,1481,95,24.7
852.6,3.43,6.1,16.5,234,0,140,1495,96,24.7
851.14,3.43,6,16.5,234,0,142,1509,97,24.7
850,3.42,5.9,16.5,234,3,144,1520,96,24.7
849.69,3.42,5.9,16.5,234,0,144,1523,96,24.7
848.24,3.42,5.8,16.5,234,0,146,1537,96,24.7
846.79,3.41,5.8,16.5,234,0,148,1551,98,24.8
845.55,3.41,5.6,16.4,234,0,150,1563,98,24.8
844.31,3.42,5.7,16.4,234,0,152,1575,98,24.8
843.08,3.43,5.7,16.4,234,0,154,1587,98,24.8
841.43,3.42,5.5,16.4,234,0,156,1603,98,24.8
840.2,3.42,5.4,16.4,234,0,158,1615,98,24.8
839.18,3.42,5.4,16.5,234,0,160,1625,99,24.8
838.15,3.41,5.3,16.5,234,0,162,1635,99,24.8
836.72,3.4,5.2,16.7,234,0,164,1649,99,24.8
835.29,3.4,5.2,16.8,234,0,166,1663,99,24.8
833.66,3.4,5.1,17,235,0,168,1679,99,24.8
832.24,3.39,5,17.2,235,0,170,1693,99,24.8
830.62,3.38,5,17.4,236,0,172,1709,99,24.8
829,3.39,4.9,17.6,237,0,174,1725,99,24.8
827.58,3.38,4.8,17.7,237,0,176,1739,99,24.8
825.97,3.37,4.7,17.9,238,0,178,1755,98,24.8
824.35,3.36,4.6,18.1,239,0,180,1771,98,24.8
822.95,3.35,4.6,18.3,240,0,182,1785,98,24.8
821.74,3.35,4.4,18.6,240,0,184,1796,98,24.8
820.54,3.36,4.1,18.9,240,0,186,1808,98,24.8
819.34,3.36,4.1,19.1,241,0,188,1820,98,24.8
817.74,3.36,4,19.4,240,0,190,1836,98,24.8
816.34,3.37,3.9,19.8,240,0,192,1850,98,24.8
814.75,3.38,3.8,20.1,240,0,194,1866,97,24.8
813.36,3.38,3.7,20.4,239,0,196,1880,98,24.8
811.97,3.38,3.7,20.6,239,0,198,1894,97,24.8
810.78,3.38,3.5,20.9,238,0,200,1906,97,24.8
809.2,3.38,3.5,21.1,237,0,202,1922,97,24.8
807.62,3.38,3.4,21.2,237,0,204,1938,97,24.8
806.24,3.38,3.3,21.3,236,0,206,1951,97,24.8
804.86,3.37,3.3,21.3,235,0,208,1965,96,24.8
803.49,3.39,3.2,21.3,235,0,210,1979,96,24.8
802.31,3.4,3.2,21.3,234,0,212,1991,96,24.8
801.14,3.4,3.2,21.2,233,0,214,2003,95,24.8
799.97,3.42,3.1,21.1,233,0,216,2015,95,24.8
798.99,3.42,3,21,232,0,218,2025,96,24.8
798.02,3.43,3,21,231,0,220,2035,97,24.8
796.85,3.43,3,21,230,0,222,2047,97,24.8
795.68,3.42,3,21,229,0,224,2058,97,24.8
794.32,3.42,2.9,21,229,0,226,2072,97,24.8
793.16,3.41,2.9,21,228,0,228,2084,97,24.8
792.39,3.41,2.8,21.1,227,0,230,2092,96,24.8
791.23,3.4,2.7,21.1,227,0,232,2104,96,24.9
790.07,3.4,2.6,21.1,226,0,234,2116,95,24.9
788.72,3.4,2.8,21.2,226,0,236,2130,94,24.9
787.56,3.39,2.7,21.2,225,0,238,2142,93,24.9
786.41,3.37,2.6,21.2,225,0,240,2153,92,24.9
785.45,3.37,2.6,21.1,224,0,242,2163,92,24.9
784.49,3.36,2.6,21.1,223,0,244,2173,92,24.9
783.54,3.36,2.6,21,223,0,246,2183,90,24.9
782.58,3.35,2.6,20.9,222,0,248,2193,89,24.9
781.63,3.34,2.7,20.8,221,0,250,2203,88,24.9
780.29,3.34,2.8,20.7,220,0,252,2217,88,24.9
778.96,3.33,2.7,20.7,220,0,254,2231,89,24.9
777.82,3.31,2.6,20.6,219,0,256,2242,89,24.9
