
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-12-13,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a17874

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-12-13,11:24:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 183
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.9,0,302.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.03,26.5,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
954.4,1.46,9.2,1.1,34,2,0,631,62,21.6
953.7,1.49,8.6,1.7,18,0,2,637,61,21.6
952.31,1.5,7.3,2,13,2,4,649,61,21.7
950.91,1.53,7.3,2.3,12,0,6,661,61,21.7
949.52,1.58,7.1,2.5,13,0,8,673,62,21.7
948.13,1.59,7,2.8,14,0,10,685,63,21.7
946.74,1.62,7,3,15,0,12,697,63,21.7
945.59,1.62,6.9,3.1,15,0,14,707,63,21.8
944.43,1.66,6.8,3.3,16,0,16,717,63,21.8
943.05,1.68,6.7,3.4,16,0,18,729,62,21.8
941.9,1.74,6.5,3.4,16,0,20,739,62,21.8
940.29,1.78,6.4,3.5,16,0,22,753,62,21.8
938.92,1.82,6.3,3.5,17,0,24,766,62,21.8
937.31,1.85,6.2,3.5,18,0,26,780,64,21.8
935.48,1.87,6.1,3.6,20,0,28,796,64,21.9
933.89,1.9,6,3.6,21,0,30,810,65,21.9
932.52,1.93,5.9,3.7,24,0,32,822,65,21.9
930.93,1.94,5.7,3.8,26,0,34,836,66,21.9
929.57,1.95,5.6,3.9,30,0,36,848,66,21.9
927.98,1.96,5.5,4.1,33,0,38,861,66,21.9
926.39,1.98,5.4,4.2,35,0,40,875,65,21.9
925.04,2,5.4,4.3,38,0,42,887,64,21.9
