
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-02-08,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a17826

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-02-07,11:14:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 204
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
288,0,327.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.038,28.9,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
937.31,0.58,8.7,3,220,2,0,631,73,27.1
936.4,0.58,9,3.8,225,2,2,639,72,27.1
935.26,0.58,8.8,4.4,228,0,4,649,73,27.1
934.34,0.58,8.7,4.9,230,0,6,657,74,27.1
933.2,0.56,8.6,5.4,232,0,8,667,74,27.1
932.06,0.55,8.5,5.9,234,0,10,677,74,27.1
931.16,0.55,8.4,6.4,235,0,12,686,74,27.1
930.25,0.54,8.4,6.8,237,0,14,694,75,27.1
929.34,0.54,8.3,7.1,239,0,16,702,75,27.1
928.2,0.53,8.3,7.4,240,0,18,712,74,27.1
927.07,0.53,8.3,7.6,242,0,20,722,73,27.1
925.94,0.53,8.3,7.8,244,0,22,732,72,27.1
925,0.53,8.5,8,245,3,24,740,70,27.1
924.81,0.53,8.5,8,245,0,24,742,69,27.1
923.68,0.53,8.6,8.1,246,0,26,752,67,27.1
922.56,0.53,8.7,8.3,247,0,28,762,65,27.1
921.43,0.53,8.9,8.4,248,0,30,772,63,27.1
920.31,0.53,8.9,8.5,249,0,32,783,62,27.1
919.18,0.58,9.1,8.6,249,2,34,793,59,27.1
918.29,0.74,9.3,8.7,249,0,36,801,57,27.1
917.17,0.97,9.3,8.7,250,0,38,811,56,27.1
916.27,1.15,9.3,8.8,250,0,40,819,55,27.1
915.38,1.36,9.3,8.9,250,2,42,827,55,27.1
914.26,1.53,9.2,8.9,250,0,44,837,55,27.1
913.14,1.72,9.1,9,250,0,46,847,55,27.1
912.03,1.94,9,9.1,251,0,48,857,55,27.1
911.14,2.1,8.9,9.1,251,0,50,865,55,27.1
910.25,2.23,8.9,9.2,252,0,52,874,55,27.1
909.14,2.37,8.8,9.3,253,0,54,884,55,27.1
908.25,2.47,8.8,9.4,253,0,56,892,56,27.1
907.37,2.62,8.7,9.5,254,0,58,900,55,27.1
906.26,2.72,8.6,9.6,255,0,60,910,55,27.1
905.15,2.82,8.6,9.6,256,0,62,920,57,27.1
904.27,2.93,8.5,9.7,257,0,64,928,57,27.1
903.39,3.01,8.5,9.8,257,0,66,936,57,27.1
902.51,3.1,8.4,9.9,258,2,68,944,58,27.1
901.41,3.13,8.3,10,259,0,70,954,58,27.1
900.31,3.13,8.3,10.1,259,0,72,964,58,27.1
899.43,3.17,8.2,10.1,260,0,74,972,58,27
898.33,3.19,8.1,10.2,261,0,76,983,58,27
897.23,3.26,8,10.3,261,0,78,993,58,27
896.36,3.27,7.9,10.3,262,0,80,1001,59,27
895.48,3.34,7.8,10.4,262,0,82,1009,59,27
894.39,3.34,7.7,10.4,263,0,84,1019,60,27
893.3,3.36,7.7,10.5,263,0,86,1029,60,27
892.21,3.37,7.6,10.6,264,0,88,1039,60,27
891.12,3.4,7.5,10.7,264,0,90,1049,60,27
890.25,3.44,7.4,10.8,265,0,92,1057,60,27
889.17,3.47,7.3,10.9,265,0,94,1067,60,27
888.08,3.48,7.3,11,266,0,96,1077,60,27
887,3.48,7.2,11.1,266,0,98,1087,60,27
886.13,3.48,7.1,11.2,267,0,100,1095,61,27
885.05,3.49,7,11.3,268,0,102,1105,61,27
884.19,3.5,7,11.5,268,0,104,1113,60,27
883.11,3.52,6.9,11.6,269,0,106,1123,60,27
882.03,3.52,6.9,11.7,270,0,108,1133,60,27
880.95,3.54,6.8,11.8,271,0,110,1143,59,27
879.88,3.55,6.8,12,272,0,112,1153,59,27
878.81,3.56,6.7,12.1,273,0,114,1163,59,27
877.52,3.57,6.6,12.2,274,0,116,1175,59,27
876.45,3.57,6.5,12.3,275,0,118,1185,59,26.9
875.38,3.58,6.4,12.4,276,0,120,1196,59,26.9
874.31,3.58,6.4,12.5,277,0,122,1206,58,26.9
873.03,3.58,6.4,12.5,278,0,124,1218,58,26.9
871.97,3.6,6.3,12.5,279,0,126,1228,58,26.9
870.9,3.6,6.2,12.5,279,0,128,1238,58,26.9
869.63,3.62,6.1,12.5,280,0,130,1250,58,26.9
868.36,3.63,6,12.5,280,0,132,1262,58,26.9
