
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-02-15,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a17827

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-02-14,11:27:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 245
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
291,0,357.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.023,26.1,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.97,1.39,12.7,4.7,242,2,0,631,77,23.7
942.82,1.4,12.2,4,243,0,2,641,78,23.7
941.44,1.42,12.1,4.2,245,0,4,654,78,23.7
940.06,1.47,11.9,4.7,246,0,6,666,77,23.8
938.69,1.5,11.7,5.5,248,0,8,678,77,23.8
937.31,1.55,11.6,6.2,250,0,10,690,77,23.8
935.94,1.58,11.5,6.8,252,0,12,703,77,23.8
934.57,1.6,11.3,7.4,255,0,14,715,79,23.8
933.43,1.63,11.2,7.9,257,0,16,725,80,23.8
932.29,1.67,11.1,8.4,259,0,18,735,81,23.8
931.16,1.67,11,8.8,260,0,20,745,82,23.8
930.02,1.68,10.9,9.2,261,0,22,756,82,23.8
929.11,1.69,10.8,9.5,262,0,24,764,83,23.9
927.98,1.7,10.7,9.8,262,0,26,774,83,23.9
926.85,1.7,10.6,10.1,262,0,28,784,83,23.9
925.71,1.71,10.5,10.3,261,0,30,794,84,23.9
925,1.74,10.4,10.5,260,3,31,801,84,23.9
924.36,1.74,10.4,10.5,260,0,32,807,84,23.9
923.23,1.75,10.3,10.6,259,0,34,817,84,23.9
922.11,1.76,10.3,10.9,258,0,36,827,83,23.9
920.98,1.78,10.2,11.1,257,0,38,837,83,23.9
919.63,1.79,10.1,11.3,257,0,40,849,84,23.9
918.51,1.82,10,11.5,256,0,42,860,85,23.9
917.39,1.84,9.9,11.7,257,0,44,870,85,23.9
916.27,1.84,9.8,11.9,257,0,46,880,85,23.9
915.15,1.84,9.7,12,258,0,48,890,85,24
913.59,1.85,9.6,12.1,259,0,50,904,85,24
912.03,1.86,9.5,12.2,260,0,52,918,85,24
910.47,1.88,9.4,12.3,262,0,54,933,83,24
909.14,1.94,9.5,12.4,264,0,56,945,81,24
907.81,2.01,9.4,12.4,265,0,58,957,80,24
906.7,2.08,9.4,12.4,266,0,60,967,79,24
905.82,2.13,9.4,12.3,268,0,62,975,78,24
904.93,2.23,9.4,12.3,269,0,64,983,78,24
903.83,2.3,9.2,12.2,270,0,66,993,79,24.1
902.95,2.38,9.2,12.2,271,0,68,1002,79,24.1
902.07,2.42,9.1,12.1,272,0,70,1010,79,24.1
900.75,2.48,9,12,273,0,72,1022,80,24.1
899.65,2.52,8.9,11.9,274,0,74,1032,80,24.1
898.55,2.56,8.8,11.9,275,0,76,1042,80,24.1
897.67,2.59,8.7,11.9,276,0,78,1050,80,24.1
896.36,2.61,8.6,12,278,0,80,1062,81,24.1
895.26,2.67,8.5,12.1,279,0,82,1072,80,24.1
893.74,2.68,8.4,12.2,281,0,84,1086,80,24.1
892.21,2.71,8.3,12.4,282,0,86,1101,80,24.1
890.9,2.74,8.2,12.7,283,0,88,1113,80,24.1
889.6,2.78,8,13,285,0,90,1125,80,24.1
888.3,2.8,8,13.3,285,0,92,1137,80,24.2
887,2.82,8,13.6,286,0,94,1149,78,24.2
885.7,2.83,8,13.9,287,0,96,1161,75,24.2
884.62,2.85,8,14.2,287,0,98,1171,75,24.2
883.54,2.91,7.9,14.4,287,0,100,1181,75,24.2
882.46,2.99,7.8,14.7,287,0,102,1191,75,24.2
881.17,3.02,7.7,14.9,287,0,104,1203,75,24.2
880.09,3.04,7.6,15.1,286,0,106,1214,75,24.2
879.24,3.09,7.6,15.2,286,0,108,1222,74,24.2
877.95,3.14,7.5,15.4,286,0,110,1234,75,24.3
876.88,3.18,7.4,15.5,286,0,112,1244,75,24.3
875.59,3.2,7.2,15.6,286,0,114,1256,75,24.3
874.53,3.21,7.1,15.8,286,0,116,1266,75,24.3
873.67,3.25,7.1,16,286,0,118,1274,75,24.3
872.61,3.28,6.9,16.2,286,0,120,1284,76,24.3
871.33,3.29,6.8,16.4,286,0,122,1296,75,24.3
870.05,3.31,6.8,16.5,286,0,124,1308,76,24.3
868.99,3.33,6.7,16.7,286,0,126,1318,76,24.3
867.72,3.33,6.6,16.8,286,0,128,1330,76,24.3
866.66,3.36,6.5,16.9,286,0,130,1340,76,24.3
865.6,3.4,6.5,16.9,286,0,132,1350,76,24.4
864.34,3.41,6.3,16.9,286,0,134,1362,76,24.4
863.07,3.42,6.2,16.8,286,0,136,1374,79,24.4
862.02,3.43,6.1,16.8,286,0,138,1384,80,24.4
