
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-03-01,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A17828

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-02-28,11:22:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 177
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
260.5,0,302.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPWPressure,,,,,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.59,1.25,15.8,3.7,250,2,0,631,57,24.2
947.67,1.26,15.7,2.8,240,0,2,639,60,24.2
946.51,1.3,15.7,2.8,237,0,4,650,60,24.3
945.13,1.32,15.8,3,236,0,6,662,60,24.3
943.51,1.32,15.8,3.3,236,0,8,677,61,24.3
941.67,1.33,15.8,3.6,236,0,10,693,62,24.3
940.06,1.34,15.8,3.8,236,0,12,708,62,24.3
938.69,1.35,15.6,3.9,236,0,14,720,63,24.3
937.54,1.37,15.2,4.1,235,0,16,731,64,24.4
936.17,1.39,14.6,4.2,235,0,18,743,65,24.4
935.03,1.4,14.6,4.3,234,0,20,753,66,24.4
933.66,1.41,14.5,4.4,233,0,22,766,67,24.4
932.29,1.42,14.3,4.5,233,0,24,778,68,24.4
931.38,1.43,14.2,4.6,233,0,26,786,68,24.4
930.02,1.43,14.2,4.7,233,0,28,799,69,24.4
928.88,1.45,14,4.8,234,0,30,809,69,24.4
927.75,1.45,14,4.9,235,0,32,819,69,24.5
926.39,1.47,14,5,236,0,34,832,69,24.5
925.04,1.48,13.8,5.1,238,0,36,844,70,24.5
924.13,1.49,13.7,5.1,240,0,38,852,71,24.5
923.01,1.5,13.6,5.2,242,0,40,863,71,24.5
921.66,1.5,13.4,5.2,244,0,42,875,72,24.5
920.31,1.5,13.4,5.2,247,0,44,887,72,24.6
918.74,1.51,13.4,5.1,249,0,46,902,73,24.6
917.39,1.52,13.3,5.1,251,0,48,914,73,24.6
916.5,1.53,13.2,5.1,253,0,50,922,72,24.6
915.15,1.55,13.1,5.2,255,0,52,935,73,24.6
914.04,1.56,13,5.2,257,0,54,945,74,24.6
912.92,1.58,13,5.2,258,0,56,955,74,24.6
911.59,1.59,13,5.3,260,0,58,967,75,24.6
910.47,1.61,12.9,5.4,261,0,60,978,75,24.7
909.36,1.64,12.8,5.5,262,0,62,988,75,24.7
908.25,1.67,12.7,5.6,263,0,64,998,75,24.7
906.92,1.68,12.5,5.7,265,0,66,1011,74,24.7
905.82,1.71,12.5,5.8,266,0,68,1021,74,24.7
904.49,1.72,12.4,6,268,0,70,1033,74,24.7
903.39,1.73,12.3,6.2,269,0,72,1043,75,24.7
902.29,1.74,12.2,6.3,271,0,74,1054,76,24.8
901.19,1.74,12.1,6.5,272,0,76,1064,77,24.8
900.09,1.75,12.1,6.7,273,0,78,1074,77,24.8
898.99,1.76,11.9,6.8,274,0,80,1084,78,24.8
897.89,1.78,11.8,6.9,275,0,82,1095,77,24.8
896.8,1.83,11.8,7,275,0,84,1105,77,24.8
895.48,1.84,11.7,7.1,275,0,86,1117,79,24.8
894.17,1.84,11.7,7.2,275,0,88,1129,80,24.8
893.08,1.88,11.7,7.2,275,0,90,1140,80,24.9
891.77,1.97,11.5,7.3,274,0,92,1152,81,24.9
890.25,1.99,11.3,7.3,273,0,94,1166,82,24.9
888.95,2,11.2,7.3,273,0,96,1178,82,24.9
887.43,2.04,11.2,7.3,272,0,98,1193,82,24.9
886.13,2.13,11.2,7.3,270,0,100,1205,83,24.9
884.62,2.16,11,7.2,269,0,102,1219,83,24.9
883.11,2.27,11.1,7.2,268,0,104,1234,83,24.9
881.6,2.3,11,7.2,267,0,106,1248,82,25
880.31,2.32,10.9,7.2,267,0,108,1260,81,25
878.81,2.38,10.8,7.1,266,0,110,1274,81,25
877.31,2.42,10.7,7.1,266,0,112,1289,81,25
875.59,2.43,10.7,7.1,266,0,114,1305,82,25
874.1,2.44,10.6,7.1,267,0,116,1319,82,25
872.61,2.51,10.5,7,267,0,118,1333,82,25
871.12,2.53,10.3,7,268,0,120,1348,82,25.1
870.05,2.56,10.2,7,269,0,122,1358,82,25.1
868.57,2.58,10.1,6.9,270,0,124,1372,83,25.1
867.3,2.59,10.1,6.9,270,0,126,1384,83,25.1
866.03,2.6,9.9,6.8,271,0,128,1397,83,25.1
864.76,2.62,9.8,6.8,272,0,130,1409,83,25.1
863.49,2.63,9.7,6.7,273,0,132,1421,84,25.1
862.44,2.69,9.7,6.7,273,0,134,1431,83,25.2
861.39,2.69,9.6,6.7,274,0,136,1441,83,25.2
860.13,2.69,9.5,6.7,275,0,138,1453,84,25.2
858.87,2.69,9.4,6.7,276,0,140,1466,84,25.2
857.61,2.7,9.3,6.8,277,0,142,1478,85,25.2
856.36,2.71,9.2,6.8,278,0,144,1490,85,25.2
855.1,2.72,9.1,6.9,279,0,146,1502,85,25.2
853.85,2.74,8.9,7,280,0,148,1514,85,25.3
852.6,2.74,9.1,7,281,0,150,1526,86,25.3
851.56,2.76,9,7.1,281,0,152,1536,86,25.3
850.31,2.77,8.9,7.2,282,0,154,1549,86,25.3
849.07,2.77,8.9,7.3,283,0,156,1561,86,25.3
847.83,2.78,8.7,7.4,283,0,158,1573,87,25.3
846.59,2.8,8.6,7.5,283,0,160,1585,87,25.3
845.35,2.78,8.6,7.6,284,0,162,1597,87,25.3
844.11,2.78,8.3,7.8,284,0,164,1609,87,25.3
842.67,2.81,8.2,8,284,0,166,1623,87,25.4
841.43,2.8,8.1,8.2,285,0,168,1636,88,25.4
840.2,2.78,8,8.4,285,0,170,1648,87,25.4
838.77,2.78,7.9,8.6,286,0,172,1662,88,25.4
837.34,2.8,7.8,8.8,286,0,174,1676,88,25.4
836.11,2.78,7.6,9.1,286,2,176,1688,89,25.4
834.89,2.78,7.6,9.3,287,0,178,1700,89,25.4
833.26,2.78,7.5,9.5,287,0,180,1716,89,25.4
832.24,2.79,7.4,9.7,287,0,182,1726,89,25.5
830.82,2.79,7.3,9.9,288,0,184,1740,90,25.5
829.6,2.79,7.3,10,288,0,186,1752,90,25.5
828.19,2.79,7.2,10.2,288,0,188,1767,90,25.5
826.77,2.79,7.1,10.3,289,0,190,1781,90,25.5
825.36,2.81,7,10.5,289,0,192,1795,90,25.6
823.75,2.8,7,10.6,290,0,194,1811,90,25.6
822.34,2.79,7,10.8,290,0,196,1825,90,25.6
820.74,2.79,6.9,11,290,0,198,1841,90,25.6
819.34,2.79,6.8,11.2,290,0,200,1855,89,25.6
817.94,2.77,6.9,11.4,290,0,202,1869,89,25.6
816.34,2.76,7,11.7,290,0,204,1885,87,25.6
815.15,2.78,7.1,12,289,0,206,1897,86,25.6
813.95,2.78,7.1,12.3,289,0,208,1909,85,25.6
812.56,2.78,7.1,12.7,288,0,210,1923,83,25.7
811.18,2.78,7,13.1,287,0,212,1937,82,25.7
809.79,2.78,7,13.4,287,0,214,1952,82,25.7
808.41,2.77,7,13.7,286,0,216,1966,82,25.7
807.23,2.76,7.1,13.9,285,0,218,1978,81,25.7
806.04,2.75,7.2,14,284,0,220,1990,79,25.7
804.47,2.74,7.2,14.1,283,0,222,2006,78,25.7
803.1,2.75,7.2,14.1,282,0,224,2020,77,25.7
801.73,2.74,7.2,14.1,281,2,226,2034,77,25.7
800.55,2.73,7.1,14.1,280,0,228,2046,76,25.8
799.19,2.69,6.9,13.9,280,0,230,2060,77,25.8
798.02,2.69,6.8,13.8,279,0,232,2072,77,25.8
796.85,2.69,6.8,13.8,279,0,234,2084,76,25.8
795.88,2.69,6.7,13.8,279,0,236,2094,76,25.8
794.91,2.69,6.7,13.9,279,0,238,2104,76,25.8
793.74,2.69,6.6,14,279,0,240,2116,76,25.8
792.39,2.69,6.5,14.2,279,0,242,2130,76,25.8
791.23,2.69,6.4,14.5,279,0,244,2142,77,25.8
790.07,2.66,6.3,14.8,280,0,246,2154,77,25.9
788.91,2.65,6.2,15.1,280,0,248,2166,78,25.9
787.76,2.65,6.1,15.5,280,0,250,2178,79,25.9
786.6,2.66,6,15.8,280,0,252,2190,80,25.9
785.45,2.66,5.8,16.2,280,0,254,2203,80,25.9
784.11,2.63,5.6,16.5,280,0,256,2217,80,25.9
782.77,2.63,5.4,16.8,280,0,258,2231,81,25.9
781.63,2.63,5.4,17.1,280,0,260,2242,82,25.9
780.48,2.63,5.3,17.4,279,0,262,2254,82,25.9
779.15,2.63,5.2,17.6,279,0,264,2268,82,25.9
777.63,2.63,5.1,17.8,279,0,266,2284,83,25.9
776.3,2.63,5,17.9,279,0,268,2298,84,26
774.98,2.61,4.9,18,279,0,270,2312,84,26
773.65,2.6,4.8,18.1,279,0,272,2326,85,26
772.33,2.59,4.8,18.2,279,0,274,2340,85,26
771.01,2.58,4.7,18.2,279,0,276,2354,84,26
769.88,2.58,4.6,18.1,279,0,278,2366,85,26
768.57,2.58,4.4,18,279,0,280,2380,85,26
767.26,2.58,4.3,17.9,279,0,282,2394,85,26
765.76,2.58,4.3,17.8,280,0,284,2410,84,26
764.27,2.55,4.2,17.7,280,0,286,2426,84,26.1
762.77,2.55,4.1,17.5,280,0,288,2442,84,26.1
761.84,2.54,4.1,17.4,281,0,290,2452,84,26.1
760.73,2.54,4.1,17.2,281,0,292,2464,84,26.1
759.43,2.52,3.9,17.1,281,0,294,2478,84,26.1
758.32,2.52,3.8,17,281,0,296,2490,84,26.1
757.21,2.52,3.8,16.9,281,0,298,2501,84,26.1
756.28,2.52,3.7,16.9,280,0,300,2511,85,26.1
755.18,2.52,3.7,16.8,280,0,302,2523,86,26.1
754.26,2.52,3.7,16.8,279,0,304,2533,85,26.1
753.34,2.52,3.8,16.8,278,0,306,2543,85,26.1
752.42,2.51,3.5,16.8,277,0,308,2553,85,26.2
751.5,2.53,3.5,16.8,276,0,310,2563,84,26.2
750.77,2.55,3.5,16.9,275,0,312,2571,84,26.2
749.67,2.52,3.4,16.9,275,0,314,2583,84,26.2
748.39,2.52,3.2,17,274,0,316,2597,84,26.2
746.93,2.52,3.1,17,274,2,318,2613,84,26.2
745.65,2.51,3.3,17,274,0,320,2626,84,26.2
744.38,2.51,3.4,17,274,0,322,2640,83,26.2
743.11,2.5,3.5,17,274,0,324,2654,80,26.2
741.84,2.49,3.6,17,274,0,326,2668,78,26.2
