
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-03-08,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A17821

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-03-07,11:02:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 197
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
317.1,0,357.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.044,26.5,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.92,2.46,15.2,9.4,260,2,0,631,62,23.6
937.77,2.51,15.5,7.5,267,0,2,641,62,23.6
937.31,2.52,15.4,7.5,269,0,4,645,63,23.6
936.63,2.52,15.3,8.3,270,0,6,652,63,23.6
935.48,2.61,15.1,9.3,270,0,8,662,63,23.6
934.57,2.66,14.9,10.3,269,0,10,670,63,23.6
933.89,2.67,14.8,10.9,269,0,12,677,63,23.6
933.43,2.71,14.8,11.6,269,0,14,681,64,23.7
932.75,2.79,14.7,12.2,269,0,16,687,64,23.7
931.61,2.82,14.6,12.7,269,0,18,697,64,23.7
930.47,2.85,14.5,13.1,269,0,20,708,64,23.7
929.34,2.86,14.3,13.4,269,0,22,718,64,23.7
928.2,2.88,14.2,13.7,269,0,24,728,63,23.7
926.85,2.91,14.2,13.9,269,0,26,741,64,23.7
925.71,2.93,14.1,14.1,268,0,28,751,64,23.7
925,2.95,14,14.2,268,3,29,757,64,23.7
924.59,2.95,14,14.2,268,0,30,761,64,23.7
923.68,2.98,13.8,14.3,268,0,32,769,64,23.8
922.78,3,13.7,14.3,268,0,34,778,65,23.8
921.66,3.04,13.7,14.3,267,0,36,788,65,23.8
920.98,3.05,13.6,14.3,267,0,38,794,65,23.8
920.08,3.07,13.5,14.2,267,0,40,802,65,23.8
919.18,3.07,13.4,14,266,0,42,811,65,23.8
918.29,3.09,13.3,13.9,266,0,44,819,66,23.8
917.39,3.14,13.3,13.7,265,0,46,827,66,23.8
916.27,3.15,13.2,13.5,265,0,48,837,66,23.8
915.6,3.15,13.1,13.3,265,0,50,843,67,23.9
914.71,3.15,13,13.2,265,0,52,852,67,23.9
913.37,3.16,12.9,13,265,0,54,864,67,23.9
912.25,3.16,12.8,12.9,265,0,56,874,68,23.9
911.14,3.16,12.8,12.8,265,0,58,885,68,23.9
909.81,3.15,12.6,12.8,265,0,60,897,68,23.9
908.7,3.15,12.5,12.8,266,0,62,907,68,23.9
907.59,3.16,12.4,12.9,267,0,64,917,69,23.9
906.7,3.16,12.3,13,267,0,66,926,69,23.9
905.82,3.18,12.4,13.2,268,0,68,934,68,23.9
904.93,3.2,12.2,13.5,269,0,70,942,68,23.9
903.61,3.22,12.1,13.8,270,0,72,954,68,24
902.51,3.24,12,14.1,270,0,74,964,68,24
901.63,3.27,12,14.4,270,0,76,973,68,24
900.53,3.31,11.9,14.8,270,0,78,983,68,24
899.43,3.31,11.9,15.1,270,0,80,993,68,24
897.89,3.31,11.7,15.3,270,0,82,1007,68,24
896.58,3.33,11.6,15.5,270,0,84,1020,69,24
895.26,3.32,11.5,15.7,269,0,86,1032,68,24
894.17,3.29,11.4,15.8,269,0,88,1042,68,24
892.86,3.29,11.2,15.8,268,0,90,1054,69,24.1
891.56,3.29,10.9,15.9,267,0,92,1067,70,24.1
890.03,3.31,10.8,15.9,266,0,94,1081,71,24.1
888.51,3.31,10.7,15.9,265,0,96,1095,72,24.1
887.43,3.31,10.7,15.9,265,0,98,1105,70,24.1
886.35,3.3,10.6,15.9,264,0,100,1115,71,24.1
