
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-04-13,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A17818

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-04-11,10:38:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 284
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
337.8,0,384

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.058,27.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.2,2.95,14.5,1.4,70,2,0,631,69,22.5
942.82,2.95,13.8,1.8,30,0,2,643,66,22.5
941.21,2.98,13.5,2,15,0,4,658,66,22.5
939.83,2.98,13.3,2.3,9,0,6,670,67,22.6
938.46,2.98,13.1,2.5,8,0,8,682,67,22.6
937.08,2.98,12.9,2.7,10,0,10,695,68,22.6
935.48,2.98,12.7,2.8,13,0,12,709,70,22.6
934.12,2.99,12.6,3,15,0,14,721,70,22.6
932.75,3.03,12.5,3.1,16,0,16,734,72,22.6
931.61,3.03,12.5,3.1,18,0,18,744,72,22.6
930.47,3.04,12.3,3.2,19,0,20,754,72,22.6
929.11,3.03,12.2,3.2,20,0,22,767,73,22.6
927.75,3.03,12,3.3,21,0,24,779,73,22.6
926.17,3.02,11.9,3.4,22,0,26,793,74,22.7
925,3.01,11.8,3.6,23,3,27,803,74,22.7
924.59,3.01,11.7,3.6,23,0,28,807,74,22.7
923.01,3.01,11.6,3.7,23,0,30,822,75,22.7
921.43,3,11.5,3.9,25,0,32,836,76,22.7
919.63,3.01,11.4,4,26,0,34,852,76,22.7
918.06,3.01,11.2,4.2,28,0,36,867,76,22.7
916.27,3.01,11,4.2,30,0,38,883,77,22.7
914.48,3.01,10.8,4.3,32,0,40,899,78,22.8
912.92,3.02,10.7,4.3,35,0,42,914,78,22.8
911.14,3.02,10.5,4.3,38,0,44,930,79,22.8
909.36,3.02,10.4,4.3,42,0,46,946,79,22.8
907.59,3.02,10.2,4.2,46,0,48,962,80,22.8
906.26,3.02,10.1,4.2,49,0,50,975,80,22.8
904.71,3.03,10,4.1,52,0,52,989,81,22.8
903.17,3.03,9.8,4.1,54,0,54,1003,82,22.8
901.41,3.04,9.7,4.1,55,0,56,1019,83,22.8
899.65,3.03,9.5,4.1,55,0,58,1036,83,22.9
898.11,3.03,9.4,4.1,55,0,60,1050,83,22.9
896.58,3.01,9.2,4.1,54,0,62,1064,84,22.9
895.26,3.02,9.1,4.1,52,0,64,1076,85,22.9
893.95,3.03,8.9,4.1,50,0,66,1088,85,22.9
892.43,3.03,8.7,4.1,49,0,68,1102,86,22.9
890.9,3.03,8.5,4.1,49,0,70,1117,87,22.9
889.38,3.04,8.3,4.1,49,0,72,1131,88,22.9
888.3,3.06,8.2,4,49,0,74,1141,89,22.9
887,3.06,8.2,3.9,51,0,76,1153,88,23
885.7,3.08,8.1,3.8,53,0,78,1165,88,23
884.4,3.12,8,3.7,56,0,80,1177,89,23
883.11,3.12,8,3.6,59,0,82,1189,89,23
882.03,3.13,7.9,3.5,62,0,84,1199,89,23
880.74,3.13,7.7,3.3,64,0,86,1211,90,23
879.66,3.14,7.6,3.2,65,0,88,1222,91,23
878.59,3.14,7.5,3.1,66,0,90,1232,92,23
877.52,3.13,7.4,2.9,66,0,92,1242,92,23.1
876.45,3.13,7.3,2.9,66,0,94,1252,93,23.1
874.95,3.13,7.2,2.8,66,0,96,1266,93,23.1
873.89,3.14,7.1,2.8,64,0,98,1276,93,23.1
872.82,3.13,7,2.8,63,0,100,1286,94,23.1
871.75,3.12,6.9,2.8,62,0,102,1296,94,23.1
870.48,3.13,6.8,2.9,61,0,104,1308,95,23.1
869.2,3.15,6.7,3,60,0,106,1320,95,23.1
868.14,3.15,6.6,3.1,60,0,108,1330,95,23.1
867.08,3.15,6.6,3.2,60,0,110,1340,95,23.1
865.6,3.15,6.6,3.3,61,0,112,1354,96,23.1
864.13,3.15,6.6,3.4,61,0,114,1368,96,23.2
862.65,3.14,6.4,3.5,62,0,116,1382,96,23.2
861.39,3.14,6.4,3.5,64,0,118,1394,97,23.2
860.13,3.14,6.3,3.6,65,0,120,1406,97,23.2
858.66,3.14,6.2,3.7,67,0,122,1420,97,23.2
857.4,3.14,6.1,3.7,68,0,124,1433,97,23.2
856.15,3.16,6.1,3.7,70,0,126,1445,97,23.2
854.89,3.17,5.8,3.7,72,0,128,1457,97,23.2
853.64,3.17,5.5,3.8,74,0,130,1469,95,23.2
