
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-04-26,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18186

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-04-25,10:42:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 210
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
311.1,0,349.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.029,26.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
940.98,0.67,16.6,2.2,170,2,0,631,53,24.7
939.83,0.71,16,2.1,172,0,2,641,53,24.7
938.46,0.81,15.9,2.2,172,0,4,654,53,24.7
937.31,0.81,15.8,2.4,171,0,6,664,54,24.7
936.17,0.81,15.7,2.6,170,0,8,675,54,24.7
935.03,0.82,15.7,2.9,169,0,10,685,54,24.7
933.89,0.81,15.5,3,170,0,12,695,54,24.7
932.75,0.81,15.4,3.2,170,0,14,706,55,24.7
931.61,0.81,15.3,3.3,170,0,16,716,55,24.8
930.47,0.81,15.2,3.4,171,0,18,726,56,24.8
929.11,0.81,15.1,3.6,172,0,20,739,56,24.8
927.75,0.81,15,3.7,173,0,22,751,56,24.8
926.39,0.81,14.9,3.8,175,0,24,764,56,24.8
925.26,0.81,14.8,3.8,177,0,26,774,57,24.8
925,0.8,14.8,3.8,177,3,26,776,57,24.8
924.13,0.8,14.7,3.9,179,0,28,784,57,24.8
923.01,0.8,14.6,3.9,182,0,30,795,57,24.8
921.66,0.79,14.5,4,185,0,32,807,58,24.8
920.31,0.8,14.3,4,188,0,34,819,59,24.9
918.96,0.8,14.1,3.9,191,0,36,832,59,24.9
918.06,0.8,14,3.9,194,0,38,840,60,24.9
916.94,0.8,13.9,3.9,196,0,40,850,60,24.9
915.38,0.8,13.8,3.8,197,0,42,865,61,24.9
914.04,0.8,13.6,3.8,198,0,44,877,61,24.9
912.92,0.81,13.5,3.8,198,0,46,887,61,24.9
911.81,0.81,13.4,3.8,197,0,48,898,62,24.9
910.92,0.82,13.3,3.8,195,0,50,906,62,24.9
909.81,0.82,13.2,3.9,193,0,52,916,62,24.9
908.7,0.82,13.1,3.9,190,0,54,926,63,25
907.59,0.83,13,4,188,0,56,937,63,25
906.48,0.83,13,4.1,186,0,58,947,64,25
905.38,0.83,12.9,4.2,184,0,60,957,64,25
904.27,0.82,12.7,4.2,182,0,62,967,64,25
903.17,0.83,12.6,4.3,181,0,64,978,65,25
902.07,0.83,12.6,4.3,180,0,66,988,65,25
900.97,0.84,12.5,4.4,179,0,68,998,65,25
900.09,0.84,12.5,4.4,179,0,70,1006,65,25
898.99,0.84,12.3,4.4,179,0,72,1017,65,25.1
897.67,0.84,12.2,4.4,179,0,74,1029,65,25.1
896.58,0.84,12.1,4.4,179,0,76,1039,65,25.1
895.7,0.84,12,4.4,180,0,78,1047,66,25.1
894.61,0.84,11.9,4.5,180,0,80,1058,66,25.1
893.3,0.89,11.8,4.5,181,0,82,1070,67,25.1
891.99,0.91,11.7,4.6,182,0,84,1082,68,25.1
890.69,0.91,11.6,4.7,183,0,86,1094,68,25.1
889.38,0.91,11.5,4.8,185,0,88,1107,69,25.1
888.08,0.91,11.3,4.9,186,0,90,1119,69,25.1
887,0.91,11.3,4.9,188,0,92,1129,69,25.1
885.92,0.91,11.2,4.9,190,0,94,1139,69,25.1
884.83,0.9,11.1,4.9,192,0,96,1149,70,25.1
883.75,0.89,10.9,4.9,193,0,98,1160,70,25.2
882.46,0.88,10.8,4.8,195,0,100,1172,71,25.2
881.38,0.88,10.7,4.7,197,0,102,1182,71,25.2
