
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-05-04,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18185

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-05-03,10:56:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 271
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
337,0,393.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.031,26.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
935.94,4.2,13.7,1.7,130,2,0,631,63,23.9
934.57,4.2,13.1,0.8,78,0,2,643,57,23.9
932.75,4.2,12.4,0.6,67,0,4,660,59,23.9
931.16,4.2,12.4,0.5,60,0,6,674,60,23.9
929.79,4.19,12.3,0.6,56,0,8,686,61,23.9
928.43,4.19,12.2,0.6,56,0,10,699,62,24
926.85,4.2,12.1,0.7,66,0,12,713,63,24
925.26,4.2,12,0.6,72,0,14,727,64,24
925,4.22,12,0.6,72,3,14,729,64,24
923.68,4.22,11.7,0.6,81,0,16,742,65,24
922.11,4.23,11.5,0.6,90,0,18,756,65,24
920.53,4.25,11.3,0.6,103,0,20,770,65,24
918.74,4.26,11.2,0.7,113,0,22,787,66,24
917.17,4.27,11,0.7,118,0,24,801,66,24
915.38,4.28,10.8,0.7,121,0,26,817,68,24
913.59,4.3,10.7,0.8,123,0,28,833,69,24
911.81,4.28,10.7,0.8,123,0,30,850,69,24
910.25,4.28,10.5,0.9,119,0,32,864,69,24
908.92,4.28,10.3,1,111,0,34,876,69,24
907.59,4.29,10.1,1.1,105,0,36,888,69,24
906.04,4.29,10,1.2,100,0,38,903,69,24
904.71,4.33,9.9,1.3,98,0,40,915,69,24
903.61,4.34,9.8,1.4,96,0,42,925,69,24
902.29,4.37,9.7,1.5,95,0,44,937,69,24
901.19,4.39,9.6,1.6,95,0,46,947,69,24
900.09,4.42,9.5,1.7,97,0,48,957,69,24.1
898.77,4.44,9.4,1.7,100,0,50,969,69,24.1
897.45,4.48,9.3,1.7,102,0,52,982,70,24.1
896.36,4.48,9.2,1.7,103,0,54,992,70,24.1
895.05,4.49,9.1,1.8,104,0,56,1004,71,24.1
893.95,4.5,8.9,1.7,105,0,58,1014,73,24.1
892.65,4.5,8.8,1.7,105,0,60,1026,74,24.1
891.34,4.5,8.7,1.7,105,0,62,1038,76,24.1
890.03,4.5,8.6,1.7,105,0,64,1050,76,24.1
888.73,4.49,8.4,1.8,106,0,66,1063,76,24.1
887.43,4.48,8.3,1.8,107,0,68,1075,77,24.1
886.13,4.46,8.2,1.8,108,0,70,1087,77,24.1
884.83,4.45,8.1,1.8,111,0,72,1099,78,24.1
