
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-06-22,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18176

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-06-20,10:29:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 232
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
290.9,0,333.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.025,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.2,1.84,19,1.9,270,2,0,631,69,26.6
943.05,1.84,18.8,2,228,0,2,642,71,26.7
941.67,1.85,18.8,2.3,215,0,4,654,72,26.7
940.29,1.85,18.8,2.6,211,0,6,667,73,26.7
938.92,1.86,18.8,2.9,213,0,8,679,73,26.7
937.54,1.86,18.6,3.3,216,0,10,692,73,26.7
936.4,1.86,18.4,3.7,220,0,12,702,73,26.7
935.26,1.86,18.2,4.1,221,0,14,713,74,26.7
933.89,1.86,18.1,4.5,223,0,16,725,75,26.7
932.75,1.87,18,4.8,225,0,18,736,75,26.7
931.61,1.87,17.7,5.1,226,0,20,746,74,26.7
930.7,1.9,17.6,5.3,227,0,22,755,74,26.8
929.34,1.93,17.5,5.6,229,0,24,767,75,26.8
927.98,1.94,17.4,5.7,230,0,26,780,75,26.8
926.85,1.94,17.3,5.8,231,0,28,790,76,26.8
925.71,1.95,17.1,5.9,231,0,30,801,77,26.8
925,1.97,17.1,5.9,232,3,32,807,78,26.8
924.81,1.97,17.1,5.9,232,0,32,809,78,26.8
923.68,1.97,17.1,5.9,233,0,34,820,78,26.8
922.33,1.97,16.9,5.9,233,0,36,832,79,26.8
920.76,1.98,16.7,5.8,233,0,38,847,79,26.8
919.41,1.98,16.6,5.7,234,0,40,859,80,26.8
918.29,1.98,16.5,5.7,234,0,42,870,80,26.8
916.94,2,16.4,5.6,233,0,44,882,80,26.9
915.38,2,16.2,5.4,233,0,46,897,81,26.9
913.81,2,16,5.3,233,0,48,911,80,26.9
912.92,2.02,15.9,5.2,232,0,50,919,81,26.9
911.81,2.05,15.8,5.1,232,0,52,930,81,26.9
910.47,2.06,15.6,4.9,231,0,54,942,82,26.9
909.14,2.06,15.5,4.8,231,0,56,955,82,26.9
907.59,2.07,15.4,4.7,230,0,58,969,83,26.9
906.26,2.08,15.3,4.6,230,0,60,982,84,26.9
905.38,2.09,15.3,4.6,230,0,62,990,84,26.9
904.27,2.1,15.1,4.5,231,0,64,1000,83,26.9
902.95,2.13,15,4.5,231,0,66,1013,83,26.9
901.85,2.14,15,4.5,232,0,68,1023,83,26.9
900.53,2.17,14.8,4.5,234,0,70,1036,83,27
899.43,2.2,14.7,4.5,236,0,72,1046,83,27
898.33,2.21,14.6,4.5,238,0,74,1056,84,27
897.23,2.21,14.5,4.6,240,0,76,1067,85,27
896.14,2.22,14.4,4.7,243,0,78,1077,85,27
895.05,2.25,14.3,4.7,245,0,80,1087,85,27
894.17,2.27,14.4,4.8,247,0,82,1096,84,27
893.3,2.28,14.3,4.9,248,0,84,1104,84,27
892.21,2.3,14.1,5,250,0,86,1114,85,27
890.9,2.33,13.9,5,251,0,88,1127,86,27
889.38,2.33,13.8,5,251,0,90,1141,85,27.1
888.08,2.34,13.8,5,251,0,92,1153,85,27.1
886.78,2.36,13.8,5,251,0,94,1166,85,27.1
885.48,2.38,13.7,4.9,250,0,96,1178,85,27.1
884.19,2.39,13.5,4.8,249,0,98,1191,85,27.1
882.89,2.39,13.4,4.6,248,0,100,1203,86,27.1
881.82,2.39,13.4,4.5,246,0,102,1213,87,27.1
880.52,2.4,13.1,4.5,244,0,104,1226,88,27.1
879.24,2.4,13.1,4.4,241,0,106,1238,88,27.1
878.16,2.4,12.9,4.5,239,0,108,1248,89,27.1
877.09,2.41,12.7,4.6,237,0,110,1258,91,27.1
876.02,2.41,12.6,4.7,236,0,112,1269,92,27.1
874.95,2.42,12.5,4.9,235,2,114,1279,92,27.2
874.1,2.42,12.7,5.1,235,0,116,1287,90,27.2
873.03,2.43,12.8,5.4,235,0,118,1298,88,27.2
871.75,2.45,12.7,5.6,236,0,120,1310,86,27.2
870.48,2.47,12.6,5.9,237,0,122,1322,83,27.2
869.42,2.5,12.6,6.1,238,0,124,1332,83,27.2
868.14,2.56,12.6,6.3,240,0,126,1345,82,27.2
866.87,2.6,12.6,6.5,242,0,128,1357,82,27.2
865.6,2.64,12.6,6.7,244,0,130,1369,81,27.2
864.34,2.68,12.5,6.8,245,0,132,1382,81,27.2
863.7,2.69,12.4,6.9,246,0,134,1388,81,27.2
862.86,2.72,12.3,7,246,0,136,1396,82,27.2
861.81,2.75,12.2,7.1,247,0,138,1406,82,27.2
860.97,2.76,12.1,7.1,247,0,140,1415,81,27.3
860.13,2.78,12.1,7.1,246,0,142,1423,81,27.3
859.08,2.82,12,7.1,246,0,144,1433,81,27.3
857.61,2.82,12,7.1,245,0,146,1447,81,27.3
856.36,2.82,11.9,7.1,244,0,148,1460,81,27.3
855.1,2.82,11.8,7.1,243,0,150,1472,81,27.3
854.06,2.82,11.9,7.1,243,0,152,1482,81,27.3
853.02,2.86,11.8,7.1,242,0,154,1492,81,27.3
851.98,2.86,11.7,7.1,242,0,156,1503,80,27.3
850.94,2.87,11.6,7,242,0,158,1513,81,27.3
849.9,2.87,11.5,7,242,0,160,1523,82,27.3
849.07,2.87,11.4,6.9,242,0,162,1531,82,27.3
848.03,2.87,11.2,6.8,241,0,164,1541,83,27.4
847,2.87,11.2,6.7,241,0,166,1552,83,27.4
845.97,2.87,11.2,6.5,240,0,168,1562,82,27.4
845.14,2.88,11.1,6.4,240,0,170,1570,82,27.4
844.11,2.88,11,6.3,239,0,172,1580,83,27.4
843.08,2.88,10.9,6.2,238,0,174,1590,83,27.4
842.26,2.89,10.9,6.1,238,0,176,1599,83,27.4
841.43,2.89,10.8,6,237,0,178,1607,83,27.4
840.2,2.89,10.7,6,237,0,180,1619,83,27.4
838.97,2.89,10.6,6,237,0,182,1631,84,27.4
837.95,2.89,10.6,5.9,237,0,184,1641,84,27.4
837.13,2.9,10.6,5.9,238,0,186,1650,83,27.4
835.91,2.9,10.4,5.9,239,0,188,1662,83,27.4
834.68,2.9,10.3,5.8,240,0,190,1674,84,27.5
833.46,2.9,10.2,5.8,242,0,192,1686,84,27.5
832.24,2.9,10.1,5.8,244,0,194,1698,85,27.5
831.22,2.91,10,5.8,246,0,196,1709,85,27.5
830.21,2.9,9.9,5.8,248,0,198,1719,85,27.5
829.2,2.91,9.8,5.9,250,0,200,1729,85,27.5
828.19,2.91,9.8,5.9,252,0,202,1739,86,27.5
827.38,2.92,9.8,6,254,0,204,1747,86,27.5
826.57,2.92,9.7,6.1,255,0,206,1755,85,27.5
825.76,2.92,9.5,6.2,256,0,208,1763,85,27.5
824.96,2.92,9.4,6.4,257,0,210,1772,86,27.5
824.15,2.92,9.4,6.5,257,0,212,1780,86,27.5
823.35,2.92,9.3,6.6,256,0,214,1788,86,27.5
822.54,2.92,9.2,6.8,255,0,216,1796,86,27.5
821.74,2.92,9.2,7,253,0,218,1804,86,27.6
820.94,2.92,9.1,7.2,251,0,220,1812,86,27.6
820.14,2.91,9,7.4,248,0,222,1820,86,27.6
819.34,2.92,9.1,7.7,245,0,224,1828,85,27.6
818.54,2.92,9,8,242,0,226,1836,85,27.6
817.54,2.93,9,8.3,240,0,228,1847,85,27.6
816.34,2.93,8.9,8.7,237,0,230,1859,85,27.6
815.35,2.94,8.9,9.1,235,0,232,1869,85,27.6
814.55,2.95,8.9,9.5,234,0,234,1877,83,27.6
813.76,2.96,9,9.8,233,0,236,1885,81,27.6
812.96,2.96,8.9,10.2,233,0,238,1893,80,27.6
811.97,2.97,8.9,10.5,233,0,240,1903,78,27.6
810.98,2.97,8.8,10.8,233,0,242,1913,79,27.6
810.19,2.98,8.8,11,234,0,244,1922,79,27.6
809.4,2.98,8.8,11.3,235,0,246,1930,78,27.6
808.41,2.97,8.7,11.5,236,0,248,1940,78,27.7
807.62,2.97,8.7,11.6,237,0,250,1948,78,27.7
806.83,2.98,8.7,11.8,237,0,252,1956,78,27.7
806.04,2.98,8.6,11.9,237,0,254,1964,77,27.7
805.26,2.99,8.6,12.1,236,0,256,1972,78,27.7
804.47,2.99,8.6,12.2,236,0,258,1980,77,27.7
803.49,3,8.6,12.3,235,0,260,1990,75,27.7
802.71,3,8.7,12.3,234,0,262,1998,74,27.7
802.12,3,8.6,12.4,233,0,264,2004,73,27.7
801.34,3,8.6,12.4,232,0,266,2013,73,27.7
800.55,3.02,8.5,12.3,230,0,268,2021,72,27.7
