
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-07-19,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a19129

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-07-18,11:17:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 122
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
246,0,291.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGP,,0.016,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.9,3.3,28.2,2.4,240,2,0,631,22,29.8
943.97,3.34,27.1,2,247,0,2,640,23,29.8
942.82,3.37,25.8,2,247,2,4,650,25,29.8
941.67,3.4,25.8,2.2,245,0,6,661,26,29.9
940.75,3.42,25.8,2.5,241,0,8,670,26,29.9
939.83,3.46,25.8,2.7,237,0,10,678,26,29.9
938.69,3.48,25.9,2.8,231,0,12,689,27,29.9
937.54,3.5,25.9,3,227,0,14,700,27,29.9
936.63,3.51,25.8,3.2,223,0,16,708,27,29.9
935.48,3.53,25.5,3.3,219,0,18,719,27,29.9
934.12,3.53,25.3,3.5,216,0,20,732,27,30
932.98,3.54,25.2,3.6,214,0,22,743,27,30
931.84,3.55,25.1,3.8,212,0,24,753,27,30
930.7,3.57,25.1,3.9,211,0,26,764,28,30
929.57,3.57,25.1,4.1,211,0,28,775,28,30
928.43,3.58,24.9,4.2,211,0,30,785,28,30.1
927.3,3.58,24.7,4.3,212,0,32,796,28,30.1
926.17,3.58,24.6,4.4,213,0,34,807,28,30.1
925.04,3.59,24.5,4.4,215,0,36,817,29,30.1
923.91,3.6,24.3,4.4,216,0,38,828,29,30.1
923.01,3.6,24.2,4.3,216,0,40,837,29,30.1
