
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-09-20,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20189

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-09-19,10:55:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 163
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
267.9,0,302.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.015,26.2,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.36,4.51,21.5,2.5,140,2,0,631,54,26.6
947.44,4.62,21.2,2,142,0,2,639,51,26.6
946.05,4.65,20.8,2,143,0,4,652,53,26.6
944.43,4.65,20.4,2.3,143,0,6,667,55,26.7
942.59,4.64,20,2.6,144,0,8,684,57,26.7
940.98,4.62,19.7,2.9,144,0,10,699,58,26.7
939.38,4.6,19.4,3,144,0,12,713,59,26.7
938,4.57,19.2,3.2,144,0,14,726,60,26.7
936.86,4.56,19,3.3,144,0,16,736,61,26.7
935.94,4.56,18.9,3.4,143,0,18,745,61,26.8
935.26,4.56,18.7,3.4,141,0,20,751,62,26.8
934.34,4.57,18.7,3.4,139,0,22,759,62,26.8
933.66,4.57,18.6,3.4,137,0,24,766,63,26.8
932.75,4.57,18.5,3.4,134,0,26,774,64,26.8
931.84,4.57,18.4,3.4,131,0,28,782,64,26.8
930.7,4.57,18.3,3.5,128,0,30,793,65,26.9
929.79,4.55,18.3,3.5,126,0,32,801,65,26.9
928.88,4.54,18.2,3.5,125,0,34,810,65,26.9
927.98,4.54,18.1,3.4,124,0,36,818,66,26.9
927.3,4.56,18.1,3.3,125,0,38,824,65,26.9
926.39,4.56,18,3.2,126,0,40,833,65,26.9
925.26,4.54,17.9,3.1,129,0,42,843,66,27
925,4.58,17.9,3.1,129,3,42,846,66,27
924.13,4.58,17.8,2.9,133,0,44,854,66,27
923.01,4.58,17.7,2.8,138,0,46,864,66,27
922.11,4.58,17.6,2.7,144,0,48,872,67,27
920.98,4.53,17.5,2.7,150,0,50,883,68,27
919.86,4.53,17.4,2.6,154,0,52,893,68,27
918.51,4.47,17.2,2.6,157,0,54,906,69,27.1
917.39,4.42,17.1,2.6,160,0,56,916,69,27.1
916.27,4.41,17,2.7,161,0,58,927,69,27.1
915.38,4.39,17,2.7,161,0,60,935,70,27.1
914.26,4.36,16.9,2.7,159,0,62,946,69,27.1
913.14,4.36,16.8,2.7,156,0,64,956,70,27.1
912.25,4.36,16.7,2.7,152,0,66,964,70,27.2
911.59,4.33,16.6,2.7,147,0,68,971,70,27.2
910.47,4.31,16.5,2.6,142,0,70,981,71,27.2
909.14,4.31,16.5,2.5,136,0,72,993,71,27.2
908.03,4.3,16.3,2.5,130,0,74,1004,71,27.2
907.15,4.3,16.2,2.5,125,0,76,1012,71,27.2
906.26,4.3,16.2,2.5,120,0,78,1020,71,27.3
905.38,4.32,16.2,2.6,116,0,80,1029,71,27.3
904.49,4.35,16.1,2.7,114,0,82,1037,72,27.3
903.61,4.46,16.1,2.8,112,0,84,1045,71,27.3
902.51,4.46,16,2.9,110,0,86,1056,71,27.3
901.63,4.5,15.9,3,110,0,88,1064,71,27.3
900.75,4.53,15.8,3.2,110,0,90,1072,71,27.4
899.65,4.53,15.7,3.4,110,0,92,1083,72,27.4
898.55,4.54,15.6,3.5,110,0,94,1093,72,27.4
897.45,4.57,15.5,3.6,110,0,96,1104,72,27.4
