
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-10-11,AEMET,1.0,Julia  Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a19134

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-10-10,10:27:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 159
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
240.3,0,278.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.020,27.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
950.91,2.060,17.2,0.7,107,2,0,631,52,25.2
949.75,2.070,15.7,0.7,140,2,2,642,51,25.2
948.13,2.140,15.4,0.7,140,0,4,656,53,25.2
946.51,2.190,15.1,0.7,139,0,6,671,55,25.3
944.90,2.200,14.8,0.7,137,0,8,685,56,25.3
943.51,2.200,14.5,0.7,135,2,10,697,56,25.3
942.13,2.200,14.4,0.6,132,0,12,709,57,25.3
940.75,2.220,14.2,0.5,126,0,14,722,58,25.3
939.38,2.230,14.1,0.0,0,0,16,735,58,25.3
937.77,2.240,14.0,0.0,0,0,18,749,59,25.4
936.40,2.250,13.9,0.0,0,0,20,761,60,25.4
935.03,2.280,13.9,0.0,0,0,22,773,61,25.4
933.66,2.290,13.8,0.5,360,0,24,786,62,25.4
932.52,2.290,13.6,0.6,20,0,26,797,63,25.4
931.38,2.280,13.4,0.8,16,0,28,807,63,25.4
930.47,2.270,13.3,0.9,14,0,30,815,64,25.4
929.34,2.250,13.2,1.1,13,0,32,826,64,25.5
927.98,2.240,13.2,1.2,13,0,34,837,64,25.5
926.85,2.230,13.1,1.3,12,0,36,848,65,25.5
925.49,2.230,13.0,1.4,12,0,38,860,65,25.5
925.00,2.230,13.0,1.4,12,3,39,864,65,25.5
924.13,2.220,12.9,1.5,11,0,40,872,66,25.5
923.01,2.200,12.8,1.6,10,0,42,883,66,25.5
921.43,2.170,12.7,1.7,8,0,44,896,66,25.6
920.08,2.160,12.5,1.7,5,0,46,908,67,25.6
918.96,2.120,12.4,1.7,1,0,48,919,67,25.6
918.06,2.090,12.3,1.7,357,0,50,928,67,25.6
916.94,2.090,12.3,1.7,352,0,52,938,68,25.6
915.82,2.090,12.2,1.7,346,0,54,949,68,25.7
914.71,2.090,12.2,1.7,340,0,56,958,67,25.7
913.59,2.090,12.0,1.7,333,0,58,968,67,25.7
912.48,2.080,11.9,1.7,326,2,60,979,68,25.7
911.36,2.080,11.9,1.6,320,0,62,990,68,25.7
