
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-11-02,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a19133

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-10-31,11:05:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 128
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
233.4,0,267.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.049,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
947.9,3.14,14,3.5,118,2,0,631,30,26.6
946.74,3.16,14.7,3.5,76,0,2,641,34,26.6
945.59,3.18,14.8,3.9,61,0,4,652,35,26.6
944.66,3.16,15,4.2,55,2,6,660,36,26.6
943.74,3.16,14.9,4.6,53,0,8,668,36,26.7
942.82,3.14,14.8,5,53,0,10,676,36,26.7
941.44,3.09,14.6,5.2,55,0,12,689,36,26.7
940.06,3.09,14.4,5.4,55,0,14,701,36,26.7
938.69,3.08,14.1,5.6,55,0,16,713,36,26.7
937.31,3.08,13.9,5.8,56,0,18,726,37,26.7
935.94,3.08,14.2,6,56,0,20,738,37,26.7
934.57,3.07,14.1,6.1,57,0,22,751,38,26.7
932.98,3.03,13.8,6.3,58,0,24,765,38,26.7
931.38,3.03,13.5,6.5,60,0,26,779,38,26.7
929.79,3.02,13.2,6.7,61,0,28,794,38,26.7
928.2,3.02,12.9,6.9,62,0,30,808,38,26.7
926.62,3.03,12.7,7.1,63,0,32,822,39,26.7
925.04,3.04,12.6,7.3,63,0,34,837,40,26.7
923.23,3.07,12.5,7.5,63,0,36,853,40,26.7
921.88,3.07,12.4,7.7,63,0,38,865,40,26.7
920.53,3.12,12.3,7.9,62,0,40,878,40,26.8
918.96,3.15,12.1,8.1,61,0,42,892,41,26.8
917.39,3.15,12,8.3,60,0,44,906,41,26.8
915.82,3.15,11.9,8.4,58,0,46,921,42,26.8
914.26,3.15,11.7,8.5,57,0,48,935,42,26.8
912.7,3.15,11.6,8.6,56,0,50,949,42,26.8
911.36,3.1,11.3,8.7,55,0,52,961,42,26.8
909.81,3.09,11.2,8.7,54,0,54,976,43,26.8
908.25,3.09,11.1,8.7,53,0,56,990,44,26.8
906.7,3.09,10.8,8.6,53,0,58,1004,43,26.8
905.15,3.09,10.6,8.6,53,0,60,1018,43,26.8
904.05,3.1,10.5,8.6,53,0,62,1029,44,26.8
902.95,3.18,10.3,8.6,53,0,64,1039,44,26.8
901.63,3.18,10.1,8.7,54,0,66,1051,44,26.8
900.09,3.19,10,8.8,54,0,68,1065,45,26.8
898.77,3.2,9.9,8.9,54,0,70,1077,45,26.8
897.67,3.2,9.9,9.1,54,0,72,1087,46,26.8
896.58,3.2,9.8,9.3,54,0,74,1097,45,26.8
895.26,3.23,9.6,9.4,54,0,76,1110,46,26.8
893.74,3.24,9.5,9.6,53,0,78,1124,46,26.8
892.21,3.25,9.3,9.7,53,0,80,1138,47,26.8
890.69,3.27,9.2,9.8,52,0,82,1152,47,26.8
889.17,3.28,9.1,9.9,51,0,84,1166,47,26.8
888.08,3.3,9,10,50,0,86,1176,48,26.8
886.56,3.31,8.8,10.1,49,0,88,1191,48,26.8
885.27,3.31,8.6,10.2,47,0,90,1203,49,26.8
883.75,3.3,8.5,10.3,46,0,92,1217,49,26.8
882.25,3.3,8.4,10.5,45,0,94,1231,49,26.8
880.74,3.26,8.2,10.7,44,0,96,1245,50,26.8
879.24,3.26,8.1,10.8,42,0,98,1259,50,26.8
877.73,3.25,8,10.9,42,0,100,1273,50,26.8
876.45,3.25,7.8,11,41,0,102,1285,51,26.8
875.38,3.26,8,11,40,0,104,1295,51,26.8
874.31,3.26,7.8,10.9,40,0,106,1305,52,26.8
873.25,3.27,7.6,10.7,40,0,108,1316,52,26.8
871.97,3.27,7.5,10.4,40,0,110,1328,52,26.8
870.48,3.27,7.3,10.1,40,0,112,1342,52,26.8
869.2,3.27,7.2,9.7,40,0,114,1354,52,26.8
867.93,3.27,7.1,9.3,40,0,116,1366,53,26.8
866.66,3.25,7,8.8,40,0,118,1378,52,26.8
865.18,3.25,6.8,8.4,39,0,120,1392,52,26.8
863.7,3.26,6.7,8.1,38,0,122,1406,53,26.8
862.44,3.25,6.7,7.8,36,0,124,1418,53,26.8
860.97,3.25,6.5,7.5,34,0,126,1432,54,26.8
859.5,3.24,6.3,7.4,32,0,128,1446,55,26.8
858.24,3.24,6.2,7.2,29,0,130,1458,55,26.8
856.98,3.23,6.1,7.1,26,0,132,1470,55,26.8
855.94,3.23,6,7.1,24,0,134,1480,55,26.8
854.89,3.22,5.9,7,22,0,136,1490,56,26.8
854.06,3.21,5.8,7.1,21,0,138,1498,56,26.8
852.81,3.21,5.7,7.1,20,0,140,1510,56,26.8
851.56,3.21,5.6,7.1,19,0,142,1522,57,26.8
850.52,3.2,5.5,7.2,19,0,144,1532,57,26.8
850,3.19,5.4,7.3,19,3,145,1537,58,26.8
849.48,3.19,5.4,7.3,19,0,146,1542,58,26.8
848.24,3.19,5.3,7.3,20,0,148,1554,58,26.8
847.21,3.18,5.3,7.4,20,0,150,1564,58,26.8
846.17,3.17,5.2,7.5,21,0,152,1574,58,26.8
844.73,3.17,5,7.6,21,0,154,1588,59,26.8
843.49,3.18,4.9,7.7,21,0,156,1600,60,26.8
842.46,3.17,4.8,7.7,21,0,158,1610,60,26.8
841.23,3.17,4.7,7.8,21,0,160,1622,60,26.8
840,3.17,4.6,7.8,20,0,162,1634,61,26.8
838.56,3.15,4.5,7.8,20,0,164,1648,61,26.8
836.93,3.14,4.4,7.8,19,0,166,1663,62,26.8
835.7,3.11,4.3,7.7,19,0,168,1675,62,26.8
834.48,3.09,4.2,7.7,19,0,170,1687,62,26.8
833.46,3.09,4.1,7.7,19,0,172,1697,62,26.8
832.24,3.09,4,7.8,19,0,174,1709,63,26.8
830.82,3.09,3.8,7.8,18,0,176,1723,63,26.8
829.6,3.09,3.7,7.9,18,0,178,1735,64,26.8
828.39,3.07,3.6,8,18,0,180,1747,63,26.8
827.18,3.07,3.4,8.2,17,0,182,1759,65,26.8
825.97,3.06,3.3,8.3,16,0,184,1771,65,26.8
824.96,3.05,3.3,8.5,16,0,186,1780,65,26.8
823.95,3.05,3.2,8.7,15,0,188,1790,65,26.8
822.95,3.04,3,8.9,15,0,190,1800,66,26.8
821.74,3.04,2.9,9.2,15,0,192,1812,66,26.8
820.74,3.03,2.8,9.4,15,0,194,1822,67,26.8
819.94,3.03,2.7,9.7,15,0,196,1830,67,26.8
818.94,3.03,2.6,9.9,16,0,198,1840,68,26.8
817.94,3.03,2.5,10.2,16,0,200,1850,67,26.8
816.94,3.04,2.5,10.5,17,0,202,1860,66,26.8
815.94,3.04,2.4,10.8,18,0,204,1869,65,26.8
814.95,3.05,2.3,11.1,19,0,206,1879,64,26.8
813.95,3.07,2.2,11.4,20,0,208,1889,64,26.8
813.16,3.08,2.1,11.7,21,0,210,1897,64,26.8
812.37,3.1,2,12,22,2,212,1905,64,26.8
811.38,3.1,2,12.2,24,0,214,1915,64,26.8
810.19,3.11,3.4,12.5,26,2,216,1927,46,26.8
809.2,3.2,3.3,12.7,27,0,218,1937,45,26.8
808.01,3.23,3.2,12.9,29,0,220,1948,45,26.8
807.03,3.26,3.2,13.1,31,0,222,1958,44,26.8
806.04,3.28,3.3,13.2,34,0,224,1968,43,26.8
805.26,3.35,3.2,13.4,35,0,226,1976,41,26.8
804.28,3.39,3.2,13.5,37,0,228,1986,37,26.8
803.29,3.43,3.3,13.6,39,0,230,1996,34,26.8
802.31,3.45,3.3,13.7,40,0,232,2006,34,26.8
801.53,3.45,3.2,13.7,41,0,234,2014,34,26.8
800.36,3.47,3.2,13.7,42,0,236,2026,33,26.8
799.19,3.48,3.2,13.7,43,0,238,2037,33,26.8
798.02,3.48,3.2,13.6,44,0,240,2049,32,26.8
797.04,3.49,3.1,13.5,44,0,242,2059,32,26.8
796.26,3.55,3.1,13.3,45,0,244,2067,32,26.8
795.49,3.57,3.2,13.2,45,2,246,2075,32,26.8
794.71,3.59,3,13.1,45,0,248,2083,32,26.8
793.94,3.6,3,13,45,0,250,2091,32,26.8
792.97,3.62,2.9,12.9,45,0,252,2101,32,26.8
791.81,3.64,2.8,12.9,45,0,254,2113,32,26.8
790.84,3.64,2.7,12.8,44,0,256,2122,32,26.8
789.88,3.64,2.7,12.8,44,0,258,2132,32,26.8
789.1,3.65,2.6,12.7,43,0,260,2140,32,26.8
788.33,3.66,2.6,12.6,43,0,262,2148,32,26.8
787.37,3.67,2.5,12.5,42,0,264,2158,32,26.8
786.8,3.69,2.4,12.4,42,0,266,2164,32,26.8
786.03,3.69,2.4,12.3,42,0,268,2172,32,26.8
785.45,3.69,2.4,12.1,43,0,270,2178,32,26.8
784.69,3.7,2.2,11.9,43,0,272,2186,32,26.9
784.11,3.7,2.3,11.7,44,0,274,2191,32,26.9
783.35,3.69,2.3,11.5,46,0,276,2199,32,26.9
782.39,3.7,2.4,11.4,47,0,278,2209,32,26.9
781.63,3.71,2.4,11.2,49,0,280,2217,32,26.9
780.48,3.72,2.4,11.1,52,0,282,2229,31,26.9
779.34,3.72,2.5,11,54,0,284,2241,31,26.9
778.2,3.72,2.4,10.8,56,0,286,2253,31,26.9
776.87,3.71,2.2,10.7,57,0,288,2266,31,26.9
775.92,3.71,2.5,10.6,59,0,290,2276,30,26.9
775.17,3.71,2.6,10.6,60,0,292,2284,29,26.9
774.22,3.72,2.6,10.5,61,0,294,2294,29,26.9
773.28,3.73,2.5,10.4,61,0,296,2304,29,26.9
772.14,3.73,2.5,10.4,61,0,298,2316,29,26.9
771.01,3.73,2.5,10.4,61,0,300,2328,29,26.9
770.07,3.73,2.4,10.3,61,0,302,2337,29,26.9
769.32,3.74,2.4,10.3,61,0,304,2345,29,26.9
768.57,3.74,2.3,10.3,61,0,306,2353,30,26.9
767.82,3.74,2.3,10.3,62,0,308,2361,30,26.9
767.07,3.74,2.2,10.3,62,0,310,2369,30,26.9
766.32,3.74,2.2,10.2,63,0,312,2377,30,26.8
765.57,3.74,2.2,10.1,63,0,314,2385,30,26.8
764.83,3.72,2.1,10,64,0,316,2393,30,26.8
764.08,3.72,2.1,9.8,64,0,318,2400,30,26.8
763.33,3.72,2,9.6,64,0,320,2408,30,26.8
762.59,3.72,1.9,9.4,64,0,322,2416,30,26.8
762.03,3.72,1.9,9.1,63,0,324,2422,30,26.8
761.29,3.72,1.8,8.9,62,0,326,2430,30,26.8
760.54,3.72,1.7,8.7,61,0,328,2438,30,26.8
759.62,3.72,1.7,8.5,59,0,330,2448,30,26.8
758.87,3.72,1.6,8.4,57,0,332,2456,30,26.9
758.13,3.72,1.5,8.4,54,0,334,2463,30,26.9
757.39,3.71,1.5,8.5,51,0,336,2471,30,26.8
756.47,3.71,1.4,8.6,49,0,338,2481,30,26.8
755.73,3.72,1.3,8.8,47,0,340,2489,30,26.9
754.99,3.72,1.2,9,45,0,342,2497,30,26.9
754.07,3.72,1.1,9.3,43,0,344,2507,30,26.9
753.34,3.72,1,9.7,43,0,346,2514,30,26.9
752.6,3.72,0.9,10,43,0,348,2522,30,26.9
751.68,3.72,0.9,10.3,43,0,350,2532,31,26.9
750.95,3.72,0.8,10.5,44,0,352,2540,31,26.8
750.22,3.72,0.8,10.8,45,0,354,2548,32,26.8
749.3,3.72,0.8,10.9,46,0,356,2558,32,26.8
748.57,3.71,0.8,11.1,48,0,358,2565,32,26.8
747.66,3.71,0.8,11.2,50,0,360,2575,32,26.8
746.93,3.71,0.7,11.2,51,0,362,2583,31,26.9
746.2,3.71,0.6,11.2,52,0,364,2591,30,26.9
745.29,3.7,0.6,11.2,53,0,366,2601,30,26.9
744.38,3.7,0.5,11.2,54,0,368,2610,30,26.9
743.11,3.7,0.4,11.1,54,0,370,2624,30,26.9
741.84,3.7,0.3,11,54,0,372,2638,31,26.9
740.57,3.7,0.2,10.9,53,0,374,2652,31,26.9
739.49,3.7,0.1,10.9,53,0,376,2663,32,26.9
738.59,3.7,0,10.8,52,0,378,2673,31,26.9
737.68,3.7,-0.1,10.8,52,2,380,2683,31,26.9
736.78,3.7,-0.1,10.8,51,0,382,2693,31,26.9
735.89,3.7,-0.1,10.8,51,0,384,2702,31,27
734.99,3.69,-0.1,10.8,51,0,386,2712,31,27
734.09,3.68,-0.1,10.8,50,0,388,2722,32,27
733.02,3.68,0,10.9,50,0,390,2734,32,27
732.12,3.68,0,10.9,50,0,392,2743,32,27
731.05,3.69,0,10.9,50,0,394,2755,30,27
730.16,3.69,0.1,10.9,50,0,396,2765,29,27
729.27,3.72,0.2,11,50,0,398,2775,28,27
728.2,3.73,0.3,11,50,0,400,2786,29,27
