
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2007-12-13,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20168

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-12-12,11:02:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 215
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252.2,0,277.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.023,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
954.63,0.91,6.4,0,250,2,0,631,42,20.9
953.47,0.94,5.1,0.6,256,2,2,641,41,20.9
952.07,0.94,4.9,0.9,286,0,4,653,44,20.9
950.22,0.94,4.7,1,299,0,6,669,45,20.9
948.59,0.94,4.5,1.1,304,0,8,683,46,20.9
947.21,0.94,4.4,1.1,308,0,10,695,46,20.9
945.82,0.94,4.3,1.1,315,0,12,707,47,21
944.43,0.95,4.2,1.1,322,0,14,719,48,21
943.05,0.97,4.1,1.1,332,0,16,730,48,21
941.44,0.97,4,1.1,340,0,18,744,48,21
940.06,0.99,3.9,1.2,347,2,20,756,47,21
938.92,1.04,4.2,1.2,352,0,22,766,44,21
937.54,1.17,4.6,1.2,356,0,24,778,35,21.1
936.17,1.31,4.8,1.2,358,0,26,790,34,21.1
934.57,1.45,4.9,1.2,358,0,28,804,32,21.1
933.2,1.6,5.3,1.2,355,0,30,816,29,21.1
932.06,1.79,5.6,1.2,351,0,32,826,27,21.1
931.16,1.92,5.7,1.2,345,0,34,834,26,21.1
930.02,2.07,5.7,1.2,337,0,36,844,25,21.2
928.66,2.12,5.7,1.2,327,0,38,856,28,21.2
927.3,2.22,5.7,1.3,319,0,40,868,30,21.2
925.94,2.28,5.6,1.4,313,0,42,880,31,21.2
925,2.33,5.6,1.5,308,3,44,888,39,21.2
924.81,2.33,5.6,1.5,308,0,44,890,41,21.2
923.68,2.35,5.6,1.6,304,0,46,900,43,21.2
922.33,2.37,5.7,1.8,302,0,48,912,44,21.3
921.21,2.39,5.8,2,302,0,50,922,44,21.3
919.86,2.42,5.7,2.1,303,0,52,934,43,21.3
918.51,2.44,5.7,2.2,305,0,54,946,42,21.3
917.39,2.45,5.7,2.3,307,0,56,956,41,21.3
916.05,2.47,5.6,2.2,311,0,58,968,41,21.3
914.48,2.48,5.6,2.2,317,0,60,981,40,21.4
912.92,2.52,5.7,2,326,0,62,995,32,21.4
911.36,2.57,5.8,1.8,337,0,64,1009,17,21.4
910.03,2.67,5.9,1.7,348,0,66,1021,17,21.4
908.92,2.68,5.7,1.7,6,0,68,1031,17,21.4
907.81,2.76,5.6,1.7,25,0,70,1041,18,21.4
906.7,2.82,5.6,1.8,38,0,72,1051,17,21.5
905.6,2.93,5.7,2,48,0,74,1061,15,21.5
904.49,3.01,5.9,2.3,58,0,76,1071,14,21.5
903.61,3.04,6,2.7,66,0,78,1079,13,21.5
902.73,3.11,6,2.9,70,0,80,1087,12,21.5
901.63,3.18,6.1,3.1,72,0,82,1097,12,21.5
900.31,3.27,6.2,3.3,72,0,84,1109,11,21.6
898.99,3.33,6.2,3.5,71,0,86,1121,10,21.6
897.45,3.37,6.1,3.6,69,0,88,1135,10,21.6
896.14,3.4,6,3.7,66,0,90,1147,10,21.6
894.83,3.47,6,3.7,63,0,92,1159,10,21.6
893.74,3.49,5.8,3.8,60,0,94,1169,10,21.6
892.65,3.53,5.7,3.9,57,0,96,1179,10,21.6
891.34,3.57,5.6,4,54,2,98,1191,10,21.7
889.82,3.58,5.5,4.1,51,0,100,1205,10,21.7
888.51,3.59,5.5,4.2,49,0,102,1217,10,21.7
887.43,3.59,5.5,4.4,47,0,104,1227,9,21.7
886.56,3.63,5.6,4.5,46,0,106,1235,9,21.7
885.7,3.68,5.5,4.6,45,0,108,1243,9,21.8
884.62,3.7,5.4,4.7,44,0,110,1253,9,21.8
883.54,3.7,5.4,4.8,44,0,112,1263,9,21.8
882.46,3.71,5.4,4.8,45,0,114,1273,9,21.8
881.38,3.75,5.4,4.8,45,0,116,1283,9,21.8
880.31,3.77,5.2,4.8,46,0,118,1293,9,21.8
879.45,3.8,5.2,4.7,48,0,120,1301,9,21.8
