
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-01-08,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20170

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-12-26,10:44:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 244
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
304.6,0,332.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.023,27.9,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
953,2.04,8.4,3.4,60,2,0,631,65,21
951.84,2.06,8.5,3,68,2,2,641,64,21
950.45,2.07,8.4,3,70,0,4,653,65,21
949.06,2.07,8.3,3.3,70,0,6,665,65,21.1
947.9,2.08,8.2,3.5,69,0,8,675,66,21.1
946.74,2.09,8.1,3.8,67,0,10,685,66,21.1
945.82,2.09,8.1,3.9,64,0,12,694,66,21.1
944.66,2.1,8,4.1,62,0,14,704,67,21.1
943.51,2.1,7.9,4.2,60,0,16,714,67,21.1
942.13,2.1,7.8,4.4,59,0,18,726,68,21.1
940.98,2.1,7.7,4.6,58,0,20,736,68,21.1
939.83,2.09,7.6,4.8,57,0,22,746,68,21.1
938.69,2.08,7.6,5,57,0,24,756,69,21.1
937.54,2.06,7.5,5.2,57,0,26,766,69,21.1
936.17,2.06,7.4,5.4,57,0,28,778,69,21.1
935.03,2.06,7.2,5.7,57,0,30,788,68,21.2
933.66,2.07,7.1,6,58,0,32,800,68,21.2
932.29,2.09,7,6.2,59,0,34,812,68,21.2
930.93,2.13,6.9,6.5,60,0,36,824,68,21.2
929.34,2.15,6.8,6.8,60,0,38,838,68,21.2
927.98,2.18,6.7,7.1,61,0,40,850,68,21.2
926.39,2.2,6.5,7.5,61,0,42,864,69,21.2
925,2.22,6.4,7.8,61,3,44,876,69,21.3
924.81,2.22,6.4,7.8,61,0,44,878,69,21.3
923.46,2.23,6.3,8.1,61,0,46,890,69,21.3
921.88,2.25,6.3,8.5,61,0,48,904,68,21.3
920.31,2.26,6.1,8.8,61,0,50,919,69,21.3
918.74,2.28,6,9.1,60,0,52,933,70,21.3
917.17,2.29,5.9,9.3,60,0,54,947,69,21.3
915.82,2.34,5.8,9.6,59,0,56,959,69,21.3
914.26,2.37,5.9,9.8,58,0,58,973,68,21.3
912.92,2.42,5.8,10,58,0,60,985,67,21.3
911.36,2.45,5.7,10.1,57,0,62,998,67,21.3
909.81,2.48,5.6,10.3,57,0,64,1012,67,21.3
908.48,2.49,5.5,10.4,56,0,66,1024,67,21.3
907.15,2.53,5.4,10.4,56,0,68,1036,67,21.3
906.04,2.58,5.3,10.5,56,0,70,1046,68,21.3
904.93,2.6,5.2,10.7,56,0,72,1056,68,21.4
903.39,2.62,5.1,10.8,55,0,74,1070,68,21.4
901.85,2.63,5,11,55,0,76,1084,68,21.4
