
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-01-14,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20173

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-01-09,10:34:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 251
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
239.9,0,266.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92.SGPW,,0.032,29.1,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.98,0.26,8.8,1.5,150,2,0,631,85,25.1
948.36,0.26,9,1.9,144,0,2,645,87,25.1
946.74,0.27,9.2,2,143,0,4,659,89,25.1
945.36,0.27,9.2,2.1,143,0,6,672,90,25.1
943.97,0.28,9.1,2.2,142,0,8,684,91,25.1
942.82,0.28,9,2.3,142,0,10,694,92,25.1
941.44,0.28,8.9,2.3,143,0,12,706,93,25.1
940.29,0.29,8.8,2.2,145,0,14,716,94,25.1
939.15,0.29,8.6,2.1,147,0,16,726,94,25.1
937.77,0.29,8.5,2,149,0,18,738,95,25.1
936.17,0.29,8.4,1.8,152,0,20,752,96,25.1
934.57,0.29,8.2,1.6,155,0,22,767,97,25.1
932.75,0.29,8.1,1.4,159,0,24,783,98,25.1
931.84,0.3,8.1,1.2,163,0,26,791,98,25.1
930.47,0.3,8.1,1,165,0,28,803,98,25.1
928.88,0.3,8,0.9,173,0,30,817,98,25.1
927.3,0.3,8,0.7,179,0,32,831,98,25.1
925.94,0.3,8,0.6,189,0,34,843,98,25.1
925,0.31,7.9,0.6,208,3,35,851,98,25.2
924.59,0.31,7.9,0.6,208,0,36,855,98,25.2
923.68,0.31,7.8,0.5,235,0,38,863,98,25.2
922.56,0.31,7.8,0.5,260,0,40,874,99,25.2
921.43,0.31,7.8,0.6,283,0,42,884,99,25.2
920.08,0.33,7.7,0.7,297,0,44,896,99,25.2
918.74,0.33,7.7,0.8,302,0,46,908,99,25.2
917.61,0.34,7.7,0.9,307,0,48,918,100,25.2
916.5,0.34,7.6,1.1,313,0,50,928,100,25.2
915.38,0.34,7.6,1.3,311,0,52,938,100,25.2
914.26,0.34,7.6,1.5,312,0,54,948,100,25.2
913.37,0.34,7.5,1.7,314,0,56,956,100,25.2
912.25,0.35,7.4,1.8,317,0,58,966,100,25.2
911.36,0.35,7.4,2,319,0,60,974,100,25.2
910.47,0.36,7.3,2.1,320,0,62,982,99,25.3
909.58,0.36,7.2,2.2,321,0,64,990,99,25.3
908.48,0.37,7.2,2.3,321,0,66,1001,99,25.3
907.37,0.37,7.2,2.3,319,0,68,1011,99,25.3
906.48,0.4,7.1,2.3,317,0,70,1019,99,25.3
905.38,0.41,7,2.2,314,0,72,1029,99,25.3
904.49,0.44,7,2.1,310,0,74,1037,99,25.3
903.61,0.47,6.9,2,306,0,76,1045,99,25.3
902.51,0.5,6.9,1.9,301,0,78,1055,98,25.3
901.41,0.55,6.9,1.8,297,0,80,1065,98,25.3
900.09,0.62,6.9,1.7,294,0,82,1077,98,25.3
898.99,0.74,6.9,1.6,291,0,84,1087,98,25.3
897.67,0.8,6.8,1.5,289,0,86,1099,98,25.3
896.58,0.88,6.8,1.5,288,0,88,1109,98,25.3
895.26,0.92,6.7,1.6,288,0,90,1121,98,25.3
893.74,0.98,6.6,1.7,288,0,92,1135,98,25.3
892.43,1.02,6.5,1.8,288,0,94,1147,98,25.3
891.12,1.08,6.4,2,288,0,96,1159,99,25.3
889.6,1.1,6.4,2.3,287,0,98,1173,99,25.3
888.08,1.16,6.3,2.6,287,2,100,1187,99,25.3
886.78,1.2,6.3,2.9,285,0,102,1199,99,25.3
885.48,1.22,6.4,3.2,284,0,104,1211,100,25.3
884.4,1.29,6.5,3.4,284,0,106,1221,100,25.3
883.32,1.32,6.5,3.5,283,0,108,1231,100,25.3
882.25,1.38,6.5,3.6,283,0,110,1242,100,25.3
881.17,1.39,6.6,3.7,284,0,112,1252,99,25.3
880.31,1.43,6.7,3.8,285,0,114,1260,98,25.3
879.02,1.49,6.7,3.7,287,0,116,1272,98,25.3
877.95,1.52,6.7,3.8,289,0,118,1282,98,25.3
877.09,1.59,6.7,3.9,292,0,120,1290,98,25.3
876.02,1.62,6.7,4,294,0,122,1300,98,25.3
874.95,1.66,6.8,4.1,295,0,124,1310,96,25.3
873.89,1.69,6.9,4.3,296,0,126,1320,94,25.3
873.03,1.74,7.1,4.6,297,0,128,1328,93,25.3
872.18,1.81,7.2,4.8,297,0,130,1336,92,25.3
871.33,1.85,7.3,5,296,0,132,1344,91,25.3
870.48,1.88,7.3,5.1,295,0,134,1352,91,25.3
869.63,1.92,7.4,5.2,295,0,136,1360,90,25.3
868.78,1.97,7.6,5.2,295,0,138,1368,90,25.4
867.93,2.02,7.8,5.1,295,0,140,1376,89,25.4
867.08,2.07,7.8,5,296,0,142,1384,88,25.4
866.24,2.14,7.7,4.7,298,0,144,1392,87,25.4
865.39,2.17,7.7,4.4,300,0,146,1400,87,25.4
864.55,2.2,7.7,4.1,303,0,148,1408,87,25.4
863.49,2.24,7.7,3.7,307,0,150,1419,86,25.4
862.23,2.28,7.9,3.4,311,2,152,1431,85,25.4
861.18,2.32,7.8,3,315,0,154,1441,84,25.4
860.13,2.34,7.8,2.7,320,0,156,1451,84,25.4
859.29,2.37,7.7,2.5,324,0,158,1459,84,25.4
858.24,2.42,7.6,2.2,327,0,160,1469,84,25.4
857.19,2.44,7.5,2,331,0,162,1479,84,25.4
855.94,2.47,7.4,1.9,334,0,164,1491,85,25.4
854.68,2.47,7.2,1.8,337,0,166,1503,85,25.4
853.43,2.47,7.1,1.7,339,0,168,1515,86,25.4
852.6,2.49,7.1,1.7,341,0,170,1523,86,25.4
851.98,2.52,7,1.6,342,0,172,1529,85,25.4
851.14,2.55,6.9,1.6,341,0,174,1537,85,25.4
850.31,2.55,6.8,1.7,340,0,176,1545,85,25.4
850,2.58,6.8,1.7,340,3,177,1548,85,25.4
849.48,2.58,6.8,1.7,337,0,178,1553,85,25.4
848.45,2.61,6.6,1.6,332,0,180,1563,86,25.5
847.21,2.62,6.5,1.6,326,0,182,1575,87,25.5
845.97,2.62,6.5,1.6,320,0,184,1588,87,25.5
844.73,2.63,6.3,1.7,310,0,186,1600,87,25.5
843.7,2.64,6.2,1.7,300,0,188,1610,88,25.5
842.67,2.64,6.2,1.8,293,0,190,1620,88,25.5
841.64,2.65,6.1,1.9,288,0,192,1630,88,25.5
841.02,2.66,6.1,2,284,0,194,1636,88,25.5
840.2,2.67,6,2.2,283,0,196,1644,88,25.5
839.38,2.67,6,2.4,284,0,198,1652,87,25.5
838.56,2.68,5.9,2.5,287,0,200,1660,87,25.5
837.74,2.68,5.8,2.7,292,0,202,1668,87,25.5
836.93,2.69,5.7,2.8,298,0,204,1676,88,25.6
836.11,2.7,5.6,2.9,305,0,206,1684,89,25.6
835.29,2.71,5.6,3,313,0,208,1692,89,25.6
834.48,2.71,5.5,3,320,0,210,1700,89,25.6
833.66,2.71,5.4,3.1,327,0,212,1708,90,25.6
832.85,2.71,5.4,3.1,333,0,214,1716,90,25.6
832.24,2.71,5.3,3.1,339,0,216,1722,90,25.6
831.43,2.71,5.3,3,344,0,218,1730,90,25.7
830.62,2.71,5.2,3,347,0,220,1738,91,25.7
829.81,2.72,5.1,2.9,348,0,222,1746,91,25.7
829.2,2.71,5.1,2.8,348,0,224,1752,91,25.7
828.39,2.72,5,2.8,347,0,226,1760,92,25.7
827.38,2.72,4.9,2.8,344,0,228,1770,92,25.7
826.77,2.72,4.9,2.8,339,0,230,1776,93,25.7
825.97,2.72,4.8,2.7,334,0,232,1784,93,25.7
825.16,2.73,4.8,2.8,327,0,234,1792,93,25.7
824.35,2.73,4.7,2.8,320,0,236,1799,93,25.7
823.55,2.74,4.6,2.8,315,0,238,1807,93,25.7
822.54,2.74,4.6,2.7,310,0,240,1817,93,25.7
821.74,2.74,4.5,2.6,306,0,242,1825,94,25.7
820.94,2.74,4.5,2.5,303,0,244,1833,94,25.8
820.14,2.74,4.4,2.3,303,0,246,1841,94,25.8
819.34,2.74,4.4,2.1,304,0,248,1849,94,25.8
818.34,2.74,4.4,1.9,306,0,250,1859,94,25.8
817.54,2.73,4.4,1.8,310,0,252,1867,93,25.8
816.74,2.72,4.3,1.7,316,0,254,1875,92,25.8
815.74,2.7,4.2,1.6,324,0,256,1885,93,25.8
814.75,2.72,4.1,1.6,333,0,258,1895,93,25.8
813.95,2.72,4.1,1.7,339,0,260,1903,93,25.8
813.16,2.72,4.1,1.8,343,0,262,1911,93,25.8
811.97,2.72,4.1,1.9,347,0,264,1923,93,25.8
811.18,2.73,4,2,350,0,266,1931,92,25.9
810.58,2.73,4,2,352,0,268,1937,92,25.9
809.79,2.73,4,2,353,0,270,1945,91,25.9
809,2.73,4.4,1.9,353,0,272,1953,89,25.9
808.21,2.74,4.5,1.8,355,0,274,1961,87,25.9
807.42,2.76,4.5,1.6,357,0,276,1969,86,25.9
806.83,2.76,4.6,1.4,4,0,278,1975,85,25.9
806.24,2.76,4.7,1.1,11,0,280,1981,83,25.9
805.45,2.76,4.7,0.9,17,0,282,1989,81,25.9
804.67,2.76,4.7,0.8,33,0,284,1997,80,26
803.88,2.76,4.8,0.6,53,0,286,2005,79,26
803.29,2.78,4.7,0.6,69,0,288,2010,78,26
802.51,2.78,4.7,0.5,77,0,290,2018,78,26
801.73,2.79,4.6,0.6,80,0,292,2026,78,26
801.14,2.79,4.5,0.6,81,0,294,2032,78,26
800.16,2.8,4.5,0.7,81,0,296,2042,78,26
799.19,2.8,4.4,0.8,74,0,298,2052,79,26
798.41,2.8,4.3,1,63,0,300,2060,79,26
797.82,2.81,4.3,1.1,55,0,302,2066,79,26
797.04,2.81,4.3,1.3,48,0,304,2074,78,26
796.26,2.82,4.3,1.5,42,0,306,2082,77,26
795.68,2.82,4.3,1.7,36,0,308,2088,77,26
794.91,2.84,4.2,1.8,31,0,310,2096,77,26
794.13,2.85,4.1,1.9,27,0,312,2104,77,26
793.35,2.85,4.1,2,22,0,314,2112,78,26
792.77,2.85,4,2.1,17,0,316,2118,78,26
792,2.86,3.9,2.1,11,0,318,2126,78,26
791.23,2.86,3.9,2.1,3,0,320,2134,78,26
790.45,2.86,3.8,2.1,355,0,322,2142,79,26
789.68,2.86,3.7,2,345,0,324,2150,78,26
788.91,2.87,3.6,2,335,0,326,2158,79,26
788.14,2.87,3.6,2,323,0,328,2166,79,26
787.18,2.87,3.5,2,311,0,330,2175,80,26
786.41,2.87,3.4,2,297,0,332,2183,80,26.1
785.64,2.87,3.3,2,285,0,334,2191,80,26.1
784.88,2.88,3.2,2.1,274,0,336,2199,80,26.1
784.11,2.88,3.1,2.1,264,0,338,2207,81,26.1
783.54,2.88,3.1,2.2,254,0,340,2213,82,26.1
782.77,2.88,3,2.3,247,0,342,2221,82,26.1
782.01,2.88,2.9,2.4,241,0,344,2229,83,26.1
781.24,2.87,2.9,2.5,237,0,346,2237,83,26.2
780.48,2.87,2.8,2.6,234,0,348,2245,83,26.2
779.72,2.87,2.7,2.7,234,0,350,2253,83,26.2
779.15,2.87,2.7,2.8,234,0,352,2259,83,26.2
778.39,2.86,2.6,2.8,237,0,354,2267,83,26.2
777.63,2.86,2.5,2.9,240,0,356,2274,84,26.2
776.87,2.86,2.5,3,245,0,358,2282,84,26.2
776.11,2.86,2.5,3.1,250,0,360,2290,84,26.2
775.35,2.86,2.4,3.1,256,0,362,2298,84,26.2
774.6,2.86,2.3,3.2,261,0,364,2306,84,26.2
773.84,2.86,2.2,3.3,267,0,366,2314,84,26.2
773.09,2.86,2.1,3.5,272,0,368,2322,85,26.2
772.33,2.86,2.1,3.6,277,0,370,2330,85,26.2
771.58,2.86,2,3.7,282,0,372,2338,85,26.2
