
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-02-14,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20177

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-02-13,10:49:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 228
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
283.4,0,357.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
953.7,2.32,7.5,0.7,360,2,0,631,57,22.6
952.54,2.36,6.1,1,11,2,2,641,56,22.6
951.14,2.39,6,1.1,17,0,4,653,57,22.6
949.98,2.39,5.8,1.3,19,0,6,663,57,22.6
948.59,2.39,5.7,1.4,21,0,8,675,58,22.7
947.21,2.41,5.5,1.5,23,0,10,687,58,22.7
946.05,2.44,5.4,1.6,28,2,12,697,58,22.7
944.66,2.44,5.3,1.7,32,0,14,709,59,22.7
943.51,2.45,5.2,1.9,36,0,16,719,59,22.7
942.36,2.49,5.2,2,41,0,18,729,59,22.8
940.98,2.52,5,2.2,46,0,20,741,59,22.8
939.6,2.54,4.9,2.5,51,0,22,753,59,22.8
938,2.56,4.9,2.7,56,0,24,767,59,22.8
937.31,2.59,4.9,3,59,0,26,773,58,22.8
936.17,2.62,4.8,3.4,63,0,28,783,58,22.8
934.8,2.67,4.6,3.7,65,0,30,795,59,22.9
933.43,2.7,4.5,4,67,0,32,807,59,22.9
932.06,2.7,4.4,4.3,69,0,34,818,59,22.9
930.25,2.71,4.2,4.5,70,0,36,834,60,22.9
928.66,2.71,4.1,4.7,70,0,38,848,61,22.9
927.3,2.73,4,4.9,70,0,40,860,61,22.9
925.94,2.73,3.9,5,71,0,42,872,62,22.9
924.59,2.75,3.8,5.1,72,0,44,884,62,22.9
923.01,2.77,3.7,5.2,73,0,46,898,62,23
921.43,2.81,3.6,5.3,75,0,48,912,62,23
920.08,2.83,3.5,5.4,77,0,50,924,63,23
918.51,2.84,3.4,5.5,79,0,52,937,63,23
917.17,2.84,3.3,5.7,81,0,54,949,63,23
915.6,2.85,3.1,5.8,83,0,56,963,64,23
914.26,2.85,3,6,84,0,58,975,65,23.1
913.14,2.85,2.8,6.2,86,0,60,985,65,23.1
