
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-02-20,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20046

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-02-20,10:35:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB  84
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
270.2,0,290.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.05,27,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.36,0.33,10.6,12,120,2,0,631,84,22.9
946.28,0.35,11,4.7,143,0,2,649,82,22.9
944.9,0.35,11,2.2,150,0,4,662,84,22.9
943.51,0.35,10.9,1.2,152,0,6,674,85,22.9
942.13,0.35,10.9,1.2,150,0,8,686,87,22.9
940.75,0.35,10.9,1.5,147,0,10,698,89,22.9
939.38,0.36,10.7,1.9,144,0,12,711,89,22.9
937.77,0.36,10.5,2,142,0,14,725,89,22.9
936.4,0.36,10.3,2,140,0,16,737,90,22.9
935.03,0.37,10.1,2.1,139,0,18,749,90,22.9
933.43,0.38,10,2.1,137,0,20,763,90,23
932.06,0.4,9.8,2,137,0,22,776,89,23
930.7,0.42,9.7,2,136,0,24,788,89,23
929.57,0.44,9.6,1.9,134,0,26,798,90,23
927.98,0.45,9.5,1.8,132,0,28,812,90,23
926.62,0.46,9.3,1.7,129,0,30,824,91,23
925.26,0.47,9.3,1.6,125,0,32,837,91,23
925,0.53,9.3,1.6,125,3,32,839,91,23
923.91,0.53,9.1,1.5,120,0,34,849,91,23
922.78,0.57,9,1.4,115,0,36,859,90,23
921.43,0.62,8.9,1.4,109,0,38,871,91,23
920.08,0.63,8.7,1.3,103,0,40,883,92,23
918.96,0.64,8.6,1.3,98,0,42,893,92,23
917.84,0.71,8.5,1.3,92,0,44,903,91,23.1
916.27,0.8,8.5,1.2,87,0,46,917,91,23.1
914.93,0.88,8.4,1.2,83,2,48,930,90,23.1
913.59,1.02,8.3,1.1,77,0,50,942,89,23.1
912.48,1.19,8.2,1,70,0,52,952,89,23.1
911.36,1.39,8.2,0.9,62,0,54,962,90,23.1
910.25,1.55,8.1,0.8,52,0,56,972,90,23.1
909.14,1.7,8,0.7,43,0,58,982,91,23.1
908.25,1.85,8,0.7,30,0,60,990,91,23.1
907.15,1.96,7.9,0.6,16,0,62,1000,91,23.1
906.04,2.08,7.8,0.6,6,0,64,1010,91,23.1
904.93,2.11,7.7,0.6,358,0,66,1020,92,23.2
904.05,2.21,7.7,0.6,351,0,68,1028,92,23.2
903.17,2.31,7.6,0.7,347,0,70,1037,92,23.2
902.07,2.41,7.5,0.7,345,2,72,1047,93,23.2
900.75,2.42,7.4,0.8,346,0,74,1059,94,23.2
899.21,2.42,7.3,0.8,348,0,76,1073,95,23.2
897.89,2.42,7.1,0.9,351,0,78,1085,96,23.2
896.8,2.42,7.1,1,356,0,80,1095,97,23.2
895.7,2.4,7.1,1.1,360,0,82,1105,97,23.2
894.39,2.35,7.1,1.2,3,0,84,1117,98,23.2
893.52,2.32,7,1.3,6,0,86,1125,98,23.2
892.43,2.28,7,1.3,7,0,88,1135,98,23.3
891.56,2.18,6.9,1.3,8,0,90,1143,98,23.3
890.69,2.15,6.9,1.3,7,0,92,1151,98,23.3
889.6,2.08,6.9,1.3,5,0,94,1161,99,23.3
888.73,2.05,6.8,1.3,2,0,96,1169,98,23.3
887.43,2.01,6.8,1.2,357,0,98,1181,98,23.3
886.13,1.93,6.7,1.2,351,0,100,1193,99,23.3
885.05,1.91,6.6,1.2,345,0,102,1203,99,23.3
883.97,1.85,6.6,1.2,336,0,104,1214,99,23.3
882.89,1.84,6.6,1.2,327,0,106,1224,99,23.3
882.03,1.83,6.6,1.3,321,0,108,1232,99,23.3
880.95,1.78,6.5,1.4,315,0,110,1242,99,23.3
879.88,1.75,6.4,1.5,309,0,112,1252,99,23.4
878.81,1.73,6.4,1.5,305,0,114,1262,99,23.4
877.73,1.72,6.3,1.6,301,0,116,1272,99,23.4
876.45,1.67,6.3,1.6,299,2,118,1284,99,23.4
875.38,1.67,6.2,1.6,295,0,120,1294,99,23.4
874.31,1.67,6.2,1.6,290,0,122,1304,99,23.4
873.25,1.67,6.1,1.5,284,0,124,1314,99,23.4
872.18,1.67,6,1.4,279,0,126,1324,99,23.4
871.12,1.68,5.9,1.4,271,0,128,1334,98,23.4
869.84,1.69,5.8,1.3,263,0,130,1346,98,23.4
868.36,1.7,5.7,1.3,257,0,132,1360,98,23.4
867.3,1.71,5.7,1.3,253,0,134,1370,98,23.4
866.24,1.71,5.7,1.3,251,0,136,1380,98,23.4
865.39,1.76,5.7,1.4,251,0,138,1388,98,23.4
864.34,1.78,5.5,1.4,252,0,140,1398,98,23.4
863.07,1.8,5.4,1.4,256,0,142,1410,97,23.4
862.02,1.81,5.4,1.4,262,0,144,1420,97,23.4
860.97,1.84,5.3,1.5,268,0,146,1430,98,23.4
859.92,1.9,5.3,1.5,276,0,148,1440,97,23.4
858.87,1.92,5.2,1.4,284,2,150,1450,97,23.5
858.03,2.01,5.7,1.4,291,0,152,1458,95,23.5
856.98,2.14,5.8,1.4,298,0,154,1468,92,23.5
855.73,2.27,5.8,1.3,305,0,156,1480,90,23.5
854.68,2.42,5.8,1.2,313,0,158,1490,90,23.5
853.64,2.53,5.9,1.1,322,0,160,1500,89,23.5
852.81,2.64,6,1,330,0,162,1508,88,23.5
851.98,2.74,6,0.8,341,0,164,1516,87,23.5
850.94,2.88,5.9,0.7,351,0,166,1526,86,23.5
850,2.93,5.9,0.7,356,3,168,1535,85,23.5
849.69,2.93,5.9,0.7,356,0,168,1538,85,23.5
848.86,2.99,5.9,0.6,358,0,170,1546,85,23.5
848.03,3.11,5.9,0.6,357,0,172,1554,85,23.6
847.21,3.16,5.9,0.6,354,0,174,1562,85,23.6
846.17,3.24,5.9,0.6,348,0,176,1572,84,23.6
845.14,3.28,5.8,0.7,335,0,178,1582,83,23.6
844.11,3.3,5.8,0.8,323,0,180,1592,83,23.6
843.28,3.38,5.8,0.9,317,0,182,1600,75,23.6
842.26,3.42,5.8,1.1,310,0,184,1610,74,23.6
841.43,3.46,5.8,1.3,305,0,186,1618,73,23.6
840.2,3.52,5.7,1.4,302,0,188,1630,72,23.6
838.97,3.53,5.7,1.5,301,0,190,1642,71,23.6
837.95,3.59,5.7,1.6,300,0,192,1652,69,23.6
836.72,3.6,5.7,1.7,300,0,194,1664,66,23.6
835.5,3.61,5.6,1.8,300,0,196,1676,66,23.6
834.07,3.65,5.5,1.9,300,0,198,1690,66,23.6
832.85,3.67,5.4,2,300,0,200,1702,66,23.6
831.63,3.68,5.3,2.1,301,0,202,1714,66,23.6
830.01,3.69,5.2,2.2,302,2,204,1730,66,23.6
829,3.71,5.1,2.3,303,0,206,1740,66,23.6
827.98,3.72,5,2.3,304,0,208,1750,67,23.6
827.18,3.76,4.9,2.4,304,0,210,1758,66,23.6
826.17,3.79,4.8,2.4,304,0,212,1768,66,23.6
825.16,3.82,4.7,2.5,304,0,214,1778,66,23.6
824.15,3.83,4.6,2.5,304,0,216,1788,66,23.7
822.75,3.83,4.5,2.5,303,0,218,1802,66,23.7
821.34,3.83,4.4,2.5,302,0,220,1815,66,23.7
820.14,3.86,4.3,2.5,300,0,222,1827,66,23.7
819.14,3.84,4.3,2.4,298,0,224,1837,66,23.7
817.94,3.83,4.1,2.4,295,0,226,1849,66,23.7
816.54,3.83,4,2.4,292,0,228,1863,66,23.7
815.74,3.83,3.9,2.4,289,0,230,1871,66,23.7
814.75,3.83,3.8,2.4,286,0,232,1881,66,23.8
813.76,3.86,3.8,2.4,284,0,234,1891,66,23.8
812.56,3.87,3.7,2.4,281,0,236,1903,66,23.8
811.18,3.87,3.6,2.4,279,0,238,1917,66,23.8
809.79,3.87,3.4,2.4,276,0,240,1931,66,23.8
808.61,3.86,3.3,2.3,274,0,242,1942,66,23.8
807.42,3.84,3.2,2.3,272,0,244,1954,66,23.8
806.44,3.84,3.1,2.2,270,0,246,1964,66,23.8
805.45,3.84,3,2.2,268,0,248,1974,67,23.8
804.47,3.84,3,2.3,265,0,250,1984,67,23.8
803.29,3.83,2.8,2.3,263,0,252,1996,67,23.8
801.92,3.83,2.7,2.4,261,0,254,2010,67,23.8
800.75,3.82,2.6,2.5,259,0,256,2022,68,23.8
799.58,3.81,2.5,2.6,257,0,258,2033,68,23.8
798.6,3.82,2.3,2.8,255,0,260,2043,69,23.8
797.63,3.82,2.2,2.9,255,0,262,2053,69,23.8
796.46,3.79,2.2,3,254,0,264,2065,69,23.8
795.29,3.78,2,3.1,255,0,266,2077,70,23.9
794.32,3.79,1.9,3.1,256,0,268,2087,70,23.9
793.35,3.78,1.8,3.2,258,0,270,2097,71,23.9
792.39,3.76,1.9,3.2,261,0,272,2106,70,23.9
791.23,3.75,1.7,3.2,265,0,274,2118,70,23.9
790.26,3.75,1.6,3.2,269,0,276,2128,70,23.9
789.49,3.75,1.6,3.2,274,0,278,2136,70,23.9
788.72,3.75,1.5,3.1,279,0,280,2144,70,23.9
787.76,3.78,1.4,3.2,282,0,282,2154,70,23.9
786.41,3.78,1.3,3.2,285,0,284,2167,71,23.9
785.26,3.78,1.1,3.1,287,0,286,2179,72,23.9
784.11,3.78,1,3.1,288,0,288,2191,72,23.9
782.96,3.77,0.9,3.1,287,0,290,2203,72,23.9
781.82,3.76,0.8,3,286,0,292,2215,73,23.9
780.67,3.75,0.6,3,283,0,294,2226,74,23.9
779.34,3.75,0.5,2.9,280,0,296,2240,75,23.9
778.2,3.75,0.4,2.8,275,0,298,2252,75,23.9
777.25,3.73,0.3,2.8,270,0,300,2262,75,23.9
776.11,3.72,0.2,2.7,265,0,302,2273,76,23.9
774.98,3.72,0.1,2.7,258,0,304,2285,77,23.9
773.84,3.72,0,2.7,252,0,306,2297,78,24
772.9,3.71,0,2.7,247,0,308,2307,78,24
771.95,3.7,-0.1,2.8,243,0,310,2316,78,24
771.2,3.69,-0.2,2.9,239,0,312,2324,78,24
770.45,3.69,-0.3,2.9,236,0,314,2332,78,24
769.7,3.69,-0.3,2.9,233,0,316,2340,77,24
768.95,3.69,-0.5,3,232,0,318,2348,77,24
768.01,3.69,-0.5,3,231,0,320,2357,77,24
767.07,3.69,-0.6,3,231,0,322,2367,77,24
765.95,3.69,-0.7,3,231,0,324,2379,78,24
764.83,3.68,-0.8,3,231,0,326,2391,79,24
763.89,3.67,-0.9,3.1,231,0,328,2400,80,24
763.15,3.67,-0.9,3.2,232,0,330,2408,80,24
762.22,3.66,-1.1,3.3,232,0,332,2418,80,24
761.1,3.66,-1.2,3.5,232,0,334,2430,81,24
759.99,3.66,-1.4,3.8,232,0,336,2441,82,24
758.69,3.66,-1.5,4,233,0,338,2455,82,24
757.39,3.65,-1.6,4.3,234,0,340,2469,83,24
756.28,3.65,-1.7,4.7,234,0,342,2480,84,24.1
755.18,3.65,-1.8,5.1,235,0,344,2492,85,24.1
754.07,3.65,-1.9,5.4,237,0,346,2504,85,24.1
752.78,3.62,-2,5.6,238,0,348,2517,84,24.1
751.5,3.62,-2.2,5.8,239,0,350,2531,86,24.1
750.4,3.62,-2.3,5.9,241,0,352,2542,86,24.1
749.48,3.62,-2.4,5.9,242,0,354,2552,86,24.1
748.75,3.61,-2.4,5.8,243,0,356,2560,87,24.1
747.66,3.62,-2.5,5.7,244,0,358,2572,88,24.1
746.74,3.62,-2.6,5.5,244,0,360,2581,88,24.1
745.83,3.61,-2.7,5.2,244,0,362,2591,88,24.1
744.56,3.61,-2.9,4.9,243,0,364,2604,89,24.1
743.47,3.61,-3,4.7,241,0,366,2616,90,24.1
742.38,3.6,-3.1,4.5,240,0,368,2628,90,24.1
741.48,3.59,-3.2,4.4,237,0,370,2637,91,24.1
740.57,3.58,-3.3,4.3,234,2,372,2647,91,24.1
739.67,3.57,-3.3,4.2,232,0,374,2657,90,24.1
738.77,3.57,-3.3,4.2,230,0,376,2666,90,24.1
738.04,3.57,-3.4,4.2,229,0,378,2674,89,24.1
737.14,3.57,-3.4,4.1,229,0,380,2684,89,24.1
736.24,3.55,-3.3,4,230,0,382,2693,88,24.2
735.17,3.57,-3.2,3.8,233,0,384,2705,85,24.2
734.27,3.57,-3.1,3.7,237,0,386,2715,84,24.2
733.55,3.57,-3,3.4,242,0,388,2722,82,24.2
732.66,3.56,-2.8,3.2,248,0,390,2732,80,24.2
731.94,3.56,-2.8,3,255,0,392,2740,78,24.2
731.05,3.56,-2.8,2.9,264,0,394,2750,77,24.2
730.16,3.55,-2.8,2.9,271,0,396,2759,77,24.2
729.45,3.55,-2.8,2.9,277,0,398,2767,77,24.2
728.73,3.55,-2.9,3,283,0,400,2775,77,24.2
728.02,3.55,-3,3.1,288,0,402,2782,77,24.2
727.13,3.55,-2.9,3.3,291,0,404,2792,76,24.2
726.25,3.55,-2.8,3.5,294,0,406,2802,74,24.2
725.54,3.53,-2.7,3.8,295,0,408,2810,73,24.2
724.65,3.53,-2.7,4.1,296,0,410,2819,74,24.2
723.95,3.54,-2.8,4.3,297,0,412,2827,73,24.2
723.24,3.54,-2.8,4.5,298,0,414,2835,71,24.2
722.36,3.54,-2.8,4.7,299,0,416,2844,70,24.2
721.48,3.54,-2.9,4.9,300,0,418,2854,70,24.2
720.6,3.54,-3,5,300,0,420,2864,70,24.2
719.72,3.54,-3,5.1,300,0,422,2873,69,24.2
719.01,3.54,-3,5.2,299,0,424,2881,69,24.2
718.14,3.54,-3,5.2,298,0,426,2891,70,24.2
717.09,3.54,-3.2,5.3,297,0,428,2902,70,24.2
715.86,3.54,-3.3,5.3,296,0,430,2916,71,24.2
714.81,3.52,-3.3,5.3,294,0,432,2928,72,24.2
713.94,3.49,-3.3,5.3,292,0,434,2937,71,24.2
713.24,3.47,-3.3,5.3,291,0,436,2945,71,24.2
712.37,3.47,-3.5,5.3,289,0,438,2955,70,24.3
711.68,3.48,-3.4,5.3,288,0,440,2962,69,24.3
710.98,3.48,-3.4,5.3,286,0,442,2970,68,24.3
710.12,3.48,-3.5,5.4,285,0,444,2980,68,24.3
709.25,3.48,-3.5,5.5,283,0,446,2989,68,24.3
708.39,3.48,-3.5,5.5,282,0,448,2999,68,24.3
707.69,3.48,-3.5,5.6,281,0,450,3007,67,24.3
707,3.48,-3.7,5.8,280,0,452,3014,66,24.3
705.97,3.48,-3.7,5.9,279,0,454,3026,66,24.3
705.11,3.47,-3.8,6,279,0,456,3036,65,24.3
704.25,3.47,-3.8,6.1,279,0,458,3045,64,24.3
703.56,3.47,-3.8,6.1,279,0,460,3053,63,24.3
702.7,3.5,-3.7,6,280,0,462,3063,62,24.3
701.67,3.51,-3.8,5.9,281,0,464,3074,62,24.3
700.47,3.51,-3.8,5.7,282,0,466,3088,62,24.3
700,3.51,-3.8,5.7,282,3,467,3093,62,24.3
699.45,3.51,-3.9,5.5,283,0,468,3099,62,24.3
698.43,3.51,-3.9,5.2,285,0,470,3111,63,24.3
697.57,3.5,-3.9,5,287,0,472,3120,62,24.3
696.55,3.49,-4,4.8,289,0,474,3132,62,24.3
695.36,3.49,-4,4.7,291,0,476,3146,61,24.3
694.18,3.49,-4.2,4.6,295,0,478,3159,61,24.3
