
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-03-07,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20050

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-03-06,10:48:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 204
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
356.8,0,405.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.98,3.11,8.6,5.7,50,2,0,631,37,22.6
948.83,3.16,8.2,4.4,35,0,2,641,36,22.6
947.21,3.19,7.7,4.4,28,0,4,655,36,22.6
945.82,3.19,7.3,5,25,0,6,667,36,22.6
944.43,3.21,6.9,5.9,23,0,8,679,36,22.6
943.05,3.21,6.5,6.9,22,2,10,691,36,22.6
941.67,3.32,6.2,7.7,22,0,12,703,35,22.6
940.29,3.36,6,8.4,21,0,14,715,36,22.6
938.92,3.4,5.8,9.1,20,0,16,727,36,22.6
937.77,3.45,5.6,9.6,19,0,18,737,37,22.6
936.63,3.45,5.5,10,18,0,20,747,37,22.6
935.26,3.46,5.3,10.2,18,2,22,759,38,22.6
933.89,3.47,5.2,10.4,18,0,24,771,38,22.6
932.98,3.58,5.2,10.4,18,0,26,779,39,22.6
931.84,3.58,5.1,10.3,18,0,28,789,39,22.6
930.7,3.6,5,10.1,19,0,30,799,39,22.6
929.79,3.61,4.9,9.9,19,0,32,807,40,22.6
928.88,3.61,4.8,9.5,19,0,34,815,39,22.6
927.75,3.65,4.7,9.2,19,0,36,825,39,22.6
926.62,3.66,4.7,9,18,0,38,835,39,22.6
925.49,3.69,4.6,8.9,17,0,40,845,39,22.6
924.59,3.69,4.5,8.8,16,0,42,853,39,22.6
923.91,3.71,4.4,8.7,15,0,44,859,39,22.5
923.01,3.72,4.4,8.7,13,0,46,867,40,22.5
921.88,3.73,4.3,8.8,11,0,48,877,40,22.5
920.76,3.73,4.2,8.9,10,0,50,886,41,22.5
919.63,3.73,4.1,9,9,0,52,896,42,22.5
918.51,3.73,4,9,8,0,54,906,42,22.5
917.17,3.73,3.9,9.1,8,0,56,918,41,22.5
916.05,3.75,3.8,9.1,8,0,58,928,41,22.5
914.93,3.76,3.7,9.1,8,0,60,938,41,22.5
914.04,3.77,3.6,9,9,0,62,946,42,22.5
913.37,3.78,3.6,9,9,0,64,952,41,22.5
912.7,3.8,3.6,9,10,0,66,958,40,22.5
911.81,3.81,3.4,9,12,0,68,966,40,22.5
911.14,3.83,3.4,9,12,0,70,972,40,22.5
910.25,3.83,3.3,9.1,13,0,72,980,41,22.5
909.58,3.83,3.3,9.1,13,0,74,986,41,22.5
908.92,3.85,3.2,9.2,14,0,76,991,42,22.4
908.25,3.85,3.1,9.3,14,0,78,997,42,22.4
907.59,3.88,3,9.4,14,0,80,1003,42,22.4
906.92,3.88,2.9,9.4,14,0,82,1009,42,22.4
906.26,3.88,2.9,9.4,14,0,84,1015,42,22.4
905.38,3.88,2.8,9.4,14,0,86,1023,42,22.4
904.71,3.87,2.8,9.4,14,0,88,1029,42,22.4
904.05,3.87,2.8,9.4,15,0,90,1035,42,22.4
903.17,3.87,2.6,9.4,16,0,92,1043,43,22.4
902.51,3.88,2.6,9.3,17,0,94,1049,43,22.4
901.85,3.88,2.5,9.3,18,0,96,1055,42,22.4
900.97,3.89,2.4,9.3,18,0,98,1063,42,22.4
900.31,3.88,2.4,9.2,19,0,100,1068,43,22.4
899.65,3.89,2.3,9.1,20,0,102,1074,43,22.4
898.77,3.9,2.2,9.1,21,0,104,1082,44,22.4
897.89,3.9,2.2,9,21,0,106,1090,44,22.4
896.8,3.9,2.1,8.9,22,0,108,1100,44,22.4
896.14,3.9,2,8.8,23,0,110,1106,44,22.4
895.26,3.9,1.9,8.8,24,0,112,1114,44,22.4
894.39,3.9,1.9,8.8,25,0,114,1122,44,22.4
893.74,3.88,1.9,8.8,26,0,116,1128,44,22.4
892.86,3.88,1.8,8.9,27,0,118,1135,43,22.4
891.99,3.88,1.7,9,29,0,120,1143,43,22.4
890.69,3.89,1.6,9.1,30,0,122,1155,43,22.4
889.6,3.89,1.5,9.3,31,0,124,1165,44,22.4
888.51,3.89,1.4,9.5,32,0,126,1175,44,22.4
887.21,3.9,1.4,9.7,33,0,128,1187,45,22.4
886.13,3.9,1.3,10,34,0,130,1196,47,22.4
885.27,3.88,1.3,10.2,35,0,132,1204,48,22.4
883.97,3.87,1.2,10.3,36,0,134,1216,49,22.4
882.89,3.84,1.1,10.5,36,0,136,1226,48,22.4
882.03,3.83,1,10.7,37,0,138,1234,47,22.4
881.6,3.83,0.9,10.8,37,0,140,1238,47,22.4
880.95,3.83,0.9,10.9,38,0,142,1244,46,22.4
880.52,3.83,0.8,10.9,38,0,144,1247,46,22.4
879.88,3.82,0.8,11,38,0,146,1253,47,22.4
879.45,3.82,0.8,11,38,0,148,1257,47,22.4
878.59,3.8,0.7,11,37,0,150,1265,47,22.4
877.73,3.8,0.6,11,37,0,152,1273,46,22.4
876.88,3.8,0.6,11,37,0,154,1281,45,22.4
876.02,3.8,0.5,11.1,37,0,156,1289,45,22.4
875.38,3.81,0.5,11.1,36,0,158,1294,45,22.4
874.95,3.82,0.4,11.2,36,0,160,1298,45,22.4
874.31,3.83,0.3,11.3,36,0,162,1304,45,22.3
873.67,3.83,0.2,11.5,35,0,164,1310,45,22.3
