
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-04-10,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20055

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-04-09,10:27:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 212
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
296.6,0,326

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.023,26.5,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
928.2,1.28,14.1,2.6,180,2,0,631,75,23.9
926.85,1.3,13.5,2.7,196,0,2,643,77,23.9
925.49,1.31,13.4,3.1,200,0,4,656,77,23.9
925,1.4,13.4,3.1,200,3,5,660,77,23.9
924.36,1.4,13.3,3.5,202,0,6,666,78,23.9
923.23,1.44,13.1,3.9,202,0,8,676,78,23.9
921.66,1.5,13,4.3,201,0,10,691,79,23.9
920.31,1.58,12.9,4.6,197,0,12,703,79,23.9
918.96,1.64,12.7,4.9,195,0,14,715,80,23.9
917.61,1.69,12.6,5.3,193,0,16,728,80,24
916.27,1.72,12.6,5.6,190,0,18,740,81,24
914.93,1.75,12.4,6,187,0,20,752,81,24
913.59,1.79,12.2,6.3,185,0,22,765,81,24
912.03,1.83,12,6.7,183,0,24,779,82,24
910.7,1.87,11.9,7,181,0,26,791,83,24
909.36,1.93,11.7,7.4,179,0,28,803,83,24
908.25,2.02,11.6,7.7,178,0,30,814,84,24
906.7,2.07,11.5,7.9,177,0,32,828,85,24
905.38,2.1,11.4,8.1,177,0,34,840,85,24
904.05,2.15,11.3,8.3,176,0,36,853,86,24
902.95,2.18,11.1,8.5,176,0,38,863,86,24
901.85,2.23,11,8.6,177,0,40,873,87,24.1
900.97,2.28,11,8.7,177,0,42,881,88,24.1
899.87,2.33,10.9,8.7,178,0,44,891,89,24.1
898.77,2.36,10.8,8.8,179,0,46,902,89,24.1
897.45,2.39,10.7,8.8,180,0,48,914,89,24.1
896.14,2.43,10.5,8.8,180,0,50,926,90,24.1
895.05,2.48,10.4,8.8,181,0,52,936,90,24.1
893.95,2.5,10.4,8.8,181,0,54,946,90,24.1
892.86,2.54,10.2,8.9,182,0,56,957,91,24.1
891.77,2.57,10.2,8.9,182,0,58,967,91,24.1
890.47,2.59,10.1,8.9,182,0,60,979,92,24.1
889.38,2.6,10,9,183,0,62,989,92,24.1
888.08,2.62,9.9,9,183,0,64,1001,93,24.1
887,2.63,9.8,9,183,0,66,1011,93,24.1
885.92,2.68,9.7,9.1,184,0,68,1022,93,24.1
884.83,2.72,9.6,9.1,184,0,70,1032,94,24.1
883.54,2.72,9.4,9,185,0,72,1044,95,24.1
882.03,2.74,9.3,9,186,0,74,1058,95,24.2
880.74,2.75,9.2,9,187,0,76,1070,95,24.2
879.24,2.78,9.2,8.9,187,0,78,1085,95,24.2
877.95,2.79,9,8.8,188,0,80,1097,96,24.2
876.66,2.8,8.9,8.7,189,0,82,1109,96,24.2
875.59,2.84,8.8,8.6,189,0,84,1119,97,24.2
874.31,2.85,8.7,8.4,190,0,86,1131,97,24.2
873.03,2.86,8.6,8.3,190,0,88,1143,98,24.2
871.75,2.86,8.5,8.2,190,0,90,1155,99,24.3
870.27,2.87,8.3,8.1,190,0,92,1170,100,24.3
868.78,2.88,8.2,8.1,190,0,94,1184,100,24.3
867.51,2.88,8.1,8,190,2,96,1196,100,24.3
866.03,2.88,8.1,7.8,190,0,98,1210,100,24.3
864.34,2.88,8,7.7,190,0,100,1226,100,24.3
862.65,2.89,7.9,7.6,191,0,102,1242,100,24.3
861.18,2.89,7.8,7.5,191,0,104,1256,100,24.3
859.92,2.89,7.8,7.4,192,0,106,1268,100,24.3
858.66,2.89,7.7,7.3,193,0,108,1281,100,24.3
857.4,2.9,7.7,7.2,194,0,110,1293,100,24.3
856.15,2.9,7.6,7.1,196,0,112,1305,100,24.3
854.89,2.9,7.5,7.1,197,0,114,1317,100,24.3
853.43,2.9,7.4,7.1,200,0,116,1331,100,24.3
852.18,2.9,7.4,7.1,202,0,118,1343,100,24.3
850.94,2.91,7.3,7.1,204,0,120,1355,100,24.3
849.9,2.9,7.3,7.1,206,0,122,1365,100,24.4
848.65,2.91,7.2,7.2,207,0,124,1377,100,24.4
847.41,2.91,7.2,7.2,209,0,126,1389,100,24.4
845.97,2.92,7.1,7.3,210,0,128,1403,100,24.4
844.73,2.91,7,7.3,210,0,130,1416,100,24.4
843.28,2.92,6.9,7.3,211,0,132,1430,100,24.4
841.64,2.92,6.8,7.3,211,0,134,1446,100,24.4
840,2.92,6.8,7.3,211,0,136,1462,100,24.4
838.36,2.92,6.7,7.3,210,0,138,1478,100,24.4
836.93,2.92,6.6,7.3,210,0,140,1492,100,24.4
835.5,2.9,6.6,7.4,210,0,142,1506,100,24.4
834.27,2.89,6.5,7.4,210,0,144,1518,100,24.4
832.85,2.89,6.4,7.4,210,0,146,1532,100,24.4
831.43,2.88,6.4,7.4,210,0,148,1546,100,24.4
830.01,2.86,6.3,7.3,210,0,150,1560,100,24.5
828.59,2.86,6.2,7.3,210,0,152,1574,100,24.5
827.38,2.84,6.2,7.3,209,0,154,1586,100,24.5
825.76,2.83,6.1,7.2,209,0,156,1602,100,24.5
824.35,2.83,6,7.2,209,0,158,1616,100,24.5
822.95,2.82,5.9,7.1,209,0,160,1630,100,24.5
821.54,2.82,5.9,7.1,209,0,162,1644,100,24.5
819.94,2.82,5.7,7,210,0,164,1660,100,24.5
818.34,2.82,5.7,6.9,211,0,166,1676,100,24.5
816.74,2.8,5.6,6.9,212,0,168,1692,100,24.5
815.15,2.8,5.5,6.8,213,0,170,1708,100,24.5
813.76,2.8,5.4,6.8,215,0,172,1722,100,24.5
812.56,2.8,5.4,6.9,216,0,174,1734,100,24.5
811.38,2.8,5.2,6.9,217,2,176,1746,100,24.6
810.19,2.87,5,7.1,217,0,178,1758,100,24.6
808.8,2.9,4.9,7.3,217,0,180,1772,100,24.6
807.23,2.93,4.9,7.5,217,0,182,1788,100,24.6
805.85,2.96,4.8,7.8,217,0,184,1802,100,24.6
804.67,2.99,4.8,8.1,217,0,186,1814,100,24.6
803.29,3,4.7,8.5,216,0,188,1828,100,24.6
801.92,3,4.6,8.8,215,0,190,1842,100,24.6
800.75,3.02,4.5,9,214,0,192,1854,100,24.6
799.77,3.04,4.5,9.2,213,0,194,1864,100,24.6
798.6,3.07,4.5,9.2,213,0,196,1876,100,24.6
797.43,3.08,4.4,9.2,212,0,198,1888,100,24.6
796.26,3.1,4.4,9.2,212,0,200,1900,100,24.6
795.29,3.12,4.3,9,211,0,202,1910,100,24.6
794.13,3.12,4.1,8.8,211,0,204,1922,100,24.6
792.97,3.15,4,8.5,210,0,206,1934,100,24.6
792,3.18,3.9,8.2,210,0,208,1944,100,24.7
791.03,3.2,3.8,7.9,210,0,210,1954,100,24.7
790.07,3.25,3.8,7.7,210,0,212,1964,100,24.7
789.1,3.26,3.7,7.4,209,0,214,1974,100,24.7
787.76,3.28,3.6,7.3,209,0,216,1987,100,24.7
786.8,3.34,3.5,7.1,209,0,218,1997,100,24.7
785.84,3.37,3.4,7.1,209,0,220,2007,100,24.7
784.69,3.39,3.2,7,209,0,222,2019,100,24.7
783.73,3.4,3.1,7,209,0,224,2029,100,24.7
782.39,3.42,3.1,6.9,209,0,226,2043,100,24.7
781.24,3.43,3.1,6.9,209,0,228,2055,100,24.7
779.91,3.45,3,6.8,209,0,230,2069,100,24.7
778.77,3.51,2.9,6.7,209,0,232,2081,100,24.8
777.82,3.52,2.7,6.7,210,0,234,2090,100,24.8
776.87,3.54,2.6,6.6,211,0,236,2100,100,24.8
775.92,3.56,2.6,6.5,212,0,238,2110,100,24.8
774.79,3.57,2.5,6.4,213,0,240,2122,100,24.8
773.84,3.6,2.5,6.3,215,0,242,2132,100,24.8
772.52,3.6,2.4,6.3,217,0,244,2146,100,24.8
771.01,3.62,2.3,6.4,219,0,246,2162,100,24.8
769.51,3.63,2.3,6.4,221,0,248,2177,100,24.8
768.19,3.64,2.3,6.5,223,0,250,2191,100,24.8
766.88,3.68,2.2,6.7,224,0,252,2205,100,24.8
765.39,3.69,2.1,6.9,225,2,254,2221,100,24.8
763.89,3.69,2,7.1,226,0,256,2237,100,24.9
762.4,3.69,1.9,7.4,227,0,258,2253,100,24.9
760.54,3.69,1.8,7.7,227,0,260,2272,100,24.9
758.87,3.68,1.7,8.1,228,0,262,2290,100,24.9
757.39,3.68,1.6,8.5,228,0,264,2306,100,24.9
755.92,3.68,1.6,9,228,0,266,2322,100,24.9
754.26,3.67,1.6,9.6,227,0,268,2339,100,24.9
752.6,3.67,1.5,10.2,227,0,270,2357,100,24.9
750.95,3.65,1.4,10.9,226,0,272,2375,100,24.9
748.94,3.63,1.2,11.6,226,0,274,2396,100,24.9
746.93,3.61,1.1,12.3,225,0,276,2418,100,24.9
745.11,3.6,1.1,13.1,224,0,278,2438,100,24.9
743.47,3.58,1,13.8,223,0,280,2455,100,24.9
742.02,3.58,0.9,14.4,222,0,282,2471,100,24.9
740.75,3.58,0.4,14.9,222,0,284,2485,100,24.9
739.49,3.58,0.3,15.2,221,0,286,2499,100,24.9
738.04,3.58,0.3,15.5,221,0,288,2514,100,25
736.96,3.58,0.2,15.6,221,0,290,2526,99,25
735.71,3.6,0.2,15.6,222,0,292,2540,100,25
734.45,3.59,0.1,15.6,222,0,294,2553,100,25
733.37,3.59,-0.1,15.4,224,0,296,2565,100,25
732.3,3.59,0,15.2,225,0,298,2577,100,25
731.05,3.6,0,14.9,226,0,300,2591,100,25
729.98,3.58,-0.1,14.7,228,0,302,2602,100,25
728.73,3.58,-0.2,14.4,230,0,304,2616,100,25
727.49,3.58,-0.2,14.3,232,0,306,2630,100,25.1
726.25,3.57,-0.3,14.1,233,0,308,2644,100,25.1
725.01,3.57,-0.3,14,234,0,310,2657,100,25.1
723.95,3.54,-0.3,13.8,235,0,312,2669,100,25.1
722.71,3.54,-0.3,13.8,236,0,314,2683,100,25.1
721.48,3.53,-0.4,13.7,237,0,316,2696,100,25.1
720.24,3.48,-0.4,13.7,237,0,318,2710,100,25.1
719.19,3.47,-0.5,13.7,238,0,320,2722,100,25.1
718.14,3.44,-0.6,13.7,238,0,322,2733,100,25.2
717.09,3.44,-0.6,13.7,238,0,324,2745,100,25.2
716.04,3.42,-0.6,13.8,239,2,326,2757,100,25.2
714.99,3.42,-0.7,13.9,240,0,328,2769,100,25.2
713.77,3.42,-0.8,14,240,0,330,2782,100,25.2
712.55,3.41,-0.9,14.1,241,0,332,2796,100,25.2
711.16,3.4,-1.1,14.3,242,0,334,2812,100,25.2
709.77,3.4,-1.2,14.5,243,0,336,2827,100,25.2
708.56,3.41,-1.3,14.8,244,0,338,2841,100,25.2
707.18,3.42,-1.6,15.1,245,0,340,2856,100,25.2
705.97,3.42,-1.8,15.5,245,0,342,2870,100,25.2
704.93,3.42,-2,15.9,246,0,344,2882,100,25.3
703.9,3.43,-2,16.4,246,0,346,2893,100,25.3
