
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-04-24,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20094

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-04-23,11:09:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 208
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
312.9,0,368

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.032,29,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.06,1.37,18.3,1,270,2,0,631,51,23.1
947.44,1.43,18.4,1.9,269,0,2,646,54,23.1
946.05,1.53,18.4,2.2,269,2,4,658,54,23.1
944.66,1.53,18.1,2.6,268,0,6,671,54,23.1
943.28,1.55,17.7,2.8,268,0,8,683,54,23.1
941.9,1.59,17.4,3,267,0,10,696,55,23.1
940.52,1.6,17.1,3.1,266,0,12,708,56,23.1
938.92,1.61,17,3.2,265,0,14,723,56,23.1
937.31,1.61,16.7,3.3,264,0,16,737,57,23.1
935.94,1.62,16.5,3.4,263,0,18,750,58,23.1
934.8,1.63,16.3,3.5,262,0,20,760,58,23.1
933.89,1.68,16.3,3.6,260,0,22,769,59,23.1
932.75,1.72,16.2,3.7,259,0,24,779,59,23.2
931.84,1.72,16.1,3.8,257,0,26,787,60,23.2
930.93,1.73,16,3.8,256,0,28,796,60,23.2
930.25,1.77,15.9,3.8,254,0,30,802,60,23.2
929.57,1.77,15.9,3.8,253,0,32,808,61,23.2
928.43,1.78,15.8,3.7,253,0,34,819,61,23.2
927.3,1.78,15.7,3.6,252,0,36,829,61,23.2
926.17,1.79,15.6,3.5,252,0,38,839,61,23.2
925.26,1.79,15.6,3.3,252,0,40,848,62,23.3
925,1.79,15.6,3.3,252,3,41,850,62,23.3
924.36,1.79,15.6,3.2,253,0,42,856,62,23.3
923.68,1.8,15.5,3.1,253,0,44,862,62,23.3
923.01,1.81,15.5,3.1,254,0,46,868,62,23.3
922.33,1.82,15.3,3.1,255,0,48,874,62,23.3
921.43,1.82,15.2,3,256,0,50,883,62,23.3
920.53,1.83,15.2,3.1,257,0,52,891,63,23.3
919.63,1.83,15.2,3.1,257,0,54,899,63,23.3
918.96,1.83,15.1,3.2,258,0,56,906,63,23.3
918.06,1.84,14.9,3.2,258,0,58,914,63,23.4
917.39,1.84,14.8,3.2,258,0,60,920,63,23.4
916.72,1.85,14.7,3.2,259,0,62,926,63,23.4
916.05,1.86,14.7,3.2,259,0,64,932,64,23.4
915.38,1.88,14.7,3.2,259,0,66,939,64,23.4
914.71,1.9,14.6,3.2,258,0,68,945,64,23.4
913.81,1.91,14.5,3.2,257,0,70,953,65,23.4
912.92,1.92,14.4,3.3,256,0,72,961,64,23.4
912.25,1.93,14.4,3.3,254,0,74,968,65,23.4
911.81,1.96,14.3,3.4,252,0,76,972,65,23.4
911.36,1.99,14.3,3.5,249,0,78,976,65,23.5
910.7,2,14.2,3.6,246,0,80,982,65,23.5
910.03,2,14.1,3.7,243,0,82,988,65,23.5
909.14,2,14.1,3.8,239,0,84,996,66,23.5
908.7,2.01,14,3.9,237,0,86,1001,66,23.5
908.03,2.01,13.9,4.1,234,0,88,1007,66,23.5
907.37,2.02,13.9,4.2,233,0,90,1013,66,23.6
906.7,2.03,13.9,4.4,232,0,92,1019,65,23.6
905.82,2.05,13.8,4.6,231,0,94,1027,65,23.6
904.93,2.05,13.7,4.7,231,0,96,1036,66,23.6
904.05,2.05,13.6,5,232,0,98,1044,66,23.6
903.39,2.07,13.6,5.2,233,0,100,1050,66,23.6
902.73,2.09,13.5,5.4,235,0,102,1056,66,23.6
901.63,2.1,13.5,5.5,237,0,104,1066,66,23.6
900.75,2.1,13.4,5.6,238,0,106,1075,67,23.7
900.09,2.11,13.3,5.6,240,0,108,1081,67,23.7
899.21,2.11,13.2,5.6,241,0,110,1089,68,23.7
898.33,2.11,13.2,5.5,243,0,112,1097,68,23.7
897.23,2.11,13,5.4,244,0,114,1108,68,23.7
896.36,2.12,13,5.3,246,0,116,1116,69,23.7
895.48,2.12,12.9,5.1,247,0,118,1124,69,23.7
894.39,2.11,12.8,4.8,248,0,120,1134,69,23.7
893.3,2.11,12.7,4.6,249,0,122,1145,70,23.7
892.43,2.11,12.6,4.4,250,0,124,1153,70,23.7
891.56,2.1,12.5,4.2,252,0,126,1161,70,23.7
890.47,2.1,12.4,4,253,0,128,1171,70,23.8
889.6,2.09,12.3,3.8,254,0,130,1179,71,23.8
888.73,2.08,12.3,3.7,254,0,132,1188,71,23.8
887.86,2.08,12.2,3.6,255,0,134,1196,72,23.8
887,2.08,12.1,3.5,256,0,136,1204,72,23.8
886.13,2.08,12,3.4,256,0,138,1212,72,23.8
885.27,2.08,11.9,3.3,256,0,140,1220,72,23.8
884.4,2.08,11.9,3.3,256,0,142,1229,72,23.8
883.54,2.08,11.8,3.2,256,0,144,1237,72,23.9
882.68,2.07,11.7,3.2,255,0,146,1245,72,23.9
881.82,2.07,11.6,3.3,255,0,148,1253,72,23.9
880.95,2.07,11.5,3.3,253,0,150,1261,73,23.9
880.09,2.08,11.5,3.3,252,0,152,1269,73,23.9
879.02,2.08,11.4,3.3,251,0,154,1280,73,23.9
878.16,2.08,11.3,3.4,251,0,156,1288,73,23.9
877.31,2.08,11.2,3.4,250,0,158,1296,73,23.9
876.45,2.09,11.2,3.4,250,0,160,1304,74,23.9
875.59,2.11,11,3.4,250,0,162,1312,75,23.9
874.74,2.12,10.9,3.4,250,0,164,1320,75,23.9
873.89,2.12,10.9,3.4,251,0,166,1329,75,24
872.82,2.11,10.8,3.4,251,0,168,1339,75,24
871.75,2.12,10.7,3.5,252,0,170,1349,76,24
870.69,2.12,10.7,3.5,253,0,172,1359,76,24
869.84,2.13,10.6,3.6,254,0,174,1367,76,24
868.99,2.16,10.5,3.7,254,0,176,1375,76,24
867.93,2.16,10.4,3.8,255,0,178,1386,77,24
867.08,2.16,10.3,3.9,255,0,180,1394,77,24
866.03,2.17,10.2,4,255,0,182,1404,78,24.1
