
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-05-16,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20098

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-05-14,11:15:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 227

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
338.5,0,373.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.026,27,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
940.06,2.6,15.7,3.5,260,2,0,631,60,24.7
939.15,2.77,14.1,2.6,254,2,2,639,55,24.7
938,2.84,14,2.6,253,0,4,650,57,24.7
936.86,2.92,14,2.8,252,0,6,660,58,24.7
935.94,2.94,13.9,3.2,252,0,8,668,59,24.7
935.26,3,13.7,3.6,252,0,10,674,60,24.7
934.12,3.03,13.6,3.7,254,0,12,685,61,24.7
933.2,3.07,13.5,3.9,254,0,14,693,61,24.7
932.06,3.12,13.4,4.1,256,0,16,703,62,24.7
930.93,3.17,13.3,4.2,257,0,18,713,62,24.8
929.57,3.19,13.2,4.3,258,0,20,726,63,24.8
928.43,3.2,13.1,4.4,258,0,22,736,64,24.8
927.52,3.23,13.1,4.5,258,0,24,744,64,24.8
926.62,3.27,13,4.5,257,0,26,752,64,24.8
925.49,3.29,12.9,4.6,256,0,28,763,65,24.8
925,3.31,12.8,4.6,256,3,29,767,65,24.8
924.36,3.31,12.7,4.6,254,0,30,773,65,24.8
923.23,3.31,12.7,4.7,252,0,32,783,65,24.8
921.88,3.33,12.6,4.7,250,0,34,795,66,24.8
920.53,3.33,12.4,4.7,247,0,36,808,66,24.8
919.18,3.35,12.3,4.8,244,0,38,820,67,24.8
918.06,3.36,12.3,4.9,241,0,40,830,67,24.8
916.94,3.37,12.3,5,239,0,42,841,68,24.8
916.05,3.39,12.2,5.2,237,0,44,849,68,24.8
914.93,3.39,12.1,5.3,235,0,46,859,68,24.8
913.59,3.41,12,5.5,233,0,48,871,69,24.8
912.25,3.41,11.9,5.8,232,0,50,884,69,24.8
911.14,3.42,11.8,6,231,0,52,894,69,24.9
910.25,3.43,11.6,6.1,230,0,54,902,69,24.9
908.92,3.43,11.5,6.2,230,0,56,914,69,24.9
907.81,3.45,11.4,6.2,229,0,58,924,69,24.9
906.7,3.45,11.3,6.1,229,0,60,935,70,24.9
905.6,3.46,11.2,6.1,229,0,62,945,70,24.9
904.49,3.46,11.1,5.9,229,0,64,955,71,24.9
903.17,3.47,11,5.7,230,0,66,967,71,24.9
901.85,3.46,10.9,5.5,230,0,68,979,71,24.9
900.53,3.47,10.7,5.3,231,0,70,992,71,24.9
898.99,3.48,10.6,5.2,232,0,72,1006,70,24.9
897.89,3.49,10.5,5.1,233,0,74,1016,70,24.9
897.01,3.5,10.4,5,234,0,76,1024,71,24.9
895.92,3.54,10.3,5,235,0,78,1034,72,24.9
894.39,3.54,10.2,5.1,236,0,80,1049,73,24.9
893.08,3.55,10,5.1,237,0,82,1061,74,24.9
891.77,3.55,9.9,5.2,238,0,84,1073,74,24.9
890.47,3.56,9.8,5.3,239,0,86,1085,74,24.9
889.17,3.56,9.8,5.4,239,0,88,1097,75,24.9
888.08,3.56,9.6,5.5,239,0,90,1108,75,24.9
887.21,3.57,9.6,5.5,239,0,92,1116,75,24.9
886.13,3.57,9.5,5.5,238,0,94,1126,74,24.9
885.27,3.57,9.4,5.5,236,0,96,1134,74,24.9
883.75,3.57,9.3,5.4,234,0,98,1148,76,24.9
882.25,3.57,9.1,5.3,231,0,100,1162,76,24.9
880.74,3.58,8.9,5.2,228,0,102,1176,77,24.9
879.45,3.57,8.8,5.1,225,0,104,1189,78,25
877.95,3.57,8.8,5,221,0,106,1203,80,25
876.24,3.54,8.6,4.8,218,0,108,1219,81,25
874.53,3.53,8.5,4.6,214,0,110,1235,81,25
873.03,3.52,8.3,4.4,212,0,112,1249,81,25
871.54,3.51,8.1,4.2,210,0,114,1263,82,25
870.05,3.5,8,4,208,0,116,1278,82,25
868.78,3.5,7.9,3.7,207,0,118,1290,83,25
867.51,3.49,7.8,3.4,207,0,120,1302,83,25.1
866.03,3.49,7.7,3.2,208,0,122,1316,83,25.1
864.76,3.48,7.5,3,210,0,124,1328,84,25.1
863.49,3.48,7.4,2.8,213,0,126,1340,85,25.1
861.81,3.47,7.3,2.7,216,0,128,1356,86,25.1
860.13,3.46,7.1,2.7,221,0,130,1372,87,25.1
858.45,3.46,6.9,2.7,226,0,132,1388,88,25.1
856.77,3.46,6.8,2.7,231,0,134,1404,88,25.1
855.1,3.44,6.7,2.8,236,0,136,1420,88,25.1
853.43,3.44,6.5,3,240,0,138,1436,89,25.1
851.77,3.44,6.3,3.1,244,0,140,1453,90,25.1
850.11,3.44,6.2,3.2,247,0,142,1469,92,25.1
850,3.43,6.2,3.2,247,3,142,1470,92,25.1
848.45,3.43,6.1,3.3,250,0,144,1485,92,25.1
846.79,3.42,5.9,3.3,252,0,146,1501,92,25.2
845.35,3.43,5.7,3.3,253,0,148,1515,92,25.2
844.11,3.43,5.6,3.3,253,0,150,1527,92,25.2
842.67,3.44,5.5,3.3,253,0,152,1541,90,25.2
841.43,3.45,5.6,3.2,252,0,154,1553,88,25.2
840,3.45,5.6,3.2,251,0,156,1567,86,25.2
838.97,3.5,5.4,3.3,249,0,158,1577,86,25.2
837.95,3.53,5.3,3.4,246,0,160,1587,86,25.2
836.72,3.57,5.2,3.5,243,0,162,1599,86,25.2
835.5,3.6,5,3.7,241,0,164,1611,87,25.2
834.27,3.69,4.9,3.9,239,0,166,1623,88,25.2
833.26,3.77,4.8,4.2,237,0,168,1633,88,25.3
831.63,3.81,4.7,4.5,234,0,170,1648,88,25.3
830.01,3.81,4.5,4.8,232,0,172,1664,89,25.3
828.39,3.81,4.4,5.2,230,0,174,1680,90,25.3
826.77,3.81,4.2,5.5,228,0,176,1696,91,25.3
825.36,3.81,4.1,5.8,226,0,178,1710,91,25.3
823.75,3.8,3.9,6.1,225,0,180,1726,91,25.3
822.14,3.8,3.8,6.4,224,0,182,1742,92,25.3
820.54,3.81,3.6,6.6,223,0,184,1758,93,25.3
819.14,3.81,3.6,6.8,223,0,186,1772,94,25.3
817.94,3.81,3.4,6.9,223,0,188,1784,94,25.3
816.74,3.81,3.3,6.9,223,0,190,1796,94,25.3
815.74,3.82,3.3,6.9,224,0,192,1805,94,25.3
814.75,3.81,3.2,6.8,225,0,194,1815,95,25.3
813.76,3.81,3.2,6.7,227,0,196,1825,96,25.3
812.76,3.77,3.2,6.6,229,0,198,1835,98,25.3
811.97,3.76,3.2,6.5,230,0,200,1843,98,25.3
810.98,3.75,3.1,6.4,231,0,202,1853,98,25.3
809.99,3.75,3,6.3,232,0,204,1863,98,25.3
809,3.75,3,6.3,233,0,206,1873,98,25.3
808.01,3.74,3,6.3,233,0,208,1883,99,25.3
807.03,3.74,2.9,6.4,233,0,210,1893,99,25.4
806.04,3.74,2.8,6.5,232,0,212,1903,99,25.4
805.06,3.75,2.6,6.6,231,0,214,1912,99,25.4
804.28,3.75,2.4,6.7,231,0,216,1920,99,25.4
803.29,3.76,2.2,6.9,230,0,218,1930,98,25.4
802.51,3.79,2,7,229,0,220,1938,97,25.4
801.53,3.8,1.8,7.2,228,0,222,1948,96,25.4
800.16,3.83,1.9,7.3,227,0,224,1962,96,25.4
798.99,3.84,1.6,7.5,226,2,226,1974,97,25.4
798.02,3.85,1.8,7.6,225,0,228,1983,99,25.4
797.04,3.89,1.9,7.7,223,0,230,1993,99,25.4
795.68,3.89,1.8,7.8,222,0,232,2007,98,25.4
794.32,3.89,1.7,7.9,222,0,234,2021,98,25.4
793.16,3.91,1.6,7.9,221,0,236,2033,98,25.4
792.19,3.91,1.6,8,221,0,238,2043,97,25.4
