
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-06-05,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,na

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-06-04,10:51:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 222
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
299.8,0,342.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.046,26,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.82,4.04,21.9,0.5,39,2,0,631,29,26.2
944.43,4.09,20.5,1.1,324,0,2,643,33,26.2
943.51,4.15,20.3,1.3,317,0,4,653,33,26.2
942.36,4.21,20.1,1.2,323,2,6,663,33,26.2
941.21,4.24,20,1.2,328,0,8,673,33,26.2
940.06,4.26,19.9,1.2,335,0,10,684,33,26.2
939.15,4.27,19.8,1.1,345,0,12,694,34,26.2
938.23,4.29,19.7,1.1,358,0,14,702,34,26.2
937.08,4.3,19.6,1.1,12,0,16,711,34,26.2
935.94,4.3,19.5,1.2,26,0,18,722,34,26.2
934.57,4.33,19.4,1.4,37,0,20,735,34,26.2
933.2,4.33,19.3,1.6,44,0,22,748,35,26.3
931.84,4.33,19.2,1.8,49,0,24,759,35,26.3
930.93,4.33,19.1,2,53,0,26,768,35,26.3
930.02,4.31,19,2.2,54,0,28,776,35,26.3
929.34,4.32,19,2.3,55,0,30,784,35,26.3
928.43,4.32,18.9,2.5,55,0,32,790,35,26.3
927.75,4.32,18.8,2.6,55,0,34,798,36,26.3
926.85,4.35,18.8,2.6,54,0,36,807,36,26.3
925.94,4.33,18.7,2.7,53,0,38,815,36,26.3
