
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-06-19,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20105

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-06-18,10:59:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 172
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
264,0,320.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.023,28,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.82,2.47,25.2,4.2,70,2,0,631,38,28.4
944.2,2.55,23.9,3.1,87,0,2,646,39,28.4
942.82,2.57,22.9,3.1,95,0,4,659,40,28.4
941.21,2.58,21.8,3.4,100,2,6,674,41,28.4
939.83,2.6,21.7,3.9,103,0,8,686,43,28.5
938.46,2.6,21.6,4.5,105,0,10,699,43,28.5
936.86,2.6,21.6,4.8,107,0,12,714,44,28.5
935.03,2.61,21.5,5.2,109,0,14,731,44,28.5
933.43,2.63,21.5,5.4,112,0,16,746,44,28.5
931.84,2.63,21.5,5.6,114,0,18,760,44,28.5
930.25,2.63,21.3,5.7,117,0,20,775,44,28.5
928.88,2.63,21.1,5.7,119,0,22,788,45,28.5
927.52,2.63,21,5.6,122,0,24,801,45,28.5
926.17,2.63,20.9,5.4,125,0,26,813,45,28.5
925.04,2.63,20.9,5.2,128,0,28,824,45,28.5
923.68,2.65,20.8,4.9,131,0,30,836,46,28.5
922.33,2.63,20.6,4.5,135,0,32,849,46,28.5
920.76,2.64,20.5,4.1,140,0,34,864,47,28.5
919.63,2.65,20.4,3.9,144,0,36,874,47,28.6
918.29,2.65,20.3,3.7,150,0,38,887,47,28.6
917.17,2.65,20.1,3.6,155,0,40,898,47,28.6
915.6,2.65,19.9,3.6,159,0,42,912,48,28.6
914.26,2.68,19.7,3.6,163,0,44,925,49,28.6
913.14,2.68,19.7,3.7,166,0,46,935,49,28.6
912.03,2.68,19.6,3.9,169,0,48,946,49,28.6
910.92,2.68,19.4,4.1,171,0,50,956,50,28.6
909.81,2.71,19.3,4.3,172,0,52,967,50,28.6
908.92,2.7,19.2,4.4,173,0,54,975,50,28.6
907.81,2.69,19.2,4.5,175,0,56,986,50,28.6
906.48,2.7,19.1,4.6,176,0,58,998,50,28.7
905.15,2.7,19,4.6,178,0,60,1011,51,28.7
903.83,2.7,18.9,4.5,179,0,62,1024,51,28.7
902.51,2.7,18.7,4.4,180,0,64,1036,51,28.7
901.19,2.71,18.6,4.3,180,0,66,1049,51,28.7
900.09,2.74,18.4,4.1,180,0,68,1059,52,28.7
898.77,2.75,18.3,3.9,179,0,70,1072,52,28.7
897.45,2.77,18.1,3.7,178,0,72,1084,53,28.7
896.36,2.78,18,3.5,176,0,74,1095,53,28.7
895.48,2.78,17.9,3.3,173,0,76,1103,54,28.7
