
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-07-03,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20101

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-07-02,11:00:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 213
* à­ HØ

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
267.3,0,311.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.031,27,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
940.29,2.39,26.2,4.4,210,2,0,631,31,29.2
939.6,2.47,25.7,3.5,221,0,2,637,32,29.2
938.23,2.5,25.5,3.6,224,0,4,650,33,29.2
937.08,2.5,25.3,4,226,0,6,661,34,29.2
935.94,2.51,25.2,4.7,227,0,8,672,35,29.2
935.03,2.52,25.1,5.4,227,0,10,680,35,29.3
934.12,2.54,24.9,6.1,225,0,12,689,36,29.3
933.2,2.54,24.7,6.7,224,0,14,697,36,29.3
932.29,2.62,24.6,7.3,223,0,16,706,36,29.3
931.38,2.64,24.4,7.8,222,0,18,715,36,29.3
930.47,2.65,24.2,8.2,220,0,20,723,37,29.3
929.34,2.67,24.2,8.6,218,0,22,734,37,29.3
927.98,2.7,24.2,8.9,217,0,24,747,38,29.3
926.62,2.71,24.1,9.1,216,0,26,759,38,29.3
925.49,2.72,24,9.3,215,0,28,770,38,29.4
925,2.72,24,9.3,215,3,29,775,38,29.4
924.13,2.72,23.9,9.4,214,0,30,783,38,29.4
922.56,2.72,23.8,9.4,213,0,32,798,38,29.4
920.98,2.72,23.7,9.4,213,0,34,813,39,29.4
919.63,2.71,23.5,9.3,213,0,36,825,39,29.4
918.29,2.71,23.4,9.3,213,0,38,838,39,29.4
916.94,2.71,23.2,9.3,213,0,40,851,39,29.4
915.6,2.73,23,9.3,212,0,42,864,39,29.4
914.26,2.76,23,9.3,212,0,44,877,40,29.4
913.14,2.76,23,9.3,211,0,46,887,40,29.5
912.03,2.76,22.8,9.3,211,0,48,898,40,29.5
910.92,2.78,22.6,9.2,210,0,50,908,40,29.5
910.03,2.79,22.4,9.2,209,0,52,917,41,29.5
909.14,2.79,22.3,9.1,208,0,54,925,41,29.5
908.25,2.8,22.2,9.1,207,0,56,934,41,29.5
907.15,2.82,22.2,9,206,0,58,944,41,29.5
906.04,2.82,22.1,8.9,204,0,60,955,41,29.6
904.93,2.82,21.9,8.8,203,0,62,966,42,29.6
903.61,2.84,21.7,8.8,202,0,64,978,42,29.6
902.29,2.83,21.6,8.8,201,0,66,991,43,29.6
901.19,2.83,21.4,8.8,201,0,68,1002,43,29.6
900.09,2.84,21.3,8.9,200,0,70,1012,43,29.6
898.99,2.84,21.3,9,201,0,72,1023,43,29.6
898.33,2.85,21.3,9.1,201,0,74,1029,42,29.6
897.45,2.88,21.2,9.2,202,0,76,1038,42,29.7
896.36,2.88,21,9.3,204,0,78,1048,43,29.7
895.26,2.88,20.9,9.4,206,0,80,1059,43,29.7
893.95,2.88,20.9,9.5,208,0,82,1071,43,29.7
892.86,2.88,20.7,9.5,210,0,84,1082,43,29.7
891.99,2.88,20.6,9.6,212,0,86,1090,43,29.7
891.12,2.88,20.6,9.6,214,0,88,1099,44,29.8
890.03,2.88,20.4,9.6,216,0,90,1109,44,29.8
889.17,2.89,20.3,9.6,217,0,92,1118,45,29.8
887.86,2.88,20.2,9.5,218,0,94,1130,45,29.8
886.78,2.88,20.1,9.5,219,0,96,1141,46,29.8
885.92,2.88,20,9.4,220,0,98,1149,46,29.8
884.83,2.86,19.9,9.3,220,0,100,1160,46,29.8
883.75,2.85,19.8,9.2,221,0,102,1170,47,29.8
882.89,2.86,19.7,9.1,221,0,104,1179,47,29.9
882.03,2.85,19.6,9,222,0,106,1187,47,29.9
880.95,2.85,19.5,8.9,223,0,108,1198,47,29.9
879.66,2.85,19.3,8.8,224,0,110,1210,48,29.9
878.59,2.88,19.2,8.8,226,0,112,1221,48,29.9
877.52,2.87,19.1,8.7,227,0,114,1231,48,29.9
876.45,2.86,19.1,8.6,229,0,116,1242,48,29.9
875.38,2.85,18.9,8.5,230,0,118,1252,49,29.9
874.31,2.85,18.8,8.5,231,0,120,1263,49,30
873.25,2.85,18.7,8.4,231,0,122,1273,50,30
872.39,2.85,18.7,8.4,231,0,124,1282,50,30
871.33,2.83,18.8,8.4,231,0,126,1292,49,30
870.48,2.85,18.5,8.5,231,0,128,1301,48,30
869.63,2.86,18.6,8.5,230,0,130,1309,46,30
868.99,2.86,18.7,8.7,229,0,132,1315,44,30.1
868.36,2.86,18.7,8.8,228,0,134,1322,45,30.1
867.3,2.86,18.6,9,227,0,136,1332,45,30.1
866.45,2.86,18.4,9.2,227,0,138,1340,46,30.1
865.82,2.86,18.3,9.4,227,0,140,1347,47,30.1
864.97,2.86,18.3,9.6,227,0,142,1355,46,30.2
863.7,2.87,18.2,9.8,227,0,144,1368,46,30.2
862.86,2.87,18.2,9.9,228,0,146,1376,46,30.2
861.81,2.87,18.3,10.1,229,0,148,1386,44,30.2
860.97,2.87,18.3,10.2,230,0,150,1395,42,30.2
859.92,2.87,18.3,10.3,231,0,152,1405,41,30.2
858.87,2.87,18.2,10.4,233,0,154,1416,41,30.3
857.82,2.86,18,10.5,235,0,156,1426,42,30.3
856.77,2.87,17.9,10.6,237,0,158,1437,42,30.3
855.94,2.88,17.7,10.7,238,0,160,1445,44,30.3
855.1,2.89,17.6,10.7,240,0,162,1453,44,30.3
854.48,2.89,17.6,10.7,241,0,164,1460,44,30.3
853.85,2.9,17.5,10.8,241,0,166,1466,44,30.3
853.23,2.9,17.5,10.8,241,0,168,1472,44,30.4
852.39,2.9,17.4,10.8,241,0,170,1480,43,30.4
851.35,2.91,17.3,10.8,240,0,172,1491,44,30.4
850.52,2.91,17.3,10.8,239,0,174,1499,44,30.4
850,2.91,17.2,10.8,237,3,176,1504,44,30.4
849.69,2.91,17.2,10.8,237,0,176,1507,44,30.4
