
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-07-10,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20154

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-07-09,10:59:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB  98
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
263.6,0,317

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.51,3.64,28.7,2.7,170,2,0,631,28,27.8
945.13,3.7,26.4,1.5,206,2,2,644,32,27.8
944.2,3.77,26.4,1.2,219,0,4,653,33,27.8
943.05,3.81,26.3,1.3,224,0,6,663,33,27.9
941.44,3.84,26.2,1.6,226,0,8,678,34,27.9
940.06,3.86,26.1,1.9,226,0,10,691,34,27.9
938.92,3.89,26.1,2.1,224,0,12,702,35,27.9
937.77,3.91,26.1,2.3,223,0,14,713,35,27.9
936.63,3.92,25.9,2.5,223,0,16,723,35,27.9
935.26,3.94,25.6,2.6,222,0,18,736,35,27.9
933.89,3.96,25.5,2.7,221,0,20,749,35,28
932.75,3.97,25.4,2.8,219,0,22,760,36,28
931.61,3.97,25.3,2.9,217,0,24,771,36,28
930.93,3.98,25.2,2.9,215,0,26,777,34,28
930.02,4.02,25.1,3,214,0,28,786,33,28
929.34,4.05,25,3.1,213,0,30,792,33,28
928.66,4.09,24.9,3.1,211,0,32,799,33,28.1
927.75,4.13,24.9,3.2,211,0,34,807,33,28.1
926.62,4.15,24.8,3.2,210,0,36,818,33,28.1
925.71,4.16,24.7,3.2,210,0,38,826,34,28.1
924.81,4.16,24.6,3.2,210,0,40,835,34,28.1
923.68,4.16,24.5,3.2,210,0,42,846,34,28.1
922.56,4.16,24.3,3.1,209,2,44,856,34,28.1
921.66,4.18,24.3,3,209,0,46,865,34,28.2
920.76,4.19,24.3,3,209,0,48,873,35,28.2
919.63,4.24,24.2,3,210,0,50,884,34,28.2
918.74,4.26,24.1,3,211,0,52,893,34,28.2
917.84,4.26,24,3.1,212,0,54,901,34,28.2
