
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-07-17,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20157

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-07-16,11:01:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 227
* ® HØ

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
291.3,0,349

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.028,26.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.06,4.64,28.3,3.9,70,2,0,631,31,28.8
948.36,4.73,27.1,3.3,68,0,2,637,34,28.8
947.21,4.92,25.3,3.5,67,2,4,648,35,28.8
946.05,4.93,25.2,3.9,67,0,6,659,36,28.9
945.13,4.95,25.1,4.5,67,0,8,668,37,28.9
944.2,4.98,25,4.9,67,0,10,676,37,28.9
943.28,5.08,25,5,67,0,12,685,38,28.9
942.36,5.12,24.9,5.1,67,0,14,693,38,28.9
941.21,5.14,24.8,5.2,67,0,16,704,38,28.9
940.06,5.15,24.6,5.2,67,0,18,715,39,28.9
938.69,5.15,24.5,5.1,66,0,20,727,40,28.9
937.31,5.17,24.4,4.9,65,0,22,740,40,28.9
935.94,5.19,24.3,4.7,64,0,24,753,41,28.9
934.8,5.25,24.2,4.6,63,0,26,764,41,28.9
933.43,5.25,24.1,4.5,62,0,28,777,41,28.9
932.06,5.26,24,4.4,60,0,30,789,42,29
930.93,5.25,23.9,4.4,59,0,32,800,42,29
930.02,5.24,23.8,4.4,57,0,34,809,42,29
928.88,5.24,23.7,4.5,57,0,36,819,42,29
927.52,5.24,23.6,4.6,56,0,38,832,42,29
926.17,5.24,23.6,4.7,56,0,40,845,42,29
925,5.24,23.5,4.9,56,3,42,856,42,29
924.81,5.24,23.5,4.9,56,0,42,858,42,29
923.23,5.26,23.2,5,56,0,44,873,43,29
921.88,5.27,23.2,5.1,56,0,46,885,43,29
920.76,5.27,23,5.2,57,0,48,896,43,29.1
919.41,5.28,22.9,5.2,58,0,50,909,44,29.1
918.06,5.29,22.8,5.3,59,0,52,921,44,29.1
916.94,5.29,22.6,5.3,60,0,54,932,44,29.1
915.82,5.27,22.5,5.3,61,0,56,943,44,29.1
914.48,5.25,22.3,5.3,62,0,58,955,45,29.1
912.92,5.27,22.2,5.2,63,0,60,970,45,29.1
911.59,5.27,22.1,5.1,64,0,62,983,46,29.1
910.25,5.27,21.9,5,65,0,64,996,46,29.1
909.14,5.26,21.8,4.9,66,0,66,1006,47,29.1
908.03,5.28,21.6,4.7,66,0,68,1017,47,29.2
906.92,5.28,21.6,4.5,66,0,70,1028,47,29.2
905.82,5.26,21.4,4.4,66,0,72,1038,47,29.2
904.71,5.23,21.3,4.3,65,0,74,1049,48,29.2
