
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-07-31,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20156

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-07-30,11:06:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 148
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
272.2,0,320

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.021,26.9,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.66,5.26,29.5,2.5,180,2,0,631,26,30.3
943.05,5.36,27.4,1.4,196,2,2,646,28,30.3
941.9,5.36,27.3,1.2,203,0,4,657,29,30.4
940.52,5.37,27.2,1.2,209,0,6,670,30,30.4
939.15,5.37,27.1,1.4,213,0,8,683,30,30.4
937.77,5.37,27.1,1.6,217,0,10,696,30,30.4
936.17,5.37,27.1,2,218,0,12,711,30,30.4
934.57,5.36,27.2,2.3,220,0,14,726,31,30.4
933.2,5.37,27.1,2.5,221,0,16,739,31,30.4
931.84,5.37,26.9,2.8,222,0,18,752,31,30.4
930.25,5.42,26.6,3.1,221,0,20,767,31,30.5
928.88,5.42,26.3,3.3,220,0,22,780,32,30.5
927.52,5.42,26,3.5,219,0,24,793,32,30.5
925.94,5.42,25.7,3.6,216,0,26,808,33,30.5
925,5.42,25.6,3.8,214,3,27,817,33,30.6
924.13,5.42,25.5,3.8,214,0,28,825,33,30.6
922.33,5.39,25.4,4,212,0,30,842,33,30.6
920.53,5.39,25.1,4.1,210,0,32,859,33,30.6
918.96,5.39,25.1,4.2,208,0,34,874,32,30.6
917.39,5.39,25,4.3,207,0,36,889,32,30.6
916.27,5.41,24.9,4.3,205,0,38,900,33,30.6
