
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-09-08,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20193

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-09-03,11:08:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 177
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
236,0,274

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.034,27.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
940.29,3.78,23.7,4.2,210,2,0,631,37,28.3
939.83,3.83,23.2,3.8,208,0,2,635,41,28.3
939.15,3.86,22.5,4,209,0,4,642,43,28.3
938.23,3.87,21.6,4.5,211,2,6,650,45,28.4
937.31,3.92,21.6,5.1,213,0,8,659,46,28.4
936.63,3.89,21.6,5.7,216,0,10,665,46,28.4
935.71,3.89,21.6,5.9,219,0,12,673,46,28.4
935.03,3.92,21.7,6.2,222,0,14,680,46,28.4
934.34,3.93,21.6,6.4,224,0,16,686,47,28.4
933.66,3.95,21.5,6.5,226,0,18,692,47,28.4
932.98,3.96,21.5,6.6,228,0,20,699,47,28.4
932.52,3.98,21.4,6.6,230,0,22,703,48,28.4
931.84,4,21.3,6.6,231,0,24,709,48,28.4
930.93,4.01,21.3,6.6,232,0,26,718,49,28.4
930.02,4.01,21.2,6.6,232,0,28,726,49,28.5
929.11,4.03,21.1,6.6,232,0,30,735,49,28.5
928.43,4.04,21.1,6.6,232,0,32,741,49,28.5
927.52,4.05,21,6.6,232,0,34,750,49,28.5
926.39,4.05,20.9,6.7,232,0,36,760,49,28.5
925.26,4.07,20.7,6.8,232,0,38,771,49,28.5
925,4.07,20.7,6.8,232,3,38,773,49,28.5
924.13,4.07,20.6,6.9,232,0,40,781,50,28.5
922.78,4.08,20.4,6.9,232,0,42,794,50,28.5
921.43,4.08,20.3,6.9,232,0,44,807,50,28.6
920.31,4.11,20.2,6.9,233,0,46,817,50,28.6
919.18,4.12,20.1,6.9,233,0,48,828,51,28.6
917.84,4.12,20,6.9,233,0,50,840,51,28.6
916.72,4.13,19.9,6.8,232,0,52,851,52,28.6
915.38,4.13,19.8,6.7,232,0,54,863,51,28.6
914.26,4.13,19.7,6.6,231,0,56,874,51,28.6
912.92,4.13,19.6,6.5,231,0,58,887,51,28.6
911.59,4.13,19.3,6.4,230,0,60,899,52,28.6
910.03,4.11,19.4,6.3,228,0,62,914,53,28.6
908.7,4.11,19.6,6.2,227,0,64,926,53,28.6
907.37,4.11,19.6,6.1,226,0,66,939,53,28.7
906.26,4.11,19.4,6.1,225,0,68,950,53,28.7
905.38,4.12,19.2,6.1,224,0,70,958,53,28.7
904.27,4.12,18.9,6.2,224,0,72,968,53,28.7
903.17,4.12,18.7,6.2,224,0,74,979,54,28.7
901.85,4.11,18.5,6.3,224,0,76,992,54,28.7
900.75,4.11,18.4,6.4,224,0,78,1002,55,28.7
899.43,4.1,18.2,6.5,225,0,80,1015,56,28.8
898.11,4.11,18.2,6.6,225,0,82,1027,56,28.8
896.8,4.11,18.1,6.7,226,0,84,1040,57,28.8
895.92,4.11,18,6.8,226,0,86,1048,57,28.8
894.83,4.12,17.9,6.8,227,0,88,1059,57,28.8
893.74,4.12,17.8,6.8,227,0,90,1069,57,28.8
892.65,4.13,17.7,6.8,228,0,92,1079,57,28.8
891.56,4.13,17.5,6.8,228,0,94,1090,58,28.8
890.25,4.13,17.4,6.8,229,0,96,1102,59,28.9
889.38,4.13,17.4,6.7,229,0,98,1111,58,28.9
888.3,4.13,17.3,6.7,230,0,100,1121,58,28.9
887,4.12,17.2,6.6,230,0,102,1134,58,28.9
885.7,4.1,17.1,6.5,230,0,104,1146,58,28.9
884.62,4.08,16.9,6.4,231,0,106,1157,59,28.9
883.54,4.07,16.8,6.3,231,0,108,1167,59,28.9
882.46,4.07,16.7,6.2,231,0,110,1177,60,28.9
881.38,4.08,16.6,6.2,231,0,112,1188,60,28.9
880.52,4.09,16.5,6.1,231,0,114,1196,60,29
879.24,4.09,16.5,6,232,0,116,1209,60,29
877.95,4.09,16.3,5.8,232,0,118,1221,60,29
876.66,4.09,16.1,5.7,232,0,120,1234,61,29
875.38,4.09,16,5.6,232,0,122,1246,61,29
874.31,4.08,15.9,5.4,231,0,124,1256,62,29
873.25,4.08,15.8,5.2,231,0,126,1267,62,29
871.97,4.08,15.7,5,229,0,128,1279,63,29.1
870.69,4.08,15.6,4.7,227,0,130,1292,63,29.1
869.42,4.08,15.4,4.5,225,0,132,1304,63,29.1
868.36,4.08,15.3,4.3,222,0,134,1315,63,29.1
867.3,4.07,15.3,4.1,218,0,136,1325,64,29.1
866.45,4.06,15.2,4,215,0,138,1333,64,29.1
865.39,4.07,15.2,3.9,212,0,140,1344,64,29.1
864.55,4.08,15,3.9,210,0,142,1352,64,29.1
863.7,4.08,14.9,3.9,208,0,144,1360,65,29.1
862.44,4.06,14.8,4,207,0,146,1372,66,29.1
861.18,4.07,14.7,4.1,206,0,148,1385,66,29.2
859.92,4.06,14.5,4.3,207,0,150,1397,66,29.2
858.66,4.06,14.4,4.5,207,0,152,1410,67,29.2
857.4,4.06,14.3,4.7,209,0,154,1422,67,29.2
856.36,4.07,14.3,4.9,209,0,156,1432,66,29.2
855.1,4.07,14.2,5.1,210,0,158,1445,67,29.2
854.06,4.07,14.1,5.4,211,0,160,1455,66,29.2
852.81,4.07,14,5.6,212,0,162,1467,66,29.2
851.56,4.05,13.9,5.9,212,0,164,1480,67,29.3
850.31,4.04,13.7,6.2,212,0,166,1492,69,29.3
850,4.02,13.7,6.2,212,3,167,1495,69,29.3
849.28,4.02,13.6,6.5,213,0,168,1503,70,29.3
848.24,4.02,13.6,6.8,214,0,170,1513,70,29.3
847.21,4.02,13.4,7,214,0,172,1523,70,29.3
845.76,4.01,13.2,7.3,215,0,174,1537,71,29.3
844.52,4,13.1,7.5,216,0,176,1550,72,29.3
843.49,4,13.1,7.6,216,0,178,1560,71,29.3
842.87,4,13.1,7.7,217,0,180,1566,71,29.3
842.26,3.99,13.1,7.8,217,0,182,1572,70,29.3
841.43,3.98,13,7.9,217,0,184,1581,71,29.3
840.61,3.99,12.9,7.9,217,0,186,1589,71,29.3
840,3.99,12.8,7.9,216,0,188,1595,72,29.4
838.97,3.98,12.7,7.9,216,0,190,1605,73,29.4
837.95,3.98,12.5,8,215,0,192,1616,74,29.4
836.72,3.97,12.6,8,214,0,194,1628,73,29.4
835.7,3.96,12.6,8.1,214,0,196,1638,74,29.4
834.68,3.95,12.7,8.2,214,0,198,1648,74,29.4
833.66,3.92,12.5,8.3,214,0,200,1659,73,29.4
832.65,3.92,12.3,8.3,215,0,202,1669,73,29.4
831.83,3.91,12.1,8.3,216,0,204,1677,72,29.4
831.02,3.9,12,8.3,218,2,206,1685,72,29.4
830.01,3.9,12,8.3,220,0,208,1696,72,29.4
829,3.9,12.1,8.2,222,0,210,1706,61,29.4
827.98,3.9,12.6,8.1,224,0,212,1716,47,29.4
826.97,3.9,13.1,8,227,0,214,1726,32,29.4
825.76,3.85,13.4,7.8,229,2,216,1739,30,29.5
824.35,3.82,13.2,7.7,232,0,218,1753,30,29.5
823.15,3.75,13.1,7.5,234,0,220,1765,30,29.5
822.14,3.69,12.9,7.4,236,0,222,1776,30,29.5
821.14,3.68,13,7.4,238,0,224,1786,30,29.5
819.94,3.68,12.8,7.4,240,0,226,1798,29,29.5
818.94,3.67,12.7,7.4,241,0,228,1808,29,29.5
817.74,3.64,12.7,7.4,243,0,230,1821,28,29.5
816.74,3.61,12.7,7.5,244,0,232,1831,27,29.5
815.94,3.61,12.8,7.6,245,0,234,1839,26,29.5
814.95,3.56,12.7,7.7,246,0,236,1849,25,29.5
813.95,3.48,12.8,7.8,247,0,238,1859,24,29.6
812.96,3.43,12.8,8,247,0,240,1870,23,29.6
811.77,3.38,12.8,8.1,248,0,242,1882,23,29.6
810.58,3.3,12.9,8.3,248,0,244,1894,23,29.6
809.59,3.22,13,8.4,249,0,246,1905,23,29.6
808.61,3.19,13.2,8.6,249,0,248,1915,22,29.6
807.42,3.11,13.1,8.8,250,0,250,1927,22,29.6
806.24,3.09,13,9,250,0,252,1939,22,29.6
805.45,3.03,13,9.2,250,0,254,1948,22,29.6
804.47,3,12.9,9.5,250,0,256,1958,22,29.6
803.69,3,12.9,9.7,249,0,258,1966,22,29.6
802.9,2.95,12.8,10,249,0,260,1974,22,29.6
801.92,2.91,12.8,10.2,248,0,262,1984,22,29.7
800.94,2.88,12.8,10.5,248,0,264,1995,22,29.7
800.16,2.85,12.8,10.8,248,0,266,2003,21,29.7
799.38,2.85,12.7,11,247,0,268,2011,21,29.7
798.41,2.84,12.7,11.3,247,0,270,2021,21,29.7
797.63,2.8,12.7,11.5,248,0,272,2029,21,29.7
796.46,2.79,12.8,11.6,248,0,274,2042,19,29.7
795.29,2.77,12.9,11.8,248,0,276,2054,18,29.7
794.32,2.77,12.9,11.9,249,0,278,2064,17,29.7
793.35,2.79,12.9,12,249,0,280,2074,16,29.8
792.58,2.79,13,12,250,2,282,2083,15,29.8
791.81,2.81,12.8,12,250,0,284,2091,14,29.8
790.65,2.88,12.7,12,250,0,286,2103,14,29.8
789.49,2.89,12.6,11.9,250,0,288,2115,14,29.8
788.53,2.93,12.6,11.8,250,0,290,2126,13,29.8
787.37,3.01,12.6,11.8,249,0,292,2138,13,29.8
786.22,3.03,12.4,11.8,249,0,294,2150,13,29.8
