
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-02,AEMET,1.0,Julia Garc?

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a20199

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-10-01,11:10:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 174
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
280,0,318.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.029,26.2,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.36,2.18,20.2,1.8,152,2,0,631,34,25.9
944.2,2.19,19.6,1.4,156,0,2,642,38,25.9
943.05,2.21,19.2,1.3,156,0,4,652,39,25.9
942.13,2.28,18.9,1.4,156,0,6,660,40,25.9
940.75,2.3,18.9,1.6,155,0,8,673,41,25.9
939.38,2.32,18.7,1.8,155,0,10,686,42,25.9
938.23,2.35,18.6,2,156,0,12,696,42,25.9
937.08,2.38,18.5,2.1,157,0,14,706,43,25.9
935.71,2.38,18.5,2.3,158,0,16,719,43,25.9
934.57,2.44,18.3,2.4,160,0,18,729,43,25.9
933.43,2.48,18.2,2.6,163,0,20,740,44,25.9
932.29,2.49,18.3,2.7,165,0,22,750,45,25.9
931.16,2.49,18.3,2.8,169,0,24,761,44,25.9
929.79,2.5,18.2,2.8,172,0,26,773,44,25.9
928.66,2.51,18.1,2.9,175,0,28,784,45,25.9
927.52,2.51,18,2.9,179,0,30,794,45,25.9
926.39,2.51,17.9,2.8,182,0,32,805,45,25.9
925,2.51,17.7,2.8,185,3,34,817,45,25.9
924.81,2.51,17.7,2.8,185,0,34,819,45,25.9
923.01,2.51,17.6,2.7,188,0,36,836,45,26
922.11,2.52,17.5,2.7,190,0,38,844,45,26
