
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-16,AEMET,1.0,Julia Garcia

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a21497

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-10-15,10:48:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 194
* ® HØ

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241,0,273.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.027,27.9,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
951.38,1.28,19.7,2.1,120,2,0,631,59,25.2
950.22,1.38,18.5,1.2,119,2,2,642,64,25.2
948.83,1.43,18.4,1,116,0,4,654,66,25.2
947.67,1.44,18.3,0.9,112,0,6,665,67,25.2
946.28,1.44,18.3,0.9,108,0,8,677,68,25.2
945.13,1.45,18.2,1,104,0,10,688,68,25.2
944.2,1.46,18.1,1.1,99,0,12,696,69,25.2
942.82,1.47,18,1.1,93,0,14,709,69,25.3
941.44,1.47,17.9,1.2,86,0,16,721,70,25.3
940.06,1.49,17.8,1.3,80,0,18,734,71,25.3
938.69,1.48,17.7,1.3,75,0,20,746,71,25.3
937.31,1.48,17.5,1.4,70,0,22,759,71,25.3
935.71,1.49,17.3,1.4,66,0,24,773,71,25.3
934.34,1.49,17.1,1.3,64,0,26,786,72,25.3
933.2,1.49,17,1.3,62,0,28,796,72,25.3
932.29,1.49,17,1.2,62,0,30,805,73,25.3
931.38,1.49,16.9,1.1,63,0,32,813,73,25.3
930.02,1.5,16.8,1,67,0,34,826,73,25.4
928.66,1.51,16.7,0.8,70,0,36,838,74,25.4
927.3,1.51,16.6,0.7,77,0,38,851,75,25.4
926.17,1.51,16.5,0.6,85,0,40,861,75,25.4
925.26,1.53,16.5,0.6,86,0,42,869,74,25.4
925,1.53,16.5,0.6,86,3,42,872,74,25.4
924.13,1.53,16.3,0.6,87,0,44,880,74,25.4
923.23,1.6,16.5,0.6,88,0,46,888,72,25.4
922.11,1.71,16.6,0.7,84,0,48,898,71,25.5
920.76,1.8,16.7,0.9,75,0,50,911,70,25.5
919.63,1.97,16.9,1.1,67,0,52,921,68,25.5
918.51,2.06,16.9,1.3,61,0,54,932,67,25.5
917.61,2.26,16.9,1.6,60,0,56,940,66,25.5
916.72,2.47,17.1,1.9,57,0,58,948,64,25.5
915.82,2.63,17.2,2.2,55,0,60,957,63,25.5
914.93,2.81,17.2,2.5,55,0,62,965,62,25.6
914.04,2.88,17.1,2.7,56,0,64,973,62,25.6
913.37,3.03,17.1,2.9,57,0,66,980,62,25.6
912.48,3.14,17.1,3,58,0,68,988,62,25.6
911.36,3.29,17.1,3.1,59,2,70,998,62,25.6
910.47,3.4,17,3,61,0,72,1007,62,25.6
909.58,3.44,16.9,3,62,0,74,1015,63,25.6
908.92,3.53,16.9,2.8,64,0,76,1021,63,25.7
908.03,3.61,16.9,2.6,66,0,78,1030,63,25.7
907.15,3.74,16.8,2.4,68,0,80,1038,64,25.7
906.04,3.76,16.7,2.1,73,0,82,1048,64,25.7
905.15,3.8,16.7,1.8,81,0,84,1057,64,25.7
904.27,3.85,16.6,1.5,87,0,86,1065,63,25.8
903.39,3.96,16.6,1.3,95,0,88,1073,64,25.8
902.07,4.04,16.5,1.2,112,0,90,1086,65,25.8
900.97,4.05,16.3,1,132,0,92,1096,65,25.8
899.87,4.05,16.3,1,150,0,94,1107,66,25.8
898.77,4.04,16.2,0.9,165,0,96,1117,65,25.8
897.89,4.04,16.1,1,172,0,98,1125,65,25.8
896.8,4.05,16.1,1,175,0,100,1136,66,25.9
895.7,4.1,16,1.1,179,0,102,1146,66,25.9
894.39,4.12,15.9,1.2,181,0,104,1159,67,25.9
893.08,4.12,15.9,1.3,178,0,106,1171,67,25.9
891.77,4.13,15.8,1.3,174,2,108,1184,67,25.9
890.47,4.1,15.8,1.3,169,0,110,1196,69,25.9
889.38,4.09,15.7,1.3,164,0,112,1206,69,25.9
888.3,4.08,15.6,1.3,160,0,114,1217,69,25.9
887,4.07,15.5,1.2,156,0,116,1229,70,26
885.48,4.07,15.4,1.1,152,0,118,1244,70,26
884.19,4.07,15.3,1.1,150,0,120,1256,70,26
882.89,4.07,15.2,1,149,0,122,1269,71,26
881.38,4.07,15.1,0.9,149,0,124,1283,72,26
879.88,4.05,15,0.9,150,0,126,1298,73,26
878.59,4.03,14.8,0.8,152,0,128,1310,74,26
