
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-30,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21498

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-10-29,10:59:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 340
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
279.7,0,304.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.23,2.810,9.2,2.5,310,2,0,631,51,18.5
936.17,2.850,9.1,3.1,305,0,2,649,50,18.5
935.03,2.850,9.0,3.4,303,0,4,659,50,18.5
933.89,2.850,8.9,3.8,300,0,6,669,51,18.5
932.52,2.850,8.9,4.1,297,0,8,682,53,18.5
931.38,2.860,8.9,4.4,295,0,10,692,54,18.5
930.25,2.870,8.8,4.7,293,0,12,702,53,18.5
929.11,2.870,8.7,4.9,292,0,14,712,54,18.6
927.75,2.870,8.6,5.1,291,0,16,724,54,18.6
925.94,2.870,8.5,5.2,291,0,18,740,54,18.6
924.36,2.870,8.3,5.3,291,0,20,754,54,18.6
922.78,2.860,8.1,5.4,292,0,22,768,55,18.6
920.98,2.870,7.9,5.4,294,0,24,784,55,18.6
919.41,2.870,7.7,5.4,296,0,26,799,55,18.6
918.06,2.870,7.6,5.5,299,0,28,811,56,18.6
916.50,2.870,7.5,5.5,303,0,30,825,56,18.7
914.93,2.870,7.3,5.6,305,0,32,839,56,18.7
913.59,2.870,7.1,5.7,308,0,34,851,57,18.7
912.03,2.880,7.0,5.8,309,0,36,865,56,18.7
910.47,2.880,6.9,5.9,310,0,38,879,56,18.7
909.14,2.890,6.7,6.0,310,0,40,891,56,18.7
907.81,2.930,6.6,6.1,310,0,42,903,57,18.7
906.26,2.930,6.5,6.2,309,0,44,917,58,18.8
904.27,2.940,6.3,6.2,307,0,46,935,59,18.8
902.51,2.940,6.1,6.2,305,0,48,951,61,18.8
900.75,2.940,5.9,6.2,303,0,50,967,60,18.8
898.77,2.940,5.7,6.2,301,0,52,985,61,18.8
896.80,2.940,5.5,6.1,300,0,54,1003,62,18.8
894.83,2.940,5.1,6.1,299,0,56,1021,63,18.8
